,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.0777742856890927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132691510165326,0,0.55755793472225,0.0130486025483765,0.629931921176705,0,0,-0.245939109355485,0,0.186467317368364,0,-0.192142044321889,0,0,-0.0409106106220375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0586653140860765,0
X601318.CH.EQUITY,0,0,0,0,0,0.270201848574182,0,0,0,-0.0847808987118747,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193725814520979,0,0.00979953991197512,0.0390629363588117,0,0,0,0.227438750949757,0,0.158723418861193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.833406555958519,0,0,0,0,0,0.0132623192710464,0.000560921744217423,0,-0.0492513775514898,0,0,0.045735076682709,0,0.140733064385691,0,0,0,0.00892629324793994,0,0,0,0,0,0,0.0239579150210238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671645587961709,0,0.00895105723199281,-3.46944695195361e-18,0,0
X601288.CH.EQUITY,0,0,0.94952174121736,0,-0.0296938170345439,0,0,0,0,0,0,0,0,0,0,0,0.0338079094747206,0,0,0,0,0,0,-0.0295808930162153,0,0.0722988445523869,0,0,0,0,0,0,0.00506046576529339,0,0,0,0,0,0,-0.0230535660698364,-0.060881298059936,0,0,0,0,0,-0.0135278124048329,0,0,0.0437602728340242,-0.089290647722119,-0.0298467936440036
X601628.CH.EQUITY,0.0132704597992137,0,0,-3.46944695195361e-18,0,0,0,0,0,0.247155801607116,0,0.216760059720118,0,0,0,0,0,0,0,0.136464656030213,0,0,0,0,0,-0.121198276244682,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.433070503811511,0,0,0,0,0,0,0,0,0.305626747709294,0,0,0,0,0.0130111214016757
X600036.CH.EQUITY,0,0,0.131043961026819,0.197273805832356,0,0,0,0,0.0662328503662178,-0.0102271402545024,0,0,0,0,0,0.145410795005833,0,0.107982193466678,0,0.00816641191560553,0,0,0,0,0,0,0,0,0.150402964322755,0.139062947058115,0,0,0.0358754276667508,0,0,0,0,0,0,0,0,0,0,0,0.060151243621311,0,-0.0359977099925224,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.00283450666148624,-0.136549518428232,0.0796714665504495,0,0.0512738703028917,0,0,0,-0.0218352336894875,0,0,0,0,-0.00093714981053847,0,0,0,-0.0438998969685971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108669280575316,0,0,0,0,0,0,0,1.05183374361449,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.112465793337301,0,0,0,0.0095553976795633,0.0854623949961952,0,0,0.0740831167825985,0,0,0,0,0,-0.0426509344415524,0,0,0,0,0.168820224103479,-0.159898226330113,0,0.0448763833641235,0,0,0,0.27833751805364,0.209794804227382,0,0,0,0,0,0,0,0.0219967282446862,0,0.150444332245146,0,0,0,0,0.0998475077357685,0,0,0,0,-1.73472347597681e-18
X5.HK.EQUITY,0,0,0,0,-0.0181955107371858,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171005739388228,0,-8.67361737988404e-19,0,0,0.0510457320716997,0,0.216832755879524,0.507024933873917,-0.00765287405709762,0,0,0,0,0,0,0,0,0,-0.0772430054855281,0.0673788276181877,0,0,0,0,0.0181880105809961,0.0618261954878308,0,-0.171949356658482,0,0,0,0.137715410259901,0
X388.HK.EQUITY,0,0,0,0,0.262481302058107,0,0,0,0,0,0,0,0,0,0,0,0.0342814585115611,-0.210589822508351,0,0,0,0,0,0.411304300548225,0,0,0,0.153465201818336,0,0,0,0,0,0,-0.0134657258272509,0,0,0,0,0,0,0,0,-0.263878814382584,0,0.183779208504705,0,0,0,0,-1.73472347597681e-18,0.0471348150939666
