,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600999.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601155.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.227928966525191,0,0,0,0.356595454554323,0,0.00489001709178799,0,0.0153765276741503,0,0,0,0,0,0,0,0,0,0,0,0,0.260281295043767,0.0270604499007748,0,0,0,0,0,0,0.0885945431043956,0,0.071057422352211,0,0,0,0,0,0,0,0,0,0,0,0,-0.100456433290611,0,0.0231244942466085,0,0
X601318.CH.EQUITY,0,0,0,0.0791728745680498,0,0,0,0,0.176638947082163,0,0.00527189161946751,0,0.0880368650393753,0.117944643341155,0,0,0,0,0,0.309209222933181,0,0.0607117163024391,0,0,0,0.114561626385394,0,0,0,0,0,0.0504129023706733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661233313042813,0,0
X600036.CH.EQUITY,-0.0021526402090822,0,0,0,0,0.198201144464466,0,0,0,0,0,-0.0362624935935418,0.107794670762703,0,0,0,0.146797391214812,0,0.0594455643098908,0,0,0,0,0,0,0,0.453333901613347,0,0.0350554089376857,0,0,0,0,0,0,0,0,0,-0.128477822190853,0,0,0,-0.0198162033614403,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.514040336785768,0.0974060214132743,0,0,0,0,0,0,0.134958925706757,0,0.165166896505591,0,0,0,0,0,0.0100752820975464,0.117351917711324,0.0601339224621148,0,0,0,0,0,0,0,0,0,0.186333834441466,0,0,0,0.047128831771033,0,0,0,0,0,0.0644723833831874,-0.0901507063111421,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0805099246572571,0,0,0,0,0,0.504727155759142,0,-0.0556477859430545,0,1.38777878078145e-17,0,0,0,0,0.0215299680346313,0,0.0581235473489974,0,0,0,0.0419899503180245,0,0.191721040614562,0,0,0,0.070998965041215,0,0,0.0472789980782653,0.111972716404013,0,0,-0.0832370800227223,0,0,0,0,0,0,0,0,0,0,0,0.0323303296476837,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,-0.08256650468226,0,0,-0.051281921065889,0,0.18443569882134,0,0,0,0,0.0706811313990096,0,0,0,0,0,0,0,0.12513100280527,0,0,0,0,0,0,0,0,0,0.0953904469678918,0,0.0179846689315761,0,0,8.67361737988404e-19,5.38292891803161e-05,0.162165227658314,0.156072323793357,0,0.0924070728417687,0,0,0,0,0.293415776633259,0,0,-0.117066418589962,0
X601628.CH.EQUITY,0,0,-0.0542822573834753,0,0,0,0,0,0,0.23629350033472,0,0,0,0,0.0877095274456136,0,-0.0115529668853454,0,0,0,-0.0646515522255266,0,0.15762857453796,-0.0579080039923328,0,0,0,0,0,-0.0260942837324442,-0.00544883558130833,0,0,0.017981350896386,0,0,0,0.357641759485595,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0359636318232113
X601988.CH.EQUITY,0.171772399276356,0,0,0,0.422811467653007,0,0,0,-0.0399385664052311,0,0,0.0751779591198331,-0.0883555407316399,0,8.67361737988404e-19,0,0,0.107382493622626,0,0.0363193423419039,0,0,0,0,0.01512649920308,0,0,0,0,0,0,0,-0.118672632866924,0,0,0,0,0,0,0.134984626488183,0,0,0,0,-0.000389596533040172,0.163520233543957,0,0,0,0,0,0
X5.HK.EQUITY,0,0.260439605147145,0,0.0526051086057116,0,0,0,0,0,-0.0353654939722673,0.0270580090267825,0.065718994612117,0,0,0,0,0,0,0,0,0,0,0.292400263123753,0,0,0,0,0.0978247517087432,0,0.013869769199099,0,0,0,0,0,0,0,0,0.205125643431766,0,0,0,0,0,0,0,0.0998458071003119,0,0,0,0,-0.0556745611856996
X388.HK.EQUITY,0,0,-0.105223751792806,0,0,0.0395702490974672,-0.132384201295073,0,-0.207981733028987,0,0,0,0,0,0,0,0,0,0,0,0,0.141050625293206,0,0,0.0363598984676609,0,0,0,0,0,0,0,-0.162950569728633,0,0,0,0,0.216208315764418,0,0,0,0,0,0.244769832941621,0,0.028919374981587,6.7762635780344e-21,0.0730787855763654,0,0,0.0879153586323341,0
