,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0.365989355593308,0,0.0364117396692617,0,0,-0.00885325477487316,0,0,0.061138419096787,0,0,0,0.109191254464647,0,0.159248109516142,0,0,0,0,0,0,0,0.116378976277962,0,0,0,0,0,0,0.0592540338022885,0,0,0,0,0,0,0,0,0,0,0,0,0.000408029120072166,0,0,0,-0.145987256912803,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0202101624792128,-0.0618533173510464,0,0,0,0,0,0.133066984739662,0,0,0,0.264450388265059,0,0,0.0791809168751565,0,0,0,0,0,0,0,0.117074171317909,0,0,0,0,0.252820270065664,0,0.0831365889288863,0,0,0,0,0,0,0,0,0,0,0,0.0767514645929902,0,0
X601939.CH.EQUITY,0,0,0,0,0.737117195444493,0,0,0,0,0.0392519515550626,0,0.14518674874694,0,-0.0460586923394494,0.0279694988609068,0,0,0,0.0280495033210958,0.0519106996970415,0,0,0,0.0212120270614454,0,0,0.0102893122028485,0,0,0,0,0,0,0,0,0.0899729632195586,0,0,0,0,0,0.0466925474288141,0,0,0,0,0.0412153407821386,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.131026031725528,0.165298288873917,0,0,0,0,0,0,0.300785631068468,0,0,0,0,0.18052194089302,0.0934606733186955,0,0,0,0,0,0,0,0,0.118649783165826,0.0182219242088681,0.0715227518606283,0,0,0,0,0,0,0,0,0,0,0,0.13913312157305,0,0,0,0,0
X601288.CH.EQUITY,0.170887640443978,0,0.834319072167941,0,0,0,0,-0.0795580289573825,0,0,0,0,0,0,0,0,0.0206489208833139,0,0,0,0.0238704943691505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706888244111561,0,0,0,-0.0119270195211195,0.0095126926213099,-0.172996094012861,0,0,0,0,0,0,0,0,0,-0.00524876070278689,0
X600036.CH.EQUITY,0,0.211329738686615,0.0796343317781334,0,0.155352308029562,0,0,0.0957211108749415,0,0,0,0,0,0,0,0.26415696830864,0,0,0.0864313775632897,0,0,0,0,0,0,0.212830893306376,0,0,0.0588398008480848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-1.38777878078145e-17,0.142479292328181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105196913856185,0.0019006423599749,0,0,0,0,0,0,-0.00832966978098142,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031123641446111,-0.0594160126010873,0,1.73472347597681e-18,0,-0.0932416166968998,0.908896030796558,0,-0.0903158567778423,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.177347696367577,0,0,0,0.0546537098335926,0,0,0,0,0,0,0,0.270456572107067,0,0,0,0.116773023464846,0,0,0,-0.0702803827314777,0.0986948017804193,0,0,0,0,0,0.0778791440878692,0,0,0,0,0,0,0.121273163863556,0,0,0,0,0,0,0,-0.0320483974198291
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.251896858573889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637663028165076,0.365419548159716,0.0234436578201007,0.112901057526559,0,0,0,0,-0.0650755883241252,0,0,0.0846655502634017,0,0,0,0,0.147028521888695,0.323227612741759,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.117060992334909,0,0.163549178308504,0,0,0,0.0310349585893339,0,0,0,0,0,0,0,0,0,0,0,0,0.125407255878047,0.233555427060989,0.0283915961147578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118568742328115,0.287559454689507,0,-0.309160397118386,0,0,0.0212195145557996,0,0,0.156124852109724,0,0,0,0,0
