,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.420438973555701,0,0,0,0.110663827577853,0,0,0.129823397805013,0.036456161894632,0,0.185415600104178,0,-0.0340580849075064,0,0.0837761202309974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296600240115746,0,0,0,-0.0291373988279557,0,0,0,0,0,0,0,0.0260503376242058,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0400031714719994,0.318047885985751,0,0,0,0,0,0,0,0.288867664599425,0,0.0787994864726766,0,0.0654922530116646,0,0,0,0,0.119113050806561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462898031331089,0,0.00990444468368278,0,0,0,0.0348535796794826,0,0,-2.71050543121376e-20,0,0
X601939.CH.EQUITY,0.166695491902601,0,0,0.492388847120006,0,0.0808457031218853,0,0,0,0,0.0165010536232851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685108972762967,0,-0.0233584533000342,0,-8.67361737988404e-19,0.079280482997137,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.0245289876423153,0,0.0156750085467701,0
X601288.CH.EQUITY,0,0,0.223001307334929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214290866719369,0,0,0.149361864703632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237562199282424,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0638284798425689,0,0,0.225718286355605,0,0.238374313469955,0,0,0,0,0,0.157383501909394,0,0,-0.0208135513558675,0,0.204123851009208,0,-0.278458229756661,0,0,0,0,0.0351823306562103,0,0,-0.0548361142071752,0,0,-0.0218182455032419,0,0.180909663444012,0,0,0,0,0,0.168315509146245,0,0,0,0,0,0,0,0.177803051245977,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.195077451002757,0,0,0.196933374888629,0.0615054145129167,0.239933713931575,0,0.129662566198113,0,0,0,0,0,0,0,0,0,0,0,0,0.040241264322594,0,0,0,0,-0.140351612376195,0,0,0,0,0,0,0,0,0,0,0,0.095659101951506,0,0,0,0,0,-0.0733759950920122,0.0817950702688572,0.052638132514931,-0.0379346005564849
X600036.CH.EQUITY,0,0.101937761317491,0,0,0,0,0,0,0,0,0,0,-0.0847900920409451,0,0,0,0,0.00105458761908487,-0.0263064033825745,0,0,0,0,0,0.787311299399571,0,0,0.0131096623568339,0,0,0.115851224586382,0,0,0,0,0,0,0,0,0,0,0,0.0772686493605764,-0.0329352894639135,0.0918236571699321,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.275976682372038,0,0,0,0,0,0,0,0.051450866842338,0,0,0,0,0.0839061197627917,0,0,0,0,0,0,0,0,0.0727530859227919,0,0.22596332697004,0,0,0.266973745486982,0,0.00994157420232332,0,0,0,0,0,0,0,0,0,0,-0.0729924633827427,0.0221041533757605,0,0,0,0,0
X601628.CH.EQUITY,0,0.0902272788990242,0,0.0946991634789548,0,0,0,0,0,0,0,0,0,0,0,0,0.0803442746988919,0,0,0,0,0,0,0,0.153330465337822,0,0,0,0,0,0,0,0,0,0,0,0.10496449994234,0.33853459370205,0,0,0.0760103763559629,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.163981063429778,0,0.245920411754619,0.0548619110867428,0,0,0,0,0,0,0,0,0,0.390104935822179,0,0,0,0,0,0,0,0.0627342504107479,0.0162814352810859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106501145210557,0,0,0.200361228663378,0,0,0,0,0.0478316357889565,0,0,0
