,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.268925385530467,0.135780495190938,0,0,0,0,0,0,0,0,0,0,0.186367280788812,0,0,0,0,0,0,0,0,0,-0.31195523803037,0,0,0.904819324421854,-0.197540890030584,0,0,-0.00200821736043358,0,0,0,0,0,0,0,0,0,0.0202498786918775
X601318.CH.EQUITY,0,0,0,0,0,0,0.0682060498944562,0,0.17059995492476,0,0,0,0,0.0919080014859748,0.0376256860504261,0,0,0,0,0.14241384942071,0,0.0892303624839854,0,0.0548721912058609,0,0,0,0.0329478564480521,0,0,0,0,0,0,0,0,0.174490050718349,0,0,0.203995249468864,0,0,0.0501978157625805,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.0241713979513746,0,0,0,0,0.343709946712268,0,0,0,0,0,0,0,0.0658697565575028,0,0,0,0,0,0,0,0,0,0,0.102864791009796,0,0,0,0,-0.300280164757181,-0.286694966190067,0,0.193653762753129,0.106310652513444,0,0.54027450444855,0,0,0,0,0,0.216328765101333,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.517437059877484,0.164020283121056,0.0222027733099741,0.538633106605124,0,0,0,0,0.463894133659233,0,0,0,0,0,0,0,-0.332134482246959,0,0,0,0,0,0,0,0,-0.63537734265556,0,0,0,0,6.93889390390723e-18,0,-0.195894424494758,0,0,0,0,0.322732512716481,0,0.233222557039815,0,0,-0.259861719238766,-0.435836914037081
X5.HK.EQUITY,-0.199855467253286,-0.0347033872521463,0,0,0,0,0,0,0,0,0,0,0,0,0.642599727345283,0,0,0.0874141636876697,0,0.374528621369565,0,0,0.232587212952431,0.077409570677667,0,0,0,0,0,0,-0.109979626773465,0,0,-0.141441070544241,0,0,0,-0.109521760158459,0,0,0,0,0.035649805072086,0,0,0,0,0,-0.130301232969574,0.0778238243507698,0
X601988.CH.EQUITY,-0.101075515059404,0,0,0,0.374963830754326,0,0,0,0,0,0,0,0,0,0,0.0643266192905223,0,0,0.451422901302292,0,0,0,0,-0.110408872884402,0,0,0,0,-0.322334011551237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792317782264455,0,0,0,0,0
X600036.CH.EQUITY,0,0.38049031644894,-0.0375462023112699,0,-0.114171254774374,0.0291664749265102,0,0,0,0.492870407015207,0,0.155997812290179,0,0,0,0,0.0775471917202118,0,0,0,0,-0.133541218529665,0,0.373985894422749,0,0,0.135324578648352,0,0,0,0,0,0,-0.210004766883097,0,0,0,0,0,0,0,0,0,-0.0322586075775177,0,-0.1118064689583,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.198380781708656,0,0,0,0,0,0,-0.117416031012154,0,0,0,0.0557894035349495,0,0,0,0,0,0.139121258792646,0,0,0,0.16752261497044,0,0,0,0.0431534202799751,0,0.144380443724843,0,0,0,0,0,0,0,0,0,0,-0.121061736039223,0,0,0,0,-0.00871577459296171,0,0,0
X601628.CH.EQUITY,0,0.109774367318061,0,0.0190892127584557,0,0,0,0,0,0,0.148190936246979,0,0,0.359225601456022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0467068566355966,0,0,0,0,0.0617836631171875,0,0,0.150378681208793,0,0,0,0,0,0,0.0675327739994319,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0981473047490177,0.061094673118434,0,0,0.639629275910396,0,0,0,-0.0664287789646138,0,0,0,0,0,0,0.03395325039251,0,0,8.470329472543e-22,0,0,0.232145480125873,0,0.241596956436423,0,0,0,0,0,0,0,0,0,0,-0.0104920939422642,0,0,0,0,0,0,0,0,-0.471541841836889,0,0,0,0,0
