,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.231790131970634,0,0,0,0,0,0,0,0,0,0,-0.270536429334627,0,0,0,0,0,0,0,0,0,0,0,-0.319277402713066,0,0,0.786017687900126,0,-0.180397813330963,0,0,-0.0510820061216878,0.268726936913044,0,-0.0225179228144769,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.145279321504764,0,0.121544918122491,0.0318300927561557,0,0,0,0.0401780457401881,0,0,0.028708746222546,0.148349727517492,0,0,0,0,0,0,0.0402360836197779,0,0,0,0,0.0644852724482364,0,0,0,0,0,0,0,0,0,0.372370744137195,-0.0771696250588405,0.0273747223245918,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.229837705605494,0,0,0,0,0,0,0,0.0115133947193598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105004418678611,0,0,0,0,0.0386721747230079,0,0.0328549577134232,0,0,0,0,0,0,0.345349222210128,0,0,0,-0.00650151112140097,0.0961712099969143,0,0,0,0,0,0.0382487777371267,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.243192154992592,0,0,0,0.00654143170999474,0,0,0.0835535018846834,0,0,0,0,0,0.126432690399155,0,0,0,0,0,-0.0181897891802764,0,0.114879763354393,0,0,0,0,0,0,0,0,-0.076936250259334,0,0,0,0.292346827514847,0,0.00980528976194109,0,0.127930800088726,0,0,0,0.081405926147205,0,0,0
X5.HK.EQUITY,-0.101902681513881,-0.252027951941407,0,0.113450714364421,0,0,0,0,0,0,0,0,0,0,0,0,0.326538253097898,0,0,0.126631871884683,0,0,0.198676614918553,0.405649242768652,0,0,0,0,0,-0.0539171684250506,0,0,0,0,0,0,0,0,0,0,0,0.181671652679653,0.03630318323904,0,0,0,-0.0387484877217094,0,0,0,0
X601988.CH.EQUITY,0.197360740262198,0,0.00884174712208629,0.606375164575558,0,0,0,0,0,0,0.107233166589464,0,0.150376555402928,0,0,0.0980849834008361,-0.0850899829535433,0,0,0,0,0.016264479998188,0,0.0305060343077221,0,-0.0146780109851069,0,0,0.00941426825335902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00706595712263533
X600036.CH.EQUITY,0,0.713713799714154,0.0213985477676542,0,0,0,0,0,-0.166033496083696,0,0,0,0,0,0,0,0,0,0.00396251712016044,0.102640097595075,0,0,0,0,0,0.0168161720823914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245082432097903,0,0,0,0.0383854299819939,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394938036239543,0,-0.110247832212141,0.100941848125118,0.104873101969957,0,0,0.0256140854219082,0,0.0743978606096664,0.233333580087756,0,-0.163356697005505,0,0,0,0,0,0,0,0,0,0,-0.0307599157936835,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.168697175355787,0,0.0209908108671283,0,0,0,0,0,0,0,0,0,0.263446703120171,0,0,0,0,0,0,0,0,0,0,0.148375106222197,0,0,0,0,-0.0388533366869928,0,0,0,0,0,0,0.11327147328482,0,0,0.0978643881455433,0,0,0,0,0,0,0,0,0.0983253713549465,0,0
X601328.CH.EQUITY,0,0,0.0354402704778533,0.342655552446888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16943347583753,0,0,0,0.156700724430056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.338362374597661,0.227182341488402,0,0,0,0,0,0,0.471794829959345,0,0,0,0,0,0,0,0,0,0,-0.126986646674477,0,0,0,0,0,0,0,0,0.366975186079055,0,-0.0606599481765549,0,0.346937449492641,0,0,0,-0.159336631594856,-0.152517950082469,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0153249144817024,0,0,0.113042149229657,0,0,0.266105896878655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374179180958765,0,0,0,0,0,0,0,0,0,0,0,0.0156175859650632,0,0,-0.00898480688801172,0,0,0.0715048876726273,0,0.194686673838245,0,0,0.0152859567152579,0,0
X601319.CH.EQUITY,0.0957932325892655,0,0,0,0,0,0,0,0.351661117115216,0,0,0,0,0,0,0,0,0,0,0.161839568897273,0,0,0,0.0831806654471371,0,0,0,0,0,-0.00119902291991729,0,0.0390618125681871,0,0,0,0,0,-0.0440205728716142,0,0,0,0,0,0,0.179265058977389,0,0.12709336968356,0.135661861728459,0,-0.036820616354449,0
