,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,-6.93889390390723e-18,0,0.012161178895238,0,0,0.0391016503359135,0,0.295215015847614,0,0,3.46944695195361e-18,0,0,0.115188309138144,0,0,0,0,0.11073160557241,0,-0.00354338788961398,0,0,0,0,0,0,0,0.0573198290799916,0.280295677556388,0,0,0,0,0,0.0523046360537717,0,0,0,0,0,0,0,0,0,0,0.0182046813126643,0,0,0,0
X601939.CH.EQUITY,0.265670163548368,0,0,0,0,0,0,0,0,0,0,0,0,0.426757043830715,0,0,0,0,0,0.106812920451214,0.055972700997509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464438324207035,0.0402856977454216,0,0,0.0213531786493019,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.2104009536713,0,0,0,0,0,0,0,0.164983176112862,0,0,0,0,0,0,0.214438728669985,0,0.117671935032838,0.0949407514849502,0,0,0,0,0,0,0,0,0,0,-0.0342032597250225,0.0815335693381312,0,0,0.0291086338910078,0,0.112666180559411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017258572723268,0,0
X601288.CH.EQUITY,0.344141771781559,0.00648014279401961,0,0,0.502320423958918,0,0,0,0,0,0,0.011812514811617,0,0,0.0403765367922338,0,0,0,-0.032965013749387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017102851897558,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0949602379817446,0.00787677835416807,0,0
X601988.CH.EQUITY,0,0,0.123435728168592,0,0,0,0,0,0,0,0.109745985848098,0,0,0,0,0.107563158804804,0,0.0647776275500422,0,0,0,0,0,0.0463770435911049,0,0,0,0,0,0,0,0.124565920083548,0,0,0.105932599362877,0,0,0,0,0,0,0,0,0,0,0.243439052068962,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.00881507717438834,0,0,0,0.120581068596279,0,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,-0.359205358781443,0.233749377390556,0,0,0,0,0,0,0,0,0,0,0.429413726689793,0,0,0,0.384717197048463,0,0,0,0,0,0,-0.369587972218791,0.169947434378944,-0.182396017487433
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0886151961350643,0,0,0,0.274440555445089,0,0,0,0.14248224760565,0,0,0,0,0,0,0,0,0,0,0,0.0840612382408673,6.93889390390723e-18,0,0.203469904594702,0,0.108533891070372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558535544166992,0,0
X1299.HK.EQUITY,0,0.0667440675076489,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0.0925312880368719,0,0,0.0583860910764948,0,0,0.288190358159098,0,0,0,0.0399821315631702,0,0,0,0.0606813820512747,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.387222667258574,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206213950261714,0,0,0,0,0.00855611807630276,0,0,0,0.0910681140102438,0,-0.020199422186535,0,0,0,0.248974908796174,0,0,0,0.104362100523984,0,0,0,0,0,0,0,0,0.0326833729984244,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.11788246940204,0,0,0,0,0,0.186529875892543,0,-0.106028271974056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771486960060726,0,0,-0.225415712019355,0,0,0,0,0,0,0.69510963952626,0,0,0,0,0,0,0.470762071331312,0,-0.161507101030026,0,0,0
