,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.35959364130457,0,0.374072041167202,0,0,0,0,0.00846340035568845,0.0221792812606737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912987005415662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158407788054365,0,0,0.0631792263656494,0,0,0
X601318.CH.EQUITY,0.128553582204723,0,0,0,0,0,0,0,0.19771404390013,0,0,0,0,0,0,0,0.263839789670513,0.0396234940340047,0,0,0,0,0,0,0,0,0,0,0,0,-0.0625313657426143,0.145731645919754,0,0,0.112987155437363,0,0,0,0,0,0,0,0,0,0.0818861223255692,0.0604242277822256,0,0,0.0778342942043112,0,0,0
X601939.CH.EQUITY,0.138513664398106,0,0,0.273630563288027,0,0,0,0,0,0,0,0,0,0.434595333009522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119424412828184,0,0,0,0.050423231655381,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.303397332600646,0,0.0965582459749526,0,0,0.355110679000562,0,0,0,0,0,0,0,0,0.0288874814127192,0,0,0,0,0,0,8.67361737988404e-19,-0.000981057926837336,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514418055818,0,0,0.0605996100488319,0,0,0,0.102846238516751,0.00988224422610585,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455583370095956,0,0,0,0,0,0,0,0,0,0.0762552255332279,0.0446965765790401,0,0,0.687758848263659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.376411475645027,0,0.000246376916022456,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0965573516932898,0,0,0,6.93889390390723e-18,0,0.0255026056078022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16110471404448,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.297612537249074,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0157607159654914,0.40911742116855,0,0,0,0,0.200262707525886,0,0,0,0,0,0,0,0,0,0,0,0.00410870829986335,0,0,0.0966283639055618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117044302499738,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0766959867763203,0,0,0.33953921781198,0,0,0.197424297935224,0,0.125002235168008,0,0,0,0,0,0,0,0,0.19509905469374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.237188542224918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787668490094677,0,0,0,0.0334327108779365,0,0,0,0,0.134029359103655,0.277002977976233,0,0,0,0,0.0571847052404902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400940587733239,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.117784357973289,0,0,0,-0.354359867403989,0,0.216974457791074,0,-0.219579105105644,-0.469405973087593,0,0,0,0,0,0,0,0.823719689193523,0,0,0,0,0,0,0.123682050094593,0,0,0,0.0375705826299269,-0.0052161153228431,0,0,0,0,-0.920473621284978,0,0,0,0,0,1.31109810158295,0,0,0,0,0
