,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X600000.CH.EQUITY,0.299513928861257,0.0501047330667059,0,0,0.123226589641617,0,1.73472347597681e-18,0,0.107827263667271,0,0,0,0,0,0,0,0.029765517043425,0,0,0.0530984682295734,0.071558509191707,0,0,0,0,0,0,0,0.0272716978947616,0,0,0,0.0245909237856584,0,0,0,0,0,0,0,0,0,0.0541983841729699,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.00651226317528699,0,0,0,0,0,0,0,0.0414077661889819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119105629466191,0,0,0,0.441262266623816,0.054771622010512,0,0.179175495172837,0,0.185682321271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255529806046393,0,0,0,0,0,0,0,0,0,0.236855189901891,0,0.118059317882142,0,0,0,0.0820444079579045,0,0,0.0720743152656557,0,0.176035047069932,0.0633045053322586,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0775259906544384,0,0.500308084211737,0,0,0.127791495809784,0,0,0,0,0,0,0,0.102396657172363,0,0,0,0.029646966711107,0,0,0,0,0,0,0,0,0,0,0.000341680097194244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,-4.33680868994202e-19,0,0.348860849090817,0,0,0,0,0,0,0,0,0,0,0,0,0.230818095157586,0,0,0,0,0,0,0,0,0.0565744940361581,0,0,-0.0572384873542095,0,0.0376014958500434,0,0.265817103325718,-0.0729542080124112,0,0,0,-0.0575947487606337,0.121995361495017,0,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.135076332477538,0,0,0,0.118797972270978,0.121208951164713,0,0,0,0,0,0,0,0,0,0,0,0,0.302628548248315,0.000966011948687243,0,0,0,0,0,0,0.216298976220685,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
X600016.CH.EQUITY,0.0588040966998522,0,0,0.129792249497927,0,0,0,0,0,0,0.295704723120014,0.0871062812706985,0,0.0447833527313142,0,0,0,0.213789514569342,0,0,0,0,0,0,0,0,0,0,0,0,0.0171498682938562,0,0,0,0,0,0,0,0,0,0,0,0.117888596180414,0,0,0.0404051866353487,0,0,0,0,-0.0171950998833027,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.217874452301291,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.132825646873344,0,0,0,0,0.00725764712081134,0.117571988628339,0,0,0,0,0,0,0.226697982030964,0,0,0.0698473581982414,0,0,0,0,0.131298433298978,0,0,0,0,0,0,0,0,-0.0428032931481843
X601601.CH.EQUITY,0.0122787055365315,0,0.676814430449054,0,0,0,0,0,0,-0.131490260006094,0,6.93889390390723e-18,0,0,0,0,0,0.108260773784356,0,0,0,0,0,0,0,0,0.0479604743362795,0,0,0,0,0,0,0,0,-0.0238917945454598,0,0,0,-0.148241162759512,0.121394812569876,0.152155559378774,0,-0.0344602578998374,0,0,0.159661766804979,0,0,0,0,0
X601066.CH.EQUITY,0,0,-0.00524628432027644,0,0,0,0,0,-0.0354963863615976,0,0,0,0,0.119879186831123,0,0.533347639980427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00413142245418637,0.131588366182391,0.270195229760625,0,-0.146287944260802,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,-0.116448084954931
