,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601166.CH.EQUITY,0.00225895017377812,0,0,0.254376271862345,0,0,-3.46944695195361e-18,0,0,0,0,0.244682817102462,0,0,0.0131419374612136,0,0,0,0.0452706525048701,0,0.125950189383073,0,0,0,0,0,0,0,0.162653420268395,0,0.0555341094088533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221159804882834
X600000.CH.EQUITY,0,0,0,0,0,0,0.522499994706074,0,0,0,0,0,0,-0.0338788169478811,0,0,0,0,0,0,0,0,0,0,0,0.370365740445956,0,0,0,0,0.0500989950141562,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31569564844138,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,-0.151768403874062,0.0242224111434902,0,0.679933106767769,0,0,0,0,0,0,0.00200929725627759,0,0,0,0,0,0,0,0.0437887366558936,-0.155196803691257,0.0245821615566575,0.220080851337625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287096758702364,0,0
X601319.CH.EQUITY,0,0.00744633097768656,0,-0.110900665237451,0,0,0,0,0,0,0,0,0.294418827097139,0,0,0,0,0,-0.0959070166605865,0,0,0,0,0.100338150887362,0,0,0,0,0,0,0,0,-0.0684388871963694,0,0,0.372305890383175,0,0,0,0,0,0.153417155448691,0,0,0,0,0,0,-0.0723937846771143,0,0
X000002.CH.EQUITY,0,0,0,0,0.260937459957902,0,0,0,0,0,0,0,0.203026521486208,0,0,0,-0.259609401464175,0,0,0,0,0.290695800777018,0,0,-0.131085920446323,0,0.337335539124887,0,0,-0.131488776801929,0.366054905072004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263758709191342,0,0.0321323005592631,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,-0.0261688228734755,0.0972474748745319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196601056690145,0,0,0.0217239682412235,0.145588887300089,0.167218161312825,0,0.329951573822498,0,0,-0.0708144197115574,0,0,0,0,0.313758193942387,0,0.0692789915155755,0,0.0735738003268919,0,0,0,0,0,0
X11.HK.EQUITY,0.223790504373123,0,0,0,0.402096830203879,6.93889390390723e-18,0.0666425496207465,0,0,0,0,0.134397197065929,0.136641023876534,0,0,0,0,0,0.0983872525228135,0,0,0,0,0,0,0,0,0,0,0.0674641907814171,0,0,0,0,0,0,-0.0341655547667217,0.0575865791574378,-0.0470071499883795,0,0,0,0,0,0.154608618381447,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0123704945740033,-0.212806630182288,0,0,0,0,0,0,0,0.515012145557506,-8.67361737988404e-19,0,0.182468970264764,0,0.167490866771028,0,0,0,0,0.224982590039479,0,0,-0.184214918282679,0.0419791375987245,0,0,0.182813542388453,0,0,-0.0380092769893505,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.0208129596361355,0,0,0,0,0,0,0.0144277108890371,0,0,0,0,0.4801762876942,0.291473765568734,0,0,0.0130228019667045,0,0,0,0.209324169820026,0,0.138271756797559,0.0197081217073617,0,0.150892980264067,0,-0.0449806714591041,0,0,0,0,0,0,0,0,-0.102941070950487,0,0,0,0,0,0,0,-0.105263165551873,0,-0.0798551748793463
X600030.CH.EQUITY,0.0348964480185925,0,0,0,0,0,0,0,0,0,0,0,0,0.03124077731263,0,0,0,0,0,0,0,0.0395567446961514,0,0,0,0,0,0,0,0,0,0,0,0,0.0949610786258281,0,0.445329209345023,0,0,0,0,0,0,0,0,0,0.466473420317134,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0.0270966286304867,0,0,0,0,0,-2.71050543121376e-20,0.150176433852963,0,0.0434148965145921,0,0,0,0,0,0,0.14382063561306,0,0.0516297008845515,0,0,0.150765074363442,0,0,0,0,0,0,0.14201201505324,0,0,0,0,0.0696033111057669,0,0,0,-0.123842300862014,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0.0309093003427942,0,0.293612261621374,0,0,0,0.0133226746654416,0,0,0,0,0,0,0,0.134199012904121,0,0,0,0,0,-0.24129887674427,0,0,0,0,0,0,0.0295534599032554,0.0525701056026187,0,0,0,0.111542459382248,0,0.390571817297074,0.046336790857787,0,0,0,0.00267658484729252,0,0,0,0,0,0.0206403144975464
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.102960026360874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501415143765644,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0.00654048554259968,0,0,0,0,0,0,0.0876420503235839,0,0.118855300217034,0,0.0952940132650589,0,0.0535432614667451,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0917415776052856,0,0,0,0,0,0,0,0.0181114762781455,0,0,0,0.243036627809855,0,0.329491173813131,0,0,-0.0377674456854192
X267.HK.EQUITY,0.0438699011813116,0,0,0,0,0,0.166990850519236,0,-3.46944695195361e-18,0.0689110328323078,0,0,0,0,0,0.00904305022255715,0,0,0.265678667628934,0,0.112587024665637,-0.124768546306785,0,0,0,0,0.0244776550239455,0,0.0747417387639482,0,0,0,0,0,0,0,0,0.0464607440465141,0.276369755868191,-0.187702361994079,0,0,0,-0.135554711194238,0,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.00847092790191719,0,0,0,0,0,0,0,0,0,0,0.30642307085476,0,0,0,0,0,0,0,0,0,0,0,0,0.269437392055928,0,0,0,0,0.0511605056394435,0,0,0,0.133831759030017,0,-0.0285413004800181,0,0.115941478965009,0,0,-0.0689632570989927,0.0922291321858032
