,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.236080823563653,0,0.138063086550717,0,0.0317152049809745,0,0,0.250272670279544,0.0690794981070133,0,0.0952823188207381,0,0,0,0,0,0,0,0.075806157490532,0,0,-0.0857487916072001,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.0634033401131301,0,0,0,0,0,0,0,0,0,0.0416254614141705,0.0264586772510916,0,0,0,0,0
X601939.CH.EQUITY,0.483674628807312,0,0,0,0,0,-0.0479933523626312,0,0,0.0165508953385786,0.192324765075741,0,0.229755799222329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150175441841186,0,0
X601318.CH.EQUITY,0,0,0,0,0.0805869534163651,0,0,0,0,0,0,0.211831663525676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.113484704146676,0,0,0.156845004583899,0,0.147433256622641,0.14110223321146,0,0,0,0,0
X601288.CH.EQUITY,0.346418920175974,0.0459461000149157,0,0,0.402133058487114,0,0,-0.0315424958503103,0,0,0.0627000232957329,0,0,0,0,0.114523521285671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211107855832452,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0134371231296132,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0874610547279543,0,0.289768024795862,0,0,0,0,0,0,0.249454838352008,0,5.55111512312578e-17,0.10030046451508,0,0,0,0,0,0.143459290529133,0,0.0691054244110028,0,0,0,0,0,-0.00853281698839807,0,0,0.0214858212020644,0,0,0,0,0,0,0,0,0.0445662016236239,0,0,0,0,0,0,0,0.0532754496366518,0,0,-0.00294826954187151,0
X600036.CH.EQUITY,0,0,0.021090221690153,0,0,0,0,0,0,0,0,0.411344444837843,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.126443798391761,0.0523347399657583,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0833242399998119,0.059642864826389,0.00130541562506508,0,0,0,0,0,0,0,0,0.264347201019873,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.09852649612587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998443896358728,0,0,0,0.0419307713851373,0,0.179236969856052,0,0,0.118133768477698,0,0.208422269975309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142167065698439,0,0,0,0
X5.HK.EQUITY,0,-0.19560443128147,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.210710223531896,0,0.118993673774353,1.13960113216955,0,-0.778865599716594,0,0,0.508103038366909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400621902642278,0,0,0,0,0,0,0,0.0126007326048769,0,-0.0856152554686158
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0907286854354006,0,0,0,0,0,0,0,0,0.0284472893102072,0,0,0.246279722069842,0,0.345023762991334,0,0,0.060238811597134,0,0,0,0,0,0,0,0,0,0,0,0.0125581825083746,0,0,0,0,0,0,0,0,0,0.0721548864173187,0
X601658.CH.Equity,0,0.113671958399599,-0.271800470113541,0.297909119127888,0,0,0,0.120390519570506,-8.67361737988404e-19,0,0,0,0,0,0,-0.205416547526212,0,0,0,0,0,0.0386870122174036,0,0,0,0,0,0,0.679198382651508,-0.0531117406631657,0,0,0,0,0,0,0,0,0,0,0,-0.129551437452334,0,0,0,0.728955041074942,0,0,0,-0.101048988274788,0.0595314689888505,0
X601328.CH.EQUITY,0,0,0,0.248637641955419,0,0,0,-0.0310318953314013,0,-0.0356865491610274,0,0,0.360881037434993,0.0138869162681652,0,0,0,-0.00526890788311634,0.172313272916633,0,0,0,0,0,0,0,0,0,0,0,0.109803641821599,0,0,0,0.0714376588773076,0.0814494633990682,0,0,0,0,0,0.0442135204729245,0,0,0,0,1.38777878078145e-17,0.0145676346150881,0,0,0,0.049029421762437
X601166.CH.EQUITY,0,0.0848720096098829,0,0.0198970982599064,0,0.160076559477695,0,0,0,0,0.00612625259964492,0,0.0366347425216245,0,0,0,0,0,0,0.0223175516960456,0,0,0,0,0,0,0,0,0,0,0.308950712217964,0,0,0,0,0,0.0695483977994973,0,0,0,0,0,0,0,0,0.225621587664065,0,0,0,0.0872522324261777,0,0
X600000.CH.EQUITY,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.181738882383794,0,0,0,0,0,0,0,0.401022222864898,0,0,0,0,0,0,0.115384165282083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826557447385071,0,0,0,0.0961769096915029,0.0514891468773301,0,0,0,0,0,0
