,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X601788.CH.EQUITY,X823.HK.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0342652796090874,0,0,0.126106220047869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268864966638733,0,0.675152665675468,-0.0937215851156598,0,0.142687118731663,0,0,0,0,0,0,0.069154899009577,0,-0.226581121910602,0,0,0,0,0,0,0,0,0,0,-0.368663113862598,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0545177334867914,0.182875047948687,0.0773336701667549,0,0,0,0.0574676009113884,0,0,0,0,0,0,0,0,0.284748850823536,0,0,0,0,0,0,0,0,0,0.155070173686642,0,0,0,0,0,0,0,0,0,0,0.189632774864582,0,0,0,0,0.0147128867849264,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.849035606399349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773414867831757,0,0,0,0,0,0.0172811836513976,0,0,0,0,0,0.122501476078467,-0.0929781387840387,0,0,0,0,0,0,-0.00672984080201313,0,0,0,0.0151330837807867,0,-0.0676116184211073,0,0.00422934766028099,0,0,0.0328529409950662,0,0,0
X601288.CH.EQUITY,0,0,0.845978305696416,0,0.0952504427330511,-0.0738737851008955,0,0,0,0,0,0,0,0.0134629631263504,0,0,0.057526184876135,0.115048660703571,0,0,-0.00569162138023092,0,0,0,0,0,-0.0903690732330976,0.00968987182681999,0,0,0,0,0,0,0,-0.0210000786870376,0,0,-0.116632478271579,0,0,0,0,0,0,0,0,0,0,0,-0.0048100717850157,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.680762713515904,0,0,0.249037721647826,0,0.0866045913824265,0,0,0,0.0292404925685564,0,0,0,0,0.0532086628262238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170364139440124,0,0,0,0,0,0.0519416600339915,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0116479235232356,0,0,0,0.276976172384757,0,0,0,-0.0225213656053167,0,0,0,0,0,0,0,0,0,0,0,0.0360542464361271,0,0,0,0,0.0284229524684698,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.18522276504864,0.164859887562699,0.016948251265295,0,0,0,0.0880727507789371,0.120749533211531,0.0727945657087081,0,0.043599890404736,0
X600036.CH.EQUITY,0,0,0.159978981147689,0.228515942369534,0,0,0,0.0390783541692365,0.0138263592387553,0,0,0,0,0,0,0.117407296289669,0,0,0,0.0329152706457798,0,0,0,0,-0.0298564394290024,0,0,0.169197108860144,0,0,0,0,0,0.243631470690958,0,0,0,0,0,0,0,-0.0395740367730164,0,0,0,0,0,0.0305914124535714,0,0,0.109423182699978,0
X1299.HK.EQUITY,0,0,0,0,0,0.0860967389498767,0,0,0.00142309829436767,0,0,0,0,0,0,0,0.0309438377487267,0,0,0,0.174466539702542,0,0,-0.0618749429301135,0,6.93889390390723e-18,0,0,2.77555756156289e-17,0,0.172044190005883,0,0,0,0,0,0.02689106994932,0.0397495388748467,0,0,0,0.176268053714356,0.109185451167122,0,0,0,0,0.448427523062669,0,0,0.085727917061537,0
X5.HK.EQUITY,0,0,0,0,0,-0.162972250615511,0,0,0,0,0.0784089632193624,0,0,0,0,0,0.363257880811194,0,0,0,0,0.137065205239548,0,0,0,0.304837915140679,0.0484509685027541,0.0395681300270134,0,0.0949614190201525,0.0832976681271105,0.046689994784247,0,0,0,0,-0.192845965010156,0,0,0,0,0,0,0.211387292610646,0,0,0,0,0,0,0.211105551028469,0.0545225712782917
X601658.CH.Equity,0,0,0,0.225236113257664,0,0,0,0,0,0,0,0,0.0345332291386586,0,0,0,0,0.168043876092726,0.138373209224147,3.46944695195361e-18,-0.222776476069303,0,0,0,0,0,-0.141708788792287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467204386843575,0,0,0,0.0491343915383458,4.33680868994202e-19,-8.67361737988404e-19,0,0,0
