,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.145833404495471,0,-8.67361737988404e-19,0,0,0,-0.107290020423925,0,0,0,0,0,0,0,0,0,0,-0.0825875878097174,0,0,0.423329238073488,-0.125011331664242,0,0,0,0,0.467098814878513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294715605551988,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,-6.7762635780344e-21,0,0,0,0.0890022520862813,-0.0878926637386863,0,0,0,0,0,0.0974919701456265,0,0,0,0.4327777674685,0,0,0,0,0.118871951861822,0,0.0284841794101947,0,0,0,0.127345320025926,0,0,0,0.184236892163328,0,0,0,0,0,0,0.0409857518330698,0,0,0,0,0,0,0,0,0,0.0170674931889553
X601939.CH.EQUITY,0,0.0746555557769509,0,0.781004030392772,0,0,0,0,0,0.0387055506527707,0.0582678907823476,0,-0.0434696169806146,0.0070823194802484,0,0.0716525387594784,0,1.73472347597681e-18,0,0,0,0.00277974663766772,0,0,0,0,0,0.0421837379685078,0,0,0,0,0,0,0.0768285748309383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0156616570162058,0,0.918016677793276,0,0,0.0917893672414507,0,-0.0740418079439806,0,0.0218366465869732,0,0,-0.00828106581313184,0,0,0,0.0356970411965251,0,0,0,0,0,0,0,0,0,0,0.00877382179160951,0,0,0,0,0,0,0,0,0,0,-0.0566663090975715,0.0195404761194418,0,-0.121841508392282,0,0,0,0.0385031643746217,0,0,0,0,-0.108436829285658,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0456081007230953,0.275129602142683,0,0.236403146870792,0,0,0,0,0,0,0.41133588884463,0,0,0,0,0,0,0,0,-0.0813735598166807,0,0,0.0134355956697182,0,0,0,0.0642370501969045,0.0491379122383761,0,0,0,0,0,0,0,0,0,0.112441423913704,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0480071243471959,0.235797042475688,0,0,0,0,0,0,0,0,0,0,0.123733440970062,0,0,0.155359448963831,0.0225928999322051,0,0,0,0,0,0,0.17756863499674,0,0.0812999579417659,0,0,0.0716419392960303,0,0,0,0,0,0.016387795624227,0,0,0,0,0,0,0,0.088855488127163,0,0,0,0,0.0381730647083484,0,0
X601988.CH.EQUITY,0,0,0,0.0354072243474868,0,0.0280969556491941,0,0,-0.0171304551368011,0,0,0,0,0.0537494854541391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159714665155101,0,0,0,0.043745814284913,-0.115032250137933,0,0.959878649459168,0,0,0
X1299.HK.EQUITY,0,-1.73472347597681e-18,0,0,0.0870642404426596,0,0,0,0,0.196884100229447,0,0,0,0,0,0,0,0,0,0,0,0,0.301817566842563,-0.0129014130471696,0,0,0,0,0.0672616571584925,0,0.0349870581049226,0,0,0,0,0,0.105404327731643,0.0211220681864913,0,0,0,0,0.109797865511152,0,0,-0.0196164437965202,0,0.149191871299624,0,0,0,-0.0314065266540151
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.00762922820282858,0,0,0,0,0,0,-0.153642504069202,0,0,0,0,0,0,0,0,0.0370209885789395,0.501779880808642,0,-0.0716029745062824,0,0,0,0,0,0.124535197551476,0,0,0.104342971929094,0,0,0,0.131865464211262,0.270300420825335,0.219063927187132,0,0,0,0.365504848015894,0,0.0604891895722007
X388.HK.EQUITY,0,0,0,0,0.263491782064768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251852917639105,0,0.165322612526386,0,0.0853514928983955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560410483267434,-0.180274412702086,0,0.140555087357336,0,0,0,0,0,0.138756535011347
