,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0135008655476969,0,0,0,-0.0500200893235188,0.071818777772047,0,0,0,0,0,0,0,0.354596466420585,0,-0.198112459715804,0,0,0,0,0,-0.175473407218286,0,0,0,0,0,0,0.152180534035222,0,0,0,0,0.657575069608579,0,0,0,0,0,0,0,-0.00660652310697451,0,0.0579410560341815
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.155623640793852,-8.67361737988404e-19,0,0,0,0,0,0,0.0863594459683725,0,0.0762792460658936,0.0582165609061279,0,0,0,0,0,0.106556351680089,0,0.0483296073854525,0,0,0,0,0,0,0,0.179787475779563,0,0,0,0,0.219483742882043,0.00960266357712424,0,0,0.0315594980647879,0,0,0,0,0,0
X601939.CH.EQUITY,0.470191463793399,-0.0879237330955313,0,0,-0.0936522287386033,0,0,0,0,0.000566487809734096,6.93889390390723e-18,0,0,-0.011046254240829,0,0,0,-3.46944695195361e-18,0,0,0,0,0.197430249664657,0,0,-0.0209036287570211,-0.295459665109405,0,0,0,0,0,-0.0151552269298694,0,-0.122978623860472,0,0,0,0,0.72119244834742,0,0,0,0,-0.0622987655870918,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.133838682248695,0,0,-0.0356785127517851,0.0665986225876141,0,0.365361736865606,0,0,0.330137426705656,-0.0712440620263244,0,0,0,0,0,-0.115024356650922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313966697302343,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.130351116032024,0,0.374633256419445,0,0,0,0,-0.0407426420288961,0.322957461026652,0,0,0,0.0716796629313165,3.46944695195361e-18,0,0,0,0.090638848474348,0,0,0,0.0226148135933728,-0.23373940844189,0,0,0,0.0785507883797672,0.111359874444024,0,0,0,0,0.0148090981925628,0,0,0,0,0,0,0,-0.224439620729933,0,0,0.128211316455895,0,0
X601988.CH.EQUITY,0,0,0,0,0.345773445159529,0,0,0,0,0,0,0,0,0.107632242469657,0,0,0,0.171459231001416,0,0,-0.0576207838684771,0,0,0,0.175489365111113,0.0187647190123302,0,0,0,0,0,-0.337748397506142,0,0,0,0,0,0,0,0,0,0,0,0,0.0139674054009153,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.319030606037094,0,0,0,0,0,-0.0243767281250126,0,0.414628281410527,0,3.46944695195361e-18,0,0,0.044821603528423,0,0,0,0,0,0.304743108639653,0,0,0,0,0,0,0,0.141972344921258,0,0,0,0,-0.125865289607461,0,0,-0.182573102439873,0,6.93889390390723e-18,0,-0.0223312346056598,0,0,0.202172450676722,0,-0.0421827679758459,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.331473049645291,0,0,0,0,0,0,0,0,0,0,0,0,0.0686082022049687,0,0,0,0,0,0,0,0,0.196412763746311,0.0651022617047313,0,0.0384248870249126,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184858018413497,-0.100502927625707,0,0.149858157129097,0,0,0,0
X601628.CH.EQUITY,0,0.287719738804265,0.00755678090038019,0.0453322759341831,-0.108941806560619,0,0,0,0,0,0,0,0,0,0,0,0.241107876450138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131497388228033,0.0771884126130705,0,0,0,0,0,0.164068837032813,0,0.0859918881735811,0.0931355296410091,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.725042771535122,0,0,0,0,0,0,0,0,0.11572677188084,0,0,0,0,0.1317904430419,0,0,0,0,0,0.103219600806113,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0286156578242712,0,0.0262797274420157,0,-0.203815491299155,0,-0.0574610720259948,0,0,0
