,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0.41215043656282,0.114573219279741,0.0748791160502858,0,0,0,0,0,0,0,0,0,0,0,0.0872372993905468,0,0,-0.0649596627625735,0,0,0,0,0.0604256571283054,0.0388590338775699,0,0,0,0,0,0,0,0.0529680424285564,0,0,0,0,0,0.0986809515814436,0,0,0,0,0,0,0.24411686420556,0,-0.110590629056772,-3.46944695195361e-18
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.161673366622063,0,0,0.0532094044881361,0.0855674256533334,0,0,0,0.0029190217691181,0,0.202101453640471,0,0.162522069196292,0,0,0,0,0,0,0,0,0,0.173305304520096,0,0,0,0,0.0585387920540457,0,0,0,0,0,0,0,0,0.0343513141688724,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.233326377719606,0,0,0,0,0,0,0.197976184120627,0,0.0375728823633856,0,0,0,0.0754230698418494,0,0.0422034918169308,0,0,-0.0675601451711516,0.37989531922527,0.222633404994692,-0.0518003123649455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19
X600036.CH.EQUITY,0,0.124652439819679,0,0,0,0.0490152413575454,0.133287484538702,0.116704510783447,0,0,0,0,0.168620336936393,0.107872067649815,0,0,0,0,0,0,0,0,0,0,0,0,0.283628128168156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124166398088052,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0973563965811079,0,0.145402522696059,0,0,0.0575129588467012,0,0.293468506101253,0,0,0,0,0,-0.0537307444499773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0905551489333204,0,0,0.0866879931016597,0,0,0,0,0,0,0,0,0.115928573118555,0,0,0.186082962623265,0,0,0,0,0,0,-0.0694234293586861
X601628.CH.EQUITY,0.0854657944797699,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.10773395169892,0,0,0,0,0,0.235037697317166,0,0,0,-0.0985580290643219,0,0,0,0,0.220002808044414,0,0,0.570880979623683,0,0,0,0,-0.0406189717671532,-0.0358367751323422,0.0668138869634613,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0359051168631168,0,0.277658653682434,0,0,0,0,0,0.106975337459403,0,0,0,0,0,0,0,0,0,0.00997488042469412,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0563895891206741,0.00385862824247005,0,0.118786131835851,0,0.184432704732395,0.167737916725743,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0201270503910693,0.0945811262531702,0.216595848265097,0.10723298562599,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305235637432288,0,0,0,0,0.0215216499010944,0,0.229890484153665,0.0933412275966118,0,0,0,0.162047277808779,-0.129618531794298,0,0,0,0,0,0,0,0.0748233604241774,0,0,0,0,0.014727009759522,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.114521395351577,0,0.0808661606755699,0,0,-0.0402492499726244,0,0,0,0,0,0,0,0,0,0.0909142092554286,0.127461082172308,0,0,0,0.19702221694989,0,0,0.0151603718421811,0,0,0,0,0,0,0.027740272569763,0,0,0.322832425686368,-0.0500992804646832,0,0,0,0.134266400717446,0,0,0,0.0885910580283656,0,0,0,0
X388.HK.EQUITY,0,0,-0.162879858121222,0,0,0,0.11966753712394,-0.120983221579192,0,0,0,0,0,0,0.242759579611429,0,0,0,0,-0.0907973510724371,0,0,0.223196458667382,0,0,0.205482276185713,0,0,0,0,0,0.151046667928154,0,0,0,0,0,0,0,0.115291843340819,0,0,0,0,0,0.0450576101931242,-0.100754307126836,0,0,0,0.147866814004771,0
