,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0364067791575158,0.464032451388285,0,0.151914740669005,0.108665737274361,0,0,0,0,0,0,0,0,0,0,0,0.112502362267728,0,0,0.00981207564860536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105760758384647,0,0,0,0,0,0.00419707991199129,0,0,0,-2.16840434497101e-19,0.132446552695632,0,0.000517561256893409,0,-0.13757594726474,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.163281331489345,0,1.0842021724855e-19,0,0,0.0445281389619165,0,0,0,0.0114044839039744,0.153210930981284,0,0.114137775720657,0,0,0.0259074381440322,0,-1.0842021724855e-19,0,0.116968498700166,0,0,0.0618625624831749,0,0,0,0,0.138650604311404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0328562291610483,0,0,0.428463495943695,0,0,0,0,0,0,0.169245560123307,0,0,0,0,0,0,0,0,0.0154987335619322,-0.178596617808162,0,0,0,0.255872886565874,0.332474778445666,-0.0859400575941473,0.030228102246291,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0676478832313028,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.171609517089486,0,0.0548496497489754,0,0,0.0755548957772267,-0.0658051080656218,0.299951337370734,0.0952506280618513,0,0,0,0,0,-0.020664463299655,0.142699739884143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158148279012514,0,0,0,0,-6.93889390390723e-18,-0.112799962502434
X600036.CH.EQUITY,0,0.1907576089298,0,0,0,0.0475229825062593,0,0.106689661476021,0,0,0,0,0,0.202963396130338,0,0,0,0,0,0,0,0.0428605730709031,0,0,0,0,1.0842021724855e-19,0,0.303987320841778,0.0878795578964027,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0795337667119296,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,-0.0138028377434261,0.127356632984111,0,0,0,0,0,0.140078323993153,0,0,-0.0320562058411963,0,-0.103872127734471,0,0,0,0.213464842028157,0,0.0594677422192861,0,0,0.548479348654866,0,0,-0.031942053124007,0.0848556070599961,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.189432370821145,0,0,0,0,0,0,0.146056128008717,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0581247613222299,0,0,0.0151320618535118,0,0,0,0,0,0,0,0,0.0225076273947668,0,0.207226682411649,0.250030119340602,0.0820089290027206,0.194006458073637,0.101746336536425,0,0,0,0,0,0,0.0753883677859156
X601988.CH.EQUITY,0.03276013716542,0.0197049349304113,0.0495877626227836,0.176936597787083,0.3645035404248,0,0,0,0,0,0,0,0,0,0,0.197896234128747,0,0,0,0,0,-0.00874743930561657,0,0,0,0,0,0.0768876096882728,0,0.0187956004088239,0,0,-0.118271490652924,0,0,0.295653499094903,0,0,-0.0757749694743581,0,0,0,0,0,0,0,0,0,0,0,0,0.0457170361130621
X5.HK.EQUITY,0,0.0254386880382658,0,0,0,0,0,0.000279431564003448,0,0.0130619524961157,0,0,0,0.0824392402089285,0.0362693655703138,0,0,0,0,0,0,0,0.0990462946942779,0,0,0,1.0842021724855e-19,-0.0298101508432559,0,0,0,0,0,0,0,0,0,0,0.491517227563118,0,0,0.23078813816593,0,0.163629648555228,0,0,0,0,0,0,0,0.00378814039618446
X388.HK.EQUITY,0,0,-0.212445132380705,0,0,0,0.105322557000215,0,0,0,0,0,0.166086633235597,0.00330104861613041,0,0,0,0,0,-0.0894446805446416,0,0,0,0.209359743283136,0,0,0.201264450193648,0,0,0,0,0,0.145885573931062,0,0.142933115515765,0,0,0,0,0.153449034777873,0,0,0,0,0.0510935655765646,0,-0.143562175673994,0,0,0,0.16580552281159,0
