,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.332006067892915,0.0169802143105557,0.337597166187425,0,0.0281478086219868,0,0,0,0,0.0410408323214283,0,0,0,0,0,0,0,0,0,0,0,0,-0.0639664924491645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304462262115279,0,0.110689640885632,0,0.0300478764244863,-0.0932420061045105
X601939.CH.EQUITY,0.411179465921281,0,0,0.197427607986462,0,0,-0.138731491691942,0,0,0.00622522664913922,0,0,0.164684082181579,0,-0.0652656027855177,0,0,0,0,0,0,0,0,0,-0.00793084383434246,0,0,-0.0304157988502308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27284192409515,0.0131046218222698,0,-0.0863057696717722,0
X601318.CH.EQUITY,0,0,0,0,0.216548202182055,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0260356148680814,0,1.38777878078145e-17,0,0,0,0,0.181052997352427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258934327253735,0,0,0,0,0.218581635230313,0,0,0,0,0,0,0.110925815828168,0,0
X601288.CH.EQUITY,0.500286831543668,0,0,0,0.198613937992051,0,0,0,0,0,0,0,0.0746857921922245,0,0,0,0,0,0.0129080773342725,0,0.117484286082383,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0508187004595515,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.381102721400107,0,0,0,0,0,0.26430556638892,0,0,0,0,0,0.355018001855849,0.087368822117924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.367517247554897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.00225682971411699,0,0,0,0.325081363051901,0,0,0,0,0.0671360318128172,0,0,0,0,0,0,0.00715740332206069,0,0,0,0,0,0.0464748537484672,0.174025954074193,0,0,0.0705208345254607,0,0,0,0,0,0,0,0.180937082704932,0,0,0,0,0.10650602912839,0,0.0171091437510876,0,0,0
X1299.HK.EQUITY,0.0759522492766822,0,0,0,0,0,0,0,0.134437383658516,0,0,0,0.101289192419407,0,0,0,0,0,0,0,0,0,0.0102370305873609,0,0,0,0.225816084293376,0,0,0,0,0,0,0,0,0.178415104579021,0,0,0,0,0,0,0.0718934400288844,0,0,0,0.106828885588418,0,0,0,0,0
X5.HK.EQUITY,0,-0.053843606642027,0,-0.123704227565572,0,0,0,0,0,0,0,0,0,0,-0.00819481375545555,0,0,0,0,0,0,0,-0.592437281138039,1.04203527888139,0,0,0,0,0.499963300467236,0,0,0,0,0,0,0,0,0,0.420848880748182,0,0,0,0,-0.103840803097035,0,0,0,0,0,0,0,-0.0724941791449541
X601628.CH.EQUITY,0.0595340695147125,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.174837547545097,0,0,0,0,0.133065098199318,0,0,8.67361737988404e-19,0,0.162345364828877,0,0,0,0,0,0,0,0,0,0,0.0101343165049417,0,0,0,0.0781115207464567,0.123131178944188,0,0,0,0,0.0279720558692631,0.0132236427421367,0,0.0830776211253947,0
X601658.CH.Equity,0,0,0,0.0508862096236124,0.158795810103113,0,0,0,0,0,0,0,0.271323783891279,-0.043056625487262,0,0,0,0,0,0,0,0,0,0,0,0,0.109617213649914,0.203046429706243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374064028805284,0,0,0,0
