,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0.462635199431649,0.0884309584792463,0.0923501299472722,0,0,0,0,0,0,0,0,0,0,0,0.0764703489942814,0,0,0,-0.0544011368030298,0.0565059513826384,0,0.106734212570162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698914858674833,0,0.0157255565879319,0,0,0.0083236770942457,0.0309556677248097,0.220941142547445,0.0175305941408301,-0.110305191374315,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.00573846745441453,0.137678770314352,0,0,0.0350533641419609,0.0631578233386035,0,0,0,0,0,0.252178049032191,0,0.0865761805232671,0.179171319712777,0,0,0,0,0,0.0201712231411981,0,0,0.134701800658462,0,0,0,0,0.0400736502187569,0,0,0,0,0,0,0,0,0.194072622985655,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.233198463519677,0,0,0,0.176585662556773,0,0,0,0,0,-0.0186172882823149,0.1198865963584,0,0.0621791255387997,0,0,0,0.0662235848979246,0,0.0763888622013819,0,0,0,0,0.252540897333033,0,0.21445999081477,0,0,0,0,0,0,0,0,0,0,0,0,-0.0519774050458077,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.116354579973365,0,0,0,0.0628503803219977,0.164726896038703,0.111536255071707,0,0,0,0,0.17398347094084,0.117214226487143,0,0,0,0,0,0,0,0,0,0,0,0.290600916503387,0,0,0,0.00870095036559775,0,0,0,0,0,0,0,0,0,0,0.130523654365408,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.174020616066147,0,0.0433330358487819,0,0,0.0784447434667207,-0.082822640199481,0.318854303200964,0.0106772848937379,0,0,0.0457596447449699,0,0,0,0.0738003990087285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169886992822276,0,0,0,0,0,0,-0.120816166933508
X601628.CH.EQUITY,0.0869680903910478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136445289717788,-0.0306279177411466,0,0,0,0.207399637187129,0,0,0,-0.0894350329884696,0,-0.0168880326474271,0,-3.46944695195361e-18,0,0.221161027759005,0,0,0.564274306495077,0,0,0,0,0,-0.0343854353122303,0.0664388660873823,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0315195540031571,0,0,0,0,-0.0781068353365465,0,0,0.0931988051889697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246802301827245,0,0,0,0,0,0,0,0,0,0,0.0729149716020978,0,0.293147996868685,0.260277587138149,0.174350661514108,0,0,0,0,0,0,0.288193118544439,0,0.0873965695208627
X601988.CH.EQUITY,0,0.118059185368646,0.0495001847085195,0.289627918357331,0.182401015513363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286520173605947,0,0,0,0,0,0,0,0,0.138490694837364,0,0,0.128411600823466,-0.0442085003735808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0208328427803796,0,0,0,-1.79527102705136e-05,0,0,0,0,0,0,0,0,0,0,0.0979786407664454,0.010818201882182,0.101183558420498,0,0,0,0.0557315235448401,0.232640134364367,1.73472347597681e-18,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.331324830457523,0,0,0,0,0.174189994611361,0,0,0,0.00240807575376772,0,0,0,0
X601166.CH.EQUITY,0,0,0.0761377070857489,0.169971849785578,0,0,0,0,0,0,0,0.0960571322061801,0,0.00244271533676562,0,0,0.0600218684667697,0,0,0,0,0,0,0,0,0.183628570573741,0,0,0.367257295868153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229454190538249,0,0,0,-0.0553922488401724,0,0,0,0
