,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0,0,0.0982427753115173,0,0,0,0.471144782600366,0,0,-0.0966073723991179,0,0,0.0672417791988667,0,-4.33680868994202e-19,0,0,0,0,0.0252145301088403,0,0,-0.0324408841473252,0,0,0,-0.0573260454190729,0,0,0,0.0871019718242616,0,0,0,0,0.183076919868557,0,-6.93889390390723e-18,0.0837315638406583,0,0,0,0,0,-0.0330712957745164,0,0,-0.160019618031171,0
X002142.CH.EQUITY,0.254912346749108,0,0,0,0,0,0,0.381388683855273,0.00793750245049465,0.126120583815123,0,0,0,0,0,0,0,0,0.131650927192827,0,-0.128355277966115,-0.0222112133105717,0,-0.0592919279860041,0,0,0,0,0,0.114046307300742,0.0630108140486862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0768067392363467,0,0
X600000.CH.EQUITY,0.0744557164597293,0,0,0,0.190027463069012,0,0.0722775863781359,0,0,0,0.029651404502316,0.00376357949321575,0,0,0.0591407699462092,0,0,0,0,0.0382485414118409,0.164415850670059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846246307893691,0,-0.0132395244629558,0,0,0,0,0,0,-0.0249054896181721,0,0,-0.127433368848855,0
X600015.CH.EQUITY,0,0,0.199108328871029,0,0,0,0.628233058100211,0,0.0417378753550109,0,0,0,0,0,0,0,-0.0273612302433088,0.0387867728693482,0.0539692887313998,0,0,0,0,0,0,0,0,0.0117467488427094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784700559921822,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.155658125411949,0,0,0.0357729399792455,0,0,0,0.0626545234755201,0.415928620225539,1.73472347597681e-18,0,0.159626463172966,0,0,0.0782511575502624,0,0,0,0.0261015817910878,0,0.0762621362743159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.087114006964825,0,0,0,0.107997673697106,0,0,0,0.0629819355672472,0,0,0,0,0,0
X600036.CH.EQUITY,0.112607554555431,0,0,0,0.438286544234697,0,0,0.0360720506559844,0,0.0455134323672943,0,0,0,0,0,0.0618859713480402,0,0,0.0558764973094317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0456527924570529,0,0.000674176491510001,0,0,0,0,0,0,0,0.083676173017182,0,0,0,-0.165890541987396,0
X600919.CH.EQUITY,0,0.160810161570736,0,0.0860031777418403,0,0,0,0,0.0506039355467665,0,0,0,-1.73472347597681e-18,0.114477468236207,0,0,0.252861430204455,0,-3.46944695195361e-18,0.524080204417527,0,0,0,-8.67361737988404e-19,0,0.24939793626061,0,0,0,0.0180214129816519,0,0,0,0,0,0,0,0,0,-0.0610685740888739,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.652418502638781,0,0,0,-0.0755922609008986,0,0,0,0,0,0,0,-0.0223643074154022,-0.00943118908183883,0,0,0,0,0,0,0.0963346552161705,0,0,0,0.0593721074371228,0,0,-0.0348111405000066,0,-0.126667940381709,0,-0.0378621446423049,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0
X601009.CH.EQUITY,0.0170712741641754,0,0,0.153904786837771,0,0,0.211781569714986,0,0,0,0,0,0,0,0,0.141458204674726,0.100584421588755,0,0,0,0,0,0,0,0,0,0,0.19180127074364,0,0,0.0316323881153068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170500449080629,0,0,-0.0861321356847563,0,0.0233780414400001,0
X601166.CH.EQUITY,0.39200570879064,0,0,0,0.000121829117622103,0.0891356890237068,0,0.277351160443865,0,0,0.0713685920677039,0,0,0,0,0.0707269125307053,0,0,0,0,0,-8.67361737988404e-19,0,0,0.09636682701734,0,0,0,0,0,0,0,0.12015451779651,0,0,0,0,-0.127586463398595,0,0.0177818575176103,-0.0739785229081979,0,0,0,0,0,-0.160174310820163,0.054516920264176,0,0,-0.0613897947110606,0
