,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.193157401463596,0,0,0,0.0679378078206819,0,0,0.232371765539579,0,0,0,0,0,0,0,0,0.207286649082849,0,0,0,0,0,0,0,0,0,0,0,0.0766279406632447,0,0,0,0,0,0,0,0,0.0171801851562703,0,0.122504622286775,0.0427259851524915,0.103407915665618,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.396195146122565,0,0,0,0,0,0,0,0,0,0,0,-0.0380094227567381,0,0,0,0,0,0,-0.00835250975455865,0,-0.228692684008982,0,0,0,0,0,0,0,-0.0896147235309877,0,0,0,0,-0.162208388933138,-8.67361737988404e-19,0.241620717972124,0,0.613827733407176,0,0,-0.00632843238393399,-0.020438950049274,-0.039538391309405,0,-0.102035875036115,0
X600000.CH.EQUITY,0.135451816583653,0,0,0.124575085179403,0,0,0,0.04167858955022,0.0784540701734284,0,0.0211909477979003,0,0.347090407522983,0,0,0,0,0,0,0.0535332867796902,0,0,0,3.46944695195361e-18,0,0.00906338789403588,0.0922583991469018,0.145826133916814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.399736874474679,0,0,0,0.0477207427249839,0.107549652179069,0,0.0560979602446239,0,0,0,0,0,0,0,0.114727133809128,0,0.0525350605199329,0,0.0340312927185771,0,0,0,0,0,0,0,0.0998320590872118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412185734351269,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.113519927478864,0,0,0,0.302758557533097,0,0,0,0,0,0.402976265564595,0,0,0.00996782046833094,0,0,0,0.0390141190009759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0331590696509689,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.171447424431518,0.0496127291146171,0,0,0,0,0,0,0.313596432799751,0,0,0,0,0,0,0,0,0,0.0164038253784979,0,0,0,0,0,0.102591202820488,0,0,0,0,0,0,0,0,0,0.0435348907556006,0,0,0.09702151000445,0,0,0,0,0,0,0,0,0.163243662027203,0,0,0,0,0
X600919.CH.EQUITY,0,0,0.34757231209772,0,0,0,0,0,0,0,0,0,0.0216848586417123,0,0,0.46172041820677,0,0,0.121520281653778,0.0107909186635064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0373095542901491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0.114188490722148,0,0,0,0,0.0385199093071397,0.37470937892945,0.0994962890116028,0,0,0,0.207013644361314,0,0,0,0,0,0.0148363407559545,0,0,0,0,0.0585982355540489,0,0,0.0550052446334616,0,0,0,0,0,0,0,0,0,0,0,0.0672538204777017,0,0,0,0,-0.057808183243262,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.322467391648873,0,0.246807523554107,0,0,0,0,0,0,0.266147472968191,0,0,0,0,0,0,0,0,0.0444235347692087,0.0372472989258355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197620389029031,0,0,0,0,0.0989800096894411,0,0
X601169.CH.EQUITY,0.0554513701573907,0,0.144992101045311,0,0,0,0,0,0,0,0.0199309634015268,0,0.304363839149729,0.149864327153133,0,0,0,0,0,0.0561873359427654,0,0,0,0,0,0,0,0,0.175305089615339,0.0514290270348302,0,0,0,0,0,0.0471989664893144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
