,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.14772239226904,0.247033611001978,0,0,0.240741083998633,0,0,0,0,0,0,0,0,0.162143923876999,0,0,0,0,0.0380174335281131,0,0,0,0,-0.0280482322130739,0,0,0,0,0,0,0,0,0,0,0.0778176831608264,0,0,0,0,0.106515512389472,0,0.0636671957792814,0,0,-0.0154240304256095,0,0,0,0,0,0.0759548766374425
X002142.CH.EQUITY,0,0,0,0,0,0.362469832854091,0,0.237331485733654,0,0,0,0,0,0,0,0,0,-0.050167082291212,0,0,0,0,0,-0.0543127814717558,0,0,0,-0.154375262896921,-0.116252765424133,0,0,0,0,0,0,-0.111460594337846,-0.0359513001945603,0,0,0,0.0550532325311129,0.356697856226039,0,0.297914945581372,0,0,0,0,-0.082490894221694,0,-0.0898784566193072,-0.0503582870971784
X600000.CH.EQUITY,0.162127338077047,0,0,0,0,0.0697249742003301,0,0,0,0.132672651535074,0,0,0.419213611339441,0,0,0,0,0,0,0,0,0,0.0399009648719385,0,0.030319722853082,0,0,0.0872482896541148,0,0,0,0,0,0,0,0.11582607688425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.138522704770015,0,0.0451108417112421,0,0.0428101807890188,0.109874795651068,0,0,0,0,0,0,0.113893694976802,0,0,0.0223897903215103,0,0,0,0.0438248077272597,0,0,0,0,0,0,0,0.181770039613727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239214193020166,0,0,0,0.0359125816339227,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.0700648202339537,0,0,0,0,0,0.471244236313293,0,0,0,6.93889390390723e-18,0,0,0.092272863072881,0,0,0,0,0,0,0,0,0,0.14479926843047,0,0,0,0,0,0,0,0.130349203103649,0,0,0,0,0,0,0,0,0,0,0,0.0979201062572101,0,0
X600036.CH.EQUITY,0.572258091365549,-1.35525271560688e-20,0,0,0,0,0,0,0.0132068533872059,0,0,0,0,0,0,0,0,0,0.00261264264660674,0,0,0,0,0,0,0.0443643614293411,0,0,-0.0626257974301229,0,0,0,0,0,0,0,0.0503325345512443,0,0.0927586456526127,0,0,0,0,0,0,0,0.176453866626199,0,0,0,0,-0.0330199557996302
X600919.CH.EQUITY,0,0,0,0,0.125536761931072,0,0,0,0,0,0,0,0.397401750780154,0,0,0.249920933009422,0,0,0,0,0,0,0,0,0,0,0,0,0.101402345640813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0.195653829762002,0,0,0,0,0.10336844831274,0.00738934184970383,0.000229845285347193,0.173329857711782,0,0,0.175651289256383,0.160278283134463,0,0,0,0,0.0406722368785355,0.013374409994445,0,0,0,0,0,0,0,0,0.104178033186882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.329182891833773,0,0.350070812971769,0,0,0,0,0,0,0.142471593083779,0.067314200711004,0,0,0,0,0,0,0,0,0,0,0,0,0.0492328093149774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558811585665734,0,0
X601169.CH.EQUITY,0.0102341981679374,0,0.137067877663098,0.102574139871605,0,0,0,0,0,0,0,0,0.349030164601566,0.141748849974462,0,0,0,0,0,0.00704569845610939,0,0,0,0,0,0,0,0,0,0,0.146168826682488,0,0,0,0.0857544486353066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,-0.0195697838853201,0,0,0,0,0,0,0.318653892389503,0,0,0,0.170486997995331,0,0,0,0.0749219818060572,0,0,0.0985682086150579,0,0,0,0.256697298365553,0,0,-0.18981333341068,0,0,0,0,0,0,0.185256735456034,0,0,0.0544230300818697,0.0305183939668014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124610419985123
