,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0386003835933942,0,0,0,0,0.289873089715356,0,0.307535776583374,0,0,0.0899652052172115,0.0476163520279796,0,0,0,0,0.052744818166664,0.00204197107719504,0,0,0,0,0,0,0,0,0,0,0,0.12162104699074,0,0,0,0,0,0,0.0451790132849349,0,0.0296855108261092,0,0
X601577.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0662359683701511,0,0.20333030126209,0,0,0,0,0,0,0,0,0.649940586364558,0,0,0,0.0239876856421365,-0.0195365244641773,0,0,0,0.0716431115527927,0,0,1.73472347597681e-18,0.0732326039253002,0,0,0,0,0,0,0,0,0,0,-0.0353344090285903,0.0179153935219997,0.0238645539023282,0,0,0,-0.0271344884327793,0
X601818.CH.EQUITY,0,0,0,0.496974097721258,0.0156423118724731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060828261207139,0,0.0129358390071609,0,0,0.00533014753703834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135297640982718,0,0,0,0.00340768103863178,0.0511095605181433,0,0,0,0,0.0762463844453682,0
X601838.CH.EQUITY,0,0,0,0,0,0,0.321712165358493,0,0,0.235050201553057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136478162694043,0,0,0,0,0,4.33680868994202e-19,0,0,0.172690304977115,0,0,0,0,0,0.0814215880572695,-0.0964631690307803,0,0.0597965587794562,0.0840933385309774,0,-0.179149065196284,0,-0.0935460371329538
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.262613245540958,0.0766823351761348,0,0.122141433449252,0,0.102527962593821,0,0,0,0,0.0491393949633799,0,0.0606549287174466,0,0,0,0,0.0430810155479001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.00940303056289514,0,0,0,0,0,0,0,0,0,0,0.40393866547966,0,0.10392093251499,0,0,0,0.158132138573586,0,0,0,0,0.152623442602483,0,0,0,0,0,0,0,0.0454761091647018,0,0,0.139666966609098,0,0,0,0,0,0,0,0,0.0618890578777705,0,0,0,0,0,0,0,0.00717907043072565
X601997.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.114136099894079,0,0,0,0,0.403895517978517,0,0,0,0,0,0,0,0.188852727923127,0,0,0,0.0530186740147312,0,0,0,0,0,0,0,0,0,0.0454284907741604,0,0.0117830188390599,0.274997229870625,0,0,0,0.0216057133631049,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0.0540008884669613,0,0.0420542703338416,0,0.308684982628754,0,0,0,0.0506635341963259,0,0,0,0,0.0731364196398499,0,0,0,0,0,0.0164021169877657,0,0,0,0,0,0,0,0,0.0765844368830269,0,0.0243342000668322,0,0,0,0,0,0.0419528609911904,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0.0443442793587814,0.132096913361512,0.0332266027083531,0,0,0.348583994836077,0.0229733589144074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126910000051717,0,0,0,-0.0176082372231714,0,0,0,0.116390861747646,0,0
X601916.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.312514808320931,0.106587869680297,0,0,0,0,0.0575304598816589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386274509013905,0.372178182778693,0,0,0,0,0,0,0,0,0,-0.126897696317896,0
X601077.CH.Equity,0,0,0.248863553851831,0,0,0,0,0,0,0,0,0,0,0.284104485359394,0,0,0,0,0,0,0.280332485488013,0,0,0.0684413696206032,0,0,0,0,0,0,0,0,0,0.0749771061188277,0,0,0,-0.0140275387810461,0,0,0,0,0,0,0,0,0,0,0,0.00461383817269866,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.788380950882288,0,-0.74451882256528,0,0,0,0,0,-0.0271216677241039,0,0,0,0,0,0,-0.385003247107243,-0.213484424865133,0,0,0.501157800915812,0.210847779681223,0.237571529067359,0,0.164228327909611,0,0,0,0,0,0,0,0,0.252090444702045,0,0,0,0,0.108902080310232,0,0,0,0,-0.310146352498838,0.182447500309369,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.180187516467574,0,0,0,0,0,0,0,0,0.326660187418836,0,0,0,0,0,0,0.0168937931459283,0,0.268202175726959,-0.111391222826407,0,-0.161960084638252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134751625826883,0,0,0,0,0.0597892742421944,0.124507867748631,-0.3106004534469
