,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.234752478452151,0,0,0,1.73472347597681e-18,0,0,0.108644017333507,0,0.237407224121998,0,0,0,0,0,0,0,0,0.127062846147355,0,-0.0893549770425897,0,0,0,0.275633722503893,0,0.0201541834405565,0,0,-4.83875723793752e-05,0,0,0.183593505274009,0.210774184405126,0,0,-0.280093858067869,0.0014949236518116,0,0,0,0,0,0,0,-0.0318887120440805,0,0,0,0
X002142.CH.EQUITY,0.13084701756248,0,0,0,0,0,0,0.141378733589548,0.143510941244859,0,0,0,0,0,0,0,0,-0.170738148176256,-0.149392617884352,0.100998965344724,0,-0.00355467125117563,0,0,0.0804436188739726,0,0,0,0,0,0,0.0986073199043081,0,0,0,0,0,0,0,0,0.203367912423456,0,0.0602049989189272,0,0,0,0,0,0,0,-0.174274791385605
X600000.CH.EQUITY,0.0622854431418866,0,0,0,0.0544483509489163,0.129227538285289,0,0,0,0,0,0,0.398100755305182,0,0.195846686780993,0,0,0,0,0.0652370218985525,0,0,0,0,0,0.251644285927153,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0196396222907707,0,0,0,-0.0493722784831437,0,-0.0188761256837396,0.0202116489154815,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.191104860698771,0.0143547957336429,0,0,0,0.362866606953115,1.73472347597681e-18,0,0.0566127056036126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1257316662202,0.0484973142235459,0,0,0,0,0,0,0,0.0937490021052914,0,0,0,0.0235656160291187,0,0,0,0
X600016.CH.EQUITY,0,0.0389134724433411,0.136495580158111,0.158337429362303,0,0,0,0,0,0,0.0984958993268988,0,0.176564899617895,0,0,0,0,0,0,0,0,0,0,0,0,0.0314799366892637,0,-0.106401781600057,0.141192076797873,0,0,0,0,6.93889390390723e-18,0.152303579812618,0,0,0,0.111698243424038,0,0,0,0.0153225645469533,0.0245837919102268,0,0,0,0,0,0,-0.122489056879055
X600036.CH.EQUITY,0.0328613449082497,0.12973592216662,0.401171860056339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0580176648650973,0,0,-0.0563325799021771,0,0,0,0,0,0,0,0.037107946883874,0,0.00176093035163737,0.0387876435738626,0,0,0.157527460954006,0,0.0805540927998808,0.212151229390918,0,0.0526591949416348,0,0.0270556095443701,0,0,0
X600919.CH.EQUITY,0,0,0,0,0.226227168777588,0,0,0.0340501913441278,0,0.196829962134645,0,0,0.0596423490712169,0,0,0,0,0,0,-0.0398311933471897,0,0.0278797790536953,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225458723805703,0,0,0,0,0,0
X601009.CH.EQUITY,0.247280398670633,0,0,0.158014832955975,0,0,0,0,0,0,0.0201380466307752,0.233193934841602,0,0.00310658751052474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770290360226678,0,0,0,-3.46944695195361e-18,0.105487347854739,0,0,0,0,0,0,0,0,0,0,0,0,0.147390356393315,0,0,0,0
X601166.CH.EQUITY,0.186617820645603,0,0,0,0,0.146311383674094,0,0,0,0,0,0,0,0,0,0,0.15244704011566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170389131518996,0,0,0,0,0,0,0,0.0081764437950475,0,0,0,0.0944552791405508,0.477114985977745,0,0,0,0,0,0,0
X601169.CH.EQUITY,-0.0231744941353661,0.0704267380180483,0.206667881067825,0.452209915260903,0,0,0,0,0,0,0,0,0.263803402422449,-0.0288494181942931,0.0623350457531569,0,0,0,0,0,0,0,0,0,0,0,-0.0879346980053554,0,0,0,0,0,0,0,0,0,0,0.00612440939041707,0,0,0.0917334572975411,0,0,0,0,0,0,0,0.0758551842184765,0,0
X601229.CH.EQUITY,0.128006642436879,0,0,0.130566559091333,0,0,0,0,0,0,0,0,0,0.309701218482214,0,0.0285921103233351,0,0,0,-0.199765444783071,0,0,0,0,0.0164371518033112,-0.00781486803062874,0,0.159239809598112,-0.119592471191956,0,0,0,0,0,0,0.261826718463448,0.214636136874859,0,0,0,0,0,0,0,0,0,0,-0.111588219388363,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0457544668992816,0.199864430158311,0,0,0.571929489193668,0,2.77555756156289e-17,0.122712069329013,0,0,0,0,0,0,0.0120910589971222,0,0,0,0,0,0.121009051940524,0,0.058403769189462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
