,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X000627.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.0236150047030904,3.46944695195361e-18,0,0,0,0.0524785451693695,0,0,0,0,0,0,0,0,0,0,0,0.0563647662666499,0,0,0,0,0,0.225217676813495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358397114719252,0,0,0,0.123476942021476,0,0,0,-0.00278609136343846
X002142.CH.EQUITY,0.290085590735781,0,0,0,0,0,0.0337770148870223,0,0,0,0.182123014751484,0,0,0.0405171549239437,0,0,0,0,0.335285739946937,0,0,0,0,0.0207325897478982,0,0.0266401148140669,0,0,0,-0.217743413257753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.180112778102207,0,0.203868101019823,0.0790823933607057,0.086001343942792,0,0.0494910029698395,0
X002958.CH.EQUITY,0.0468359709606748,0,0,0,0,0,0,0,-0.0405990610669943,0.368220965762192,0,0,0,0.336156553741809,-0.0126371194315145,0,0,0,0,0,0,0,0,0,0.0121297596593095,0,0.087516627227244,0,-0.0347785990449209,0,0,0,0,0,-0.0209075273849416,0.100856866047264,0,0,0,0.137901219199317,0,0,-0.0397274561051603,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0295687233366132,0,0,0,0.247622780313345,0,0,0.0408257371447728,0.0101601429224764,0,0,0.0528652090645417,0,0,0,0,0,0,0,0.216026461577689,0,0,0,0,0,0,0,0,0,0,0,0,0.111263784128049,0,0,0,0,0,0.0823575115091515,0,0,0,0,0,0,0,0,0,0.115186867604172,0,0,0
X600015.CH.EQUITY,0.173718820024725,0,0,0.0947575602707239,0,0,0,0,0,0,0.208380098346758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499174762449529,-0.0301650076816025,0,-0.0107393805313692,0,0,0,0,0,0,0,0,0,0,-0.12340098925194,0,-0.0381047927060519,0,0.117435251936467,0,0,0,0,-0.0118036823812253,0.0147199360314895,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.358911345077283,0.0970970634501595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414212385822773,0,0,0,0.10700295634011,0,0,0,0,0,0,0.111359211386901,0,0,0,0,0.0591886719466934,0.0137088024789939,0.109535237719154,0,0,0,0.201521064597647,0,0.191150031667274,-0.0967292750649111,0
X600036.CH.EQUITY,0.329515826628142,0.199901155592018,-0.120131750107965,0,0,-0.0252790064860407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116365329523985,0,0,0.314096961513707,0,0,0,0,0,0,-0.0568652923150228,0,0,0,0,0,0,0.158410076275075,0,0,0,0,0,0,0,0,0,-0.0693596689000227,0.157929383030921,0,0
X600919.CH.EQUITY,0,0.0275306623506315,0,0,0,-0.113075829782789,0,0,0.208847327568569,0,0,0,0,0,0,0,0.181059923767366,0,0,0.206620371331571,0,0,0.37456930187174,0,0,0.308919000915783,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143280930261417,0.129882159197458,0,0,-0.0805410635688562,0,0,0,0,0,0,0,-0.0726802367956649
X600926.CH.EQUITY,0,0,0,0,0,0,0,0.0152259454859812,0,0,0.153926444680826,0.258235392244209,0,0,0,0,0,0.0705333705106978,0,0.326965820891611,0,0,0,0,0,0,0,-0.0697922218050112,0,0,0,0,0,0,0,-0.0727256142218112,0,0,0,0,0,0,0,0,0,0,0,0,-0.0384375875815493,-0.0286147782974885,0,-0.185483343013697
X600928.CH.EQUITY,0,0,0.431577322188713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548174045186385,0,0,0,0,0.149881552079367,0,0,0.213984945244361,0,0,0,0,0,0,0.0210669742814578,0,0,0,0,0,0,0,0,0,0,0,0.115096631001722,0,0,0,0.0265848650027074,0.0660474343622535,0,0.0450541121981818
