,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.152187943566566,0.0320661772406438,0,0,0.119251315335421,0,0,0.0646798584158673,0,0,0,0,0,0.242627811523539,0,0,0.104654947267469,0,0,0,0,0,0,0,0,0,0,0,0,0.133915378748103,0,0,0,0,0,0,0,0,0,0.102214429656966,0,0.114848147988268,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.316623887202951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258460904902585,0,0,0,0,0,-0.269198589480864,-0.0528528557329616,-0.00512920452546256,0,0,0,-0.135872589159837,0,-0.00483002955333374,-0.0719245900976952,0,0,0,0,0,0.250397024423544,0,0.578087447834703,0,0,0,0,0,0,-0.0374606147862635,0
X600000.CH.EQUITY,0.0228494030231226,0,0,0.35802455679869,0,0,0,0,0,0.228375126542318,0.0296510751913318,1.73472347597681e-18,0.158575526894887,0,0,0,0,0.0412264558874179,0,0,0,0,0,0.0908552946044327,0,0,0.0589627240269211,0,0.0619270325042218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.372840944120621,0,0,0,6.93889390390723e-18,0.0738442342478028,0,0.184712933247133,0,0,0,0,0,0,0,0.161867983732316,0,0.0457781299622432,0,0.0166049828337551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512491501973597,0,0,0,0,0,0,0,0.0287128314186768,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.0937012901118306,0,0,0.187904067868677,0,0,0,0,0,0.371994663908323,0,0,0.0795302797397041,0,0,0,0.10968838335596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400144740648436,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.245456277218485,0.0356173872163466,0,0,0,0,0,0,0.272002642130046,0,0,0,0,0,0,0,0,0,0.0011354331316243,0,0,0,0,0,0.0772413902778141,-0.056594401743643,0,0,0,0,0,0,0,0,0,0.0466962320228082,0,0,0.085783074352805,0,0,0,0,0,0,0,0.242807266142783,6.93889390390723e-18,0,0,0.00993206353148365,-0.0166055091473226
X600919.CH.EQUITY,0,0,0.0438551772173,0,0,0,0,0,0.0879754712487571,0,0,0,0.509249956710136,0,0,0.130720733927733,0,0,0,0,0,0,0,0,0,0,0,0.152244494097789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,-1.73472347597681e-18,0,0,0.147022129662722,0,0,0,0,0.0424826373332844,0.263985639570596,0.0662832792751382,0.0815817375828661,0,0,0.18874231481232,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.029671738268574,0,0,0,0.0742698137769981,0,0,0,0,0,0,0,0,0,0,0.0985742807341215,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.328041293207206,0,0.389693224217584,0,0,0.0575962699417135,0,0,0,0.155706341677916,0,0,0,0,0,0,0,0,0,0,0,0,0.0782265405833239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0.035891979454624,0,0.278481324657531,-1.38777878078145e-17,0,0,0,0,0,0,0.0831429411215783,0,0.18128494824438,0.15938283712126,0,0,0,0,0,0,0,0,0.0100582822549462,0,0,0,0,0,0,0.0939564705980188,0.0490591207104533,0,0,0.108364830986966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.0708190576161245,0,0,0,0,0.410646020670957,0,0,0,0.0308294977784189,0,0,0.152557734394953,0,0,0.0208302002269146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265573924635757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0393930108500455,0,0,0,0,0,0,0,0,0,0.0114428681469526,0,0,0.371525195319773,0,0,0.401703460287582,0,0,0,0,0.0240111468871455,0,-1.73472347597681e-18,0,0.00561009657242088,0.00513292657935446,0.0493191705687821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850313175801427,0,0,0,0
X601328.CH.EQUITY,0,0,0.676732643603196,0,0.0388140074143501,0,0,0,0,0,0.207284020608641,0,0,0,0,0,0,0,0,0,0,0.0118864291022128,0,0,0,0,0,0.0211361959997452,0,0,0,0.0164315272429483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0.175482979856358,0,0,0,0,0.343315837561279,0,0,0,0,0,0,0,0,0,0,0.0157793583539352,0,0,-3.46944695195361e-18,0.0770146548292145,0.069235488493249,0,0,0,0,0,0,0,0,0,0,0,0,0.0664058912546014,0,0,-3.46944695195361e-18,0,0.153707005980003,0,0,0,0,0,0
X601818.CH.EQUITY,0.285069817289057,0,0.122157725897159,0,0,0,0,0.179796705952611,0.120863717649614,0,0,0.0783920787367099,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.109181914020205,0,0,0,0,0,0,0,0,0,0.182885862730372,0,0,0,0,0,0,0,0,0,0,-0.186054766070446,0,0,0.0153227812213789
X601939.CH.EQUITY,0,0.178388645269923,0.363546052099654,0,0,0,0,0,0,0,0,0.0478436227515182,0,0.276732212812962,0,0,0.0593733324002377,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442081342625638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.107760675750872,0,0,0,0,0.0892530341023061,0,6.93889390390723e-18,0,0,0.145994021973715,0,0.283444640107249,0,0,0,0.038172840884723,0,0,0.128231580577782,0,0,0,0,0,0,0,0.0890890439124817,0,0,0,0,0.115534955870951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373742361403725
X601998.CH.EQUITY,0,0.010919710962146,0,0.364173003995941,0.127743707827274,0,0.0960808783840465,0,0,0,0,0,0,0,0.0828083830505361,0,0.0965153113219963,0,-0.00189787758138486,0.105920214575444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117087028888667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666972715943333
X601658.CH.Equity,0,0,0,0,0,0,0,0.337637229797539,0,0,0.201251011678638,0,0,0,0,0,0,0,0,0.979785608491231,0,0,0,0,-3.46944695195361e-18,0,-0.242534811716164,0,0,-0.345542423767727,0,0,0,0,0,0,0,-0.0300638967774627,0,0,-0.252706591663258,0,0,0,0,0,0,0,0,0,0,-0.0372175967541906
X601916.CH.Equity,0.0563397272235953,0.0601212949098034,0,0.240790019834269,0,-0.416645665612029,0,0,0,0,0,0,0,-0.184926918943195,0,0,0,0.699750710276718,0,0,0,0,0,0,0,-0.0599872665844182,0,0,0,0,0,0,0,0,0.157841260060894,0,0,0,0,0,0,0,0,0,0,0,0,0.291949334234561,0,0,0.024613493434154,0.0744076905738089
