,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X600837.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148437190598753,0.135987349140882,0.0134541583682538,0.0330042262733172,0,0.11096010964633,0,0,0.357061474081512,0,0.106018960811965,0,0,-0.0174953443956286,0,0,0,0,0,0,0,0,0.0578216628078694,0,0,0
X600958.CH.EQUITY,0,-0.0691272351283861,0,0.0831818823133757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0920467132098867,0,0,0,0,0.192183193665572,0,0.160902244368511,0,0.0747211031388314,0.127796450740244,0,0.273191021825202,0.0402097670180611,0.0138679985645861,0,0,0,0,0,0,0,0,0,0,0,-0.0310058977835776
X600999.CH.EQUITY,0,0,0,0,0,0,0.0371836653577231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236581167487113,0,0.123401892662636,0,0,0.164039752479528,0,0,0,0.124091402294241,0,0.00927625847419465,0,0,0,0.0753073438098539,0,0,0.12917329141396,0,0,0,0,0.00787245302393795,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0.0711022449666571,0,0,0,0,0,-0.0377204745431313,0,0,-0.0765360541259346,0,0,0,0,-0.00705472782381442,0,0,0,0,0,0,0.401086141076592,0,0.0181396371027095,0,0.303222580359232,0,0,0,0,0.187681042471256,0,0,0,-0.146355451514072,0,0,0,0,0,0,0,0,0.0858950294752279,0.0451765815295192,-0.119914969963002,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.147486173495425,0,0,0.273014490208361,0,0,0,0,0,0,0.15062385093829,0,0,0,0,0,0.0414727014050707,0,0,0,0.233356414927175,0.0607786596479156,0,0.0463693629962233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601236.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.229404455724102,-0.0581313584695776,0,0,0,0,0,0,0.748584740709553,0,0,0.173207920492074,0,0.100463078067388,0,0,0,0.1039720351881,-0.160699025267393,0,0,0,0.0696416828084683,-1.38777878078145e-17,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0.0632403404674517,0,0,0,0.192562808791515,0,0,0,0,0,0,0,0,0.054671021384373,0,0,0,0,0,0,0.172226602007042,0,0.103733248697303,0.0521249895028399,0,0.158714148494311,0.124308716002846,0.00509548438755878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601881.CH.EQUITY,-0.0423595156894993,0,0,0,0,0,-5.55111512312578e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304217089165639,0,0,0,0.0290681845410764,0,0,0.431237943063983,0,0,0,0.113023454772218,0.447540015450005,0,0.017090320636459,0,0,0,0,0,0,0,0,0,0,0,-0.115790003093522,0
X601901.CH.EQUITY,0,-0.233907114544873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424533537472295,0.451616133539252,0,0.00599829826592589,0,0,0,0.0983454165910734,0,0,0,0.0212347873957042,0.104040734631197,0,0,0,0.0598541694475431,0.295121119186247,0,0,0,0.153698717781815,-0.205095442708,0
X601696.CH.Equity,0,0.00360632171775116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371293912253648,0,0.107331358859643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135698657946766,0,0,0,0,0.00135716920620577,0,0,0,0,-0.0075729039185549,0,0,0,-0.121802842062723,-0.0334603644943525,0.134440316550314
