,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2823.TT.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.327694285619373,0.115441990530727,0.111436295999901,0,0.106652085937178,0,0.211060565358098,0,0,0,0,-0.0249789560411405,0,0,0.0259427883206539,0.0305391620963805,0,-0.00778077412917804,0,0,0,0,0,0,0,0,0,0,0,0.0451988970576713,0,0,0,0,0.188860177180526,0,0,0,0,0,0,0,-0.0968591998112298,0,0,0,0,0,0,0.110841117191005,0
X002142.CH.EQUITY,0,0,0,0,0,0.252068444279031,0,0.490944384486708,0,0.00479140210091065,0.12593475338594,0,-0.224155811234837,0,0,0,0,-0.213509581350011,0.251663661254631,0,0,0,0,0,0,0.0557544259658815,0,0,0,0,0,0,0,0.125631878791381,0,0,-0.103195761620648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.163689903164207,0,0.105136858541138,0.213441339820548,0,0,0,0,-0.0134510400362401,0,0,0,0,0,0,0.322098391759479,0,0,-0.0113513283196605,-0.0578547586284719,0,0,0,0,0,0.109581209807932,0,0.178111606036187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256575247808834,0
X600015.CH.EQUITY,0.183147436658694,0,0,0,0,0,0,0,0,0,0.343049713308026,0.133836083005639,0,0,0,0,0.0506657372297807,0.118165880879909,0,0,0,0.00530536510371925,0,0,-3.46944695195361e-18,0,-0.139244686658353,0,0,0,0,0,0,0,0,0.0159346610290768,0,0,0,0,0,0,-0.0224217123789498,0,0,0,0,0,0,0,-0.0526100150130299,0.0484196647329108
X600016.CH.EQUITY,0,0.348425305338851,0.119080236797381,0,0,0,-0.0639424752093658,0,0,0,0,0,0,0,0,0,0.0328892662509181,0,0,-0.265186359752836,0,0.0760872518442742,0,0,0.829739516921229,0,0,0,0,0,0,0,0,-0.106947853519998,0,0,0,0,0.202128918815594,0,0,0,0,0,0,0,-0.203525878738923,0,0,0,0,0.0929331627950901
X600036.CH.EQUITY,0,0.175595557565039,0.118006619371312,0,0,0,0,0,0.00979255496825427,0.154614012731157,0,0,0,0,0,0,0.153083719782487,0.0174780265933201,0,0,0,0,0,0,0.0370159640821382,0.00881201747675284,0,0,0,0,0,0,0,0,0.0330172302990809,0,0,0,0,0,0,0,0,0,0.269382526841407,0,0,0,0,0,0.0274137310630649,-0.0427217483578869
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.232062199717337,0,0,0.0586620536071819,0.132424730207619,0,0,0,0,0,0,0.0505967885460773,0,0.215491922908239,0,0,0,0,0,-0.134111190725725,0,0,0,0,0,0,0,0,-0.0232515575861894,0,0,0,0,0.0284256321994797,0,0,0.0405685414218334,0,0,0,0,0,0,0,-0.0314278925526793
X600926.CH.EQUITY,0.186846925767292,0.233501563160383,0,0,0,0,0.0830683260540228,0,0,0,-0.0936787010143738,0,0,0,0,0.374356018861128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435879694124676,0,0,-0.113251681593819,0,0,-0.0593532545215503,-0.0225043402732795
X601009.CH.EQUITY,0,0.292693409632356,0,-0.15703460316323,0,0,0,0,0,0.0437503531863686,0,0.224766971096956,0,0.0956474452354718,0,-0.0226869937599313,0,-0.0496985847910871,0,0,0.425622237028717,0,0.0146880371841262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10449754430483,0,0,0,0,-0.0207748724963693,0,0,0,-0.0751843239966582,0,0,0,0,0,0
X601166.CH.EQUITY,0.286215340970681,0,0,0,0,0.545219542094579,0,0,0,0,-3.46944695195361e-18,0.208886348570227,0,0,0,0,0,0,0,0,0,0,0.0890943538795178,0,0,0,0,-0.0527699098278374,0,0,0,0,0,0,0,0,-0.178461041716206,0,0,0,0,0,0,0,0,0,-0.0400915390292563,0,0,0,0,0
