,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.226834006894619,0,0.0461808911999981,0,0,0,0.0439234163032907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196832801260244,0.0976631660626106,0.154527775440314,0,0,0,0.0575458331135273,0,0,0
X002142.CH.EQUITY,0.0522415456424884,0,0,0.0468203833228096,0,0,0,0.340995293406346,0,0,0,0,0,0,0,0.110803151709401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940958484580939,0,0.20358932255594,0,0,0,0,0,0,0,0.117672512316026,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0793101116139125,0,0,0.0290456889493604,0.230364025800539,0,0.042003343623445,0.169664992532538,0,0.0711572601118724,0,0,0,0,0,0,0,0.0171160814055335,0.11456145154387,0.0803339333543714,0,0,0.0391593738682071,0.00412120294763665,0,0,0,0,0,0,0,0,0,0,0,0,0.042572592545469,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0.20148115764355,0,0,0,0,0,0,0.0922724579796438,0,0,0,0,0.319898351104825,0,0.0545571069947106,0,0,-0.0450309697067099,0,0,0,0,0,0,0.0393387535173408,0,0,0,0.364755195566393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.0523905455646847,0,0.268139924597536,0,0,0.0198337058608228,0,0.185614821882974,0,0,0.113886240854514,0.0887576377278087,0,0.101267225918186,0,0.0563849300056542,0,0,0,0,0,0,0.0749473439102078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.775769392434129,0,0,0.145856625356765,0,0,0,0,0,0,0,0,0,0,0.074771229702608,0,0,0,-0.0244836218004699,-0.025373761605645,-0.0683634619292798,0,0,0,0.0547687875519296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02393276402368,0,0,0,0
X600919.CH.EQUITY,0,0,0,0.00401752169178129,0,0,0,0.287527534928786,0,0,0,0,0,0,0.0703729295539859,0,0,0,0,0,0,0,0.00168068862377532,0,0,0,0,0,0,0,0,0.167215145889275,0,0,0.382749093643554,0,0,0.0679735727604898,0,3.46944695195361e-18,0,0,0,0,0,0,0.0173190017411216,0,0,-0.0815198693359844
X601009.CH.EQUITY,0,0,0,0.0446937361406951,0,0.164082124888605,0,0,0.477197453020017,0,0,0,0,0,0,0,0,0,-0.00474802675395183,0,0,0,0,0,0,0,0,0,0,0,0,0.118652289714297,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122989378515559,0,0.18976743519216,0,0
X601166.CH.EQUITY,0.0277094936340099,0,0.155164598026046,0,0,0.137626858135375,-3.46944695195361e-18,0,0,0,0,0,0,0.119486417387729,0,0.18267181252273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536674594513883,0,0,0,0.0618337910132745,0,0,0,0.132917356757843,0,0.0119420166739403,0
X601169.CH.EQUITY,0,0,0,0.021308834391174,0,0,0,0,0,0,0.110621619079337,0.165394349604692,6.93889390390723e-18,0,0,0,-1.73472347597681e-18,0.148341942881289,0,0,0,0,0,0,0,0,0.0976431849579689,0,0.103857683339074,0,0,0.0772926448888038,0,0,0,0,0,0,0,0,0.0449129323236616,0,0.0510936158767201,0.00935675585375918,-8.67361737988404e-19,0.100494633605498,0,0,0,0
