,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.334238640187376,0,0,0,0,0.0465153452420703,0,0,0,0,0,0,0,0,0.0307677795161086,0.0909382293307039,0,0,0.0779429172248583,0,0.0340949786412158,-8.67361737988404e-19,0,0.0720800786209627,0.0772303444393322,0,0,0,0,0,0,0,0,0,0,0,0,-0.0237937452544357,0,0,0.0337123296376941,0,0.175692488311912,0.0120605263016792,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0.12384347435533,0.473761147461574,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171387210696655,0,0,0,0,0,0,0,0,0.328497523200928,0,0,0,0,0,0,0,0.060232705094678
X600000.CH.EQUITY,0,0,0,0,0,0.0724689407101525,0,0.555857135352726,0,0,0,0.168248381688839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324767337010955,0,0,0.0234956997646627,0,0
X600015.CH.EQUITY,0,0.0226526766248433,0,0,0,0,0.655154237525743,0,0,0,0,0.0207414412833589,0,-0.0115314348007753,0,-0.0181077387516885,0,0,0,-0.0306564049473471,0,0,0.0280114122465127,0,0,0,0,0,0,0,0,0,-0.141199889931885,0,0,0,0,0,0.0806413188557097,0,0.0109604143245635,0,0.364760717029142,0,0,0,0,0,0,0.0192026763309478,-4.33680868994202e-19,0
X600016.CH.EQUITY,0,0.282711620660385,0,0,0,0,0,0,0,0,0.027752571402669,0,0,0,0,0,0,0,0,0,0,-0.0436964781391222,-0.108335124177396,-0.213884973452047,0.548274715740486,0,0.0906091744854242,0,0,0,0,0.040632068475545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0476329355832728,0,0,0
X600036.CH.EQUITY,0,0.387719763085407,0,0,0,0,0,0,0,0.024025350870136,0.0756121977960081,0,0,0,0.377012216620516,0,0,0,-0.065957442740308,0,0.074497329264113,0.0621537958063514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150042501616401,0,0,0,0,0,0,0.0282310579070232,0,0,0,0.0128747988007949,0,0
X601009.CH.EQUITY,0.0477896756297013,0,0,0.889726421135047,0,0,0,0,0,0.0363840753247025,0,0,0,0,0,0,0,0.0524971911311792,0,0,0,0,0,0.043875972104222,0,0,0,0,0,0,0,0,0,0,0,0.0363137545531681,0,-0.0622098717755636,0,0,-0.0998930363290096,0.0360916279104486,0,0,0,0,0.0317983498575049,-0.00357000148541104,0,-0.0982465629144746,0.0329812440379632,0
X601166.CH.EQUITY,0.0707306098363848,0.0117668598282534,0.204667082150524,0,0.0721376871949461,0.0148297664219105,0,0,0.271330778433063,0,0,0,0,0,0,0.249572428606684,0.104788273836012,0.0269906435957597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021821203751994,-0.00687515638145479,0,0.0136405880176852,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,-0.0179155815915005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750706556066665,0.0710324755463076,0,0,0,0,0,0,0,0,0,0,0.0507194883913875,0,0,0,0,0,0,0.0695710768997338,0,0,0.0209914439962136,0,0,0,0,0,0,0,-0.0239612720015739,0,0,0,0,0,-0.0225003467162705
X601229.CH.EQUITY,0,-0.0828880049269404,0,0,0,0,0,0,0,0,0.406730706611073,0.074495187659296,0.606583471080429,0,0,0,0,0,-0.460400626950765,0,0,0.0577418081136439,-0.00467632886784921,-0.0153753176649847,0,0,0,0,0,0,0,0,0,0,0,0.257383761704747,0,0,0,0,-0.139006886705528,0,0,0,0,0,0,0,0,-0.149118712145906,0.118066868488401,0
