,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.194791705306985,0,0,0,0,0,0,0,0,0,0,-0.132124288144226,0,0.489823527363873,0.685870928958164,0.0593194197112529,0,0,-0.124276496939134,0,0,-0.0556221142587933,0,0.0668369347501518,0,0,0,0,-0.159328595291863,0,0,-0.337841968849332,0,0,0,0,0,0,0,0,0,0,0,-0.0247000621319772
X601318.CH.EQUITY,0,0,0,0,0,0.140410498785483,0,0,0,0,0,0,0,0,0,0,0,0,0.358917453187771,0,0,0,0,0,0,0,0,0,0.083535448368858,0,0,0,0,0,0,0,0.42286347434167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.81984097935552,0.0238800670670404,0.0159272798879703,0,0,0,0,0,0,0,0,0,0.000663748574572428,0,0,0,0.0593444401733436,0,0,0,0,0,0,0,0,0,0,0,0.0164173992384097,0.045672281264492,0,0,0,0.00529090339168234,0,0,0,0,0,0,0,0.0671222969183964,0,0,0,0.0229500910962723,0,0,0,0
X601288.CH.EQUITY,0,0,0.922609143780517,0,0,0,-0.0678388540649861,0,0,0,0,0,0,0,0,0,0,0.116159976223244,0,0,0,0,0,0,-0.0147879955410863,0,0.0589818138660979,0,0,0,0,0,0,0,0,0,0,-0.10434572893592,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,-0.0477023766285367,0,0
X601988.CH.EQUITY,0.0693998887001581,0,0,0,0,0,0,0,0,0,0,0,0,1.25804268419717,0,0,0,0,-0.21396380667644,0,0,0,0,0,0,0,0.0672502646609019,0,0,-0.120724699883896,0,0,-0.149186248945287,0,0,-0.202852683062376,0,0,0,0,0,0.0112118276193057,0,0.0228298842255275,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.382620464288431,0,0,0,0,0,0.0167355574055417,-0.0229640948094044,0,0,0,0,0,0.136097514642431,0,0,0.0223549033965658,0,0,0,0,0,0,0,0.151438369551227,0,0,0.0750086495635399,0,0,0.186880430698489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057952466888287,0,0.0120543722161853
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.915163524033831,0,0,0,0,0,0,0,0,0,0.10110159418489,0,0,0,0,0,0,0,0,-0.114176620387549,0,0,0,0,0,0.0798442797414474,0,0,0,-0.0832513331443515,-0.0587142112333647,0,0,0,0.0165193691910936,0,0,0.0379822234531508,0,0.0582538123107161,5.42101086242752e-20,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.268621675875143,0,0,0,0,0,0,0,0,0,0,0,0.0637508557069888,0,0,-0.217584755841998,0,0,0,0,0,0.048839686140137,0.259515914844595,0,0,0.140431027682507,0,0,0,0,0,0,0,0,0,0,0,0.499557443664459,0,0,0.0201584730058338,0.033963441737149,0,-0.0692699384139595,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.115055553056521,0,0,0,0,0,0,0,0,0,0.16253148355147,0,0,0,0,0,0.249575986525473,0,0,0.206547347335885,0.163430662674158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140640639441117,0,0,-0.0555856213177149,0,0,0,0,0,0.0828906684356003,0,0.258623100659149
X388.HK.EQUITY,0,0,0,0,0,0,0.243644567351802,0,0,0,0,0,0,0,0,0,0,0,0,-0.237934014436206,0,0,0,0,0.374869780202387,0,0,0.0287671159339427,0.110431489568516,0,0,0,0,0,0,0,0,0,0,0,-0.00108585208303408,0,0,0,0.192140077997936,0.0188527837269917,0,0,0.0798572318968882,-0.24378618187297,-0.0347880033451441,0,0
