,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.34780917562908,0.0821800236809449,0,0,0,0.128451609375874,0,0,0,0,0,0,0.26322741363959,0,0,0,-0.0310715231493655,0,0,0,0,0.0367135778448033,0,0,0,0.076385167978744,0,0,0,0,0,0,0,0.0132163419315439,0,0,0,0,0,0,0,0,0,0,0.0199922369817452,0.0358348045430894,0,0,0,0
X601939.CH.EQUITY,0.0414946467009946,0,0,0.0546185571421254,0,0,0,0,0,0,0,0.0473928669642311,0,0.193012184929201,0,0.405982736781131,0,0,0,0,0,0,0,0,0,0,0,0,0.000816560012333285,0,0,0,0,0.106885850199531,0,0,0,0,0,0,0,0,0,0,0,0,0.136899132171326,0,0,0,0,0,0
X601318.CH.EQUITY,0.0486136538135002,0,0,0,0,0,0.164205039749672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120749396216597,0,0,0,0,0,0,0,0,0.131921166047403,0,0.076147991578191,0.0272632991382138,0,0,0,0,0.119788971942488,0.033948696188245,0.259302155934028,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.359661140211207,0,0,0,0.394381683768264,0,0,0,0,0,0.057360731388579,0,0,0,0,0.0410342956358735,0.0752878729197995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213089508624681,0,0,0,0,0,0,0,0,0,0,0,0.0148689262875523,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.226768275372135,0,0,0,0,0,0,0.0919108682860018,0,0,0.187742209317587,0,0,0,0,0,0,0.104237547347099,0,0,0,0,0.0232148542205899,0,0,0,0.0954469720881316,0,0,0,0,0.108280848993682,0,0,0.0936746637666217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.221674636246848,0,0,0,6.93889390390723e-18,0,0,0.291021818369611,0,0,0,0,0.157189620582831,0.72194269422462,-0.38300907151942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4095558483993,0,0,0,0,0,0,-0.173185092259725,0,-0.193607520522804,-0.000249422454393427
X600036.CH.EQUITY,0.133663682355313,0,0.0815823072193101,0,0,0,0,0.0289210684031454,0,0,0,0.0815634749375826,0,-1.38777878078145e-17,0,0.0724723454321033,0,0,0,0,0,0.18892251702439,0,0,0.0159428664848916,0,0,0,0,0,0.0612343599782343,0,0,0,0,0.170239568763099,0,0,0,0,0,0,0,0,0,0,0.00581178441039481,0,0,0.0214533672775042,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.145630955943556,0.174109314850806,0,0.00300883195091793,0,0,0,0,0,0,0,0.279499952448324,0,0,0.266610694690098,0,0,0.217163564240097,0,0,0,0,0,0,0.143534043617045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0811135163652267,0,0,0,0,0,0,0.0187969989113246,0,0,0,0.260316029522922,0,0,0,0,0,0,0,0,0.24809211654812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520554082819873,0,0,0.0383836684600007,0,0,0.0940128589824149,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.161717996803898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000379721953410497,6.93889390390723e-18,-0.309850866075019,0,0,-0.201971303025923,0,0.206093135426964,-0.0524365146293844,-0.27926411540889,0,0,0,1.42680774893994,0,0,0,0,0,-0.0967732508453746
