,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.152700907711677,0,0,0.00386216414549667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994293123076331,0.358699332375369,0.0892302807010651,0,0,0,0,-0.111933649014385,0,0,0,0.190907863442766,-0.205999570277527,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170012841580516,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0789637464058978,0.0168105016170553,0.0606594659176853,0,0,0,0,0,0,0,0,0,0,0,0,0.299743396995598,0,0,0,0,0,0,0,0,0,0,0.150521051936486,0,0,0,0,0,0,0,0,0.317517062115042,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.876239323295995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605034774088056,0,0,0,0.0306798446689206,0,0,0,0,-0.102804566783061,0,0.0879009989098062,0,0,0,0,0,0,-0.0126532236320261,0,0,0,0.0552529802412358,0,-0.0636940294306588,0,0,0.0403197357342557,0,0,0,0.0702714299152601,0,-0.00956042477106159
X601288.CH.EQUITY,0,0,0.75933007473457,0,0.00482586347080944,-0.0228100966488875,0,0,0,0,0,-0.0287041897207974,0,0.309912891818279,0,0,0,0.113031572779969,-0.00362061565689148,0,0,0,0,0,-0.111854479752999,0,0,0,0,0,0,0,0,0,-0.0870956723086608,0,-0.103818252114661,0,0,0,0,-0.0441444980495805,0,0,0,0,0,0,0,0,-0.022527195243674,-0.0170402404046217,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.65209721442916,0,0.277529759378122,0,0,0.10238848071085,0,0,0.0325929903844474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118529013990753,0,0,0,0,0,0,0,0.0546062353884528,0,0,0,0,0,0,0,-0.0192794067985465
X601628.CH.EQUITY,0,0.0419006394712184,1.73472347597681e-18,0,0,0,0.294224673855224,-3.46944695195361e-18,0,-0.0541148186760892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196966926262327,0,0.127968160706694,0.0589548176986293,0,0,0,0,0.0639681853795007,0.102332430975722,0.0811864741252724,-6.93889390390723e-18,0,0
X600036.CH.EQUITY,0,0,0.37380920649854,0.0571921627696404,0,0,0,0.0923968484028119,0.0717445238779808,-0.0505175730407687,0,0,0,0,0.120309314903304,0,0,0,0,0.0247350041884626,0,0,0,0,0,0,0.0652619591525561,0,0,-0.023921975669248,0,0,0,0.243924456335242,0,0,0,0,0,0,0,-0.0621851442825423,0,0,0,0,0,0.0507230569274856,0,0,0.0880656970048582,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0857324355443866,0,0,0,0,0,0,0,0,0,0,0.0348801644256991,0,0,0,0,0.183295276535184,0,-0.0613352882624323,0,0,0,0,0.1653329644543,0,0,0,0,0,0,0,0,0.0382990278964823,0.0229919239060076,0,0,0.175749965369481,0.116696875987011,0,0,0,0,0.443765558480349,0,0,0.0840027185104225,0,0
X5.HK.EQUITY,0,0,0,0,0,-0.14683558318593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415845362826916,0,-3.46944695195361e-18,0,0,0,0.936203359131477,-0.452522844140387,0,0,0,0.676571440623328,0,0,0,0,0,0.137561380522242,-0.229676096854969,0,0,0,0,0,0.0548066042080971,0.104077712277148,0,0,0,0.121085148978065,0,0.21907883975138,0,0.103903663561634
X388.HK.EQUITY,0,0.13096770765538,0,0,0,0,0,0,0,0,0,0,0,0,0.0850314467106835,0,0,0,0,0,0,0,0.323482641293536,0,0,0,0.157063914414518,0,0,0,0,0,0,0,0,0,0.111130098685443,0,0,0,0,0,0,-0.0676926632523913,-0.149764703925827,0,0,0,0,0,0,0,0
