,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.166991271637753,0,0,0,0,0,-0.192226598494406,0,0,0,0,0,0,0,0,0,0,-0.0220980015543256,0,0,0.384562754833147,-0.0313556037234683,0,0,0,0.430697435089124,0,0,0,0,-0.069385217220147,0,0,0,-0.0344516947554942,0,0,0,0,0,0.0233510122772978,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.0564707814421843,0,0,0,0.248440450709293,0,0,0,0,0,0,0.0361691553668248,0,0,0,0.0260958201436472,0,0,0,0.31717108717304,0.0826419996168163,0,0.0440209733614096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156000022703915
X601939.CH.EQUITY,0,0,0,0.771515844104336,0,0,0,0,0,0,0.101784753412527,0,0,0,0,0.112939575346997,0,0,0,0,0,0,0,0,0.0100363404866523,0,0,0.0677976763489993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00581107430487759
X601288.CH.EQUITY,0,0,0.905178641492393,0,0,0.0747903708351318,0,-0.063848165305717,0,0.00935987183244887,0,0,0,-0.0119383380884651,0,0,0.0370230694441675,0,0,0,0.0258349710309939,0,0,0,0,0,0,0,0,0,0,0.0633360648223889,0,0,0,0,0,0,-0.0567092971825245,0.00233896979643218,0,-0.130976274796663,0,0,0,0.0220465487454507,0,0,0,0,-0.0920883901690262,0,0
X601628.CH.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.243171761110248,0,0,0,0,0,0,0,0,0.445580966454185,0,0,0,0,0,0,0,0,-0.0559497809479718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105129902058167,0,0.373783538572978,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.347454325595878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175623666365445,0,0,0,0,0,0,0,0.199537795229714,0,0.0323583676057458,0,0,0,0,0,0,0,0,0,0.0611602309483124,0,0,0,0,0,0,0.0833028311098796,0,0,0,0,0.0118123125756982,0,0,0
X601988.CH.EQUITY,0,0,0,0.058776100683086,0,0.023072810384638,0,0,-0.0624817831968897,-0.00893779586617038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706932870212865,0,0,0,0,0,-0.0272642505610116,0,0,0,0,0,0,0,0,0,0,0,0,-0.128529096303852,0,1.0010305976127,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.153723729944146,0,0,0,0.17139559242845,0,0,0,0,0,0,0,0,0.313738033069068,0,0,0.0492502019743098,0,0,-0.0722960869922882,0,0.046827005220319,0,0,0,0,0,0.0941920127826062,0.062069292866155,0,0,0,0,0.16249224132698,0,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.0140958328188397
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169140237700715,0,0,0,0,0,0,0,0,0.0505788029078239,0,0.499062840138721,-0.0604171387981332,0,0,0,0,0,0,0.102382466969357,0,0.117666968643993,0,0,0,0.137283373737468,0.271749732095163,0.213166992017238,0,0,0,0.384948139931374,0,0.0780705612331604,0
X388.HK.EQUITY,0,0.261766555543991,0,0,0.303621890318765,0,0,0,0,0,0,0,0,0,0,0,0,-0.0582657128005655,0,0,0.0207629716563496,0,0,0,0.110543351665236,0,0,0,0,0,0,0,0,0,0,0,0,0.274433952878461,0,0,-0.0815490719552262,0,0,0,-0.189054686342314,0.250249545501565,0,0,0,-0.0746717913210263,0,0,0
X601658.CH.Equity,0,0.0205052617783869,0.18899290937685,0.149097250438024,0,0,0,0,0,0,0,0,0,0,0,0.0375616969770676,0,0.0490818078984446,0,0,0,0,0,0,0,0,0.180575696713414,0,0,0,0,0,0,0,0,0,0.00534780038971058,0,0,-0.038043790641939,0.128133626321476,0,0,0,0,0,0.0727820223772871,0,0,0.051975494851777,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0135227783126336,0,0,0,-0.000849370545226941,0.110562805742727,0,0,0,0.333061100362566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487049725637687,0,0,0.0746656392048798,0,0,0.182414091176881,0,0,0,-0.0557920197284823,0.15375759782926,0,0,0,0.210872877860796,0,0,0,0,0.0449211622909612
X601166.CH.EQUITY,0,0,0.0325977967238123,0,0,0.0440331076593469,0.190205773293946,0,0,0,0,0,0,0,0,0.0646104866166876,0,0,0,0,0,0.061695566757368,0.0660988888973835,0.374712610161782,0,0,0.0169964066722629,0,0,0,0,6.93889390390723e-18,0,0.00344430637439897,0,0,0.057625005651822,0,0,0,0,0,0,0,0,0,0,0,0.176139836029463,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.680446750847603,0,0,0.0402491149502203,0,0,0,-0.051424311910819,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0145391581717981,0,0,0,0,0,0,0.136657341732427,0,0,0,0.0498591171654115,0.00427347033441256,0,0,0,0,0,0,-0.00973249220577282,-0.00281664903125197,0
X000002.CH.EQUITY,0,0,0,0.178381731337383,-0.18401589649704,0,0,0,0.253522263512859,-8.67361737988404e-19,0,0,0.159873095055126,0.382421383993642,0,0,0,0,0,0,0.0278578448963455,0,0,0,-1.73472347597681e-18,-0.0156014231312371,0,0,-0.184027828595876,-0.0153853496285299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114384271159005,0,0,0.0258384976313309,0,0.0195768851707182,0,0.0277580333361512
X000001.CH.EQUITY,0,0.0912672006947461,0,0,0,0.174986537024948,0,0,0,0,0,0,0.035135857320486,0,0,0,0,0,0,0,0,0,0,0,0,0.209060663080303,0.0365881609685577,0,0,0,-0.0541254864741828,0.159168560178237,0,0,0.0177892002686814,0,0,0,0.076009358741856,0,0,0.0410250414836852,-0.00978837592765915,0,0,0,0,0,0,0,0,-0.298881531793117,0
X601328.CH.EQUITY,0.032911242426277,0,0,0.222645158329933,0,1.73472347597681e-18,0,0,0,0,0,0.0359028600957221,0,0,0,0,0,0.0603137430306651,0,0,0,0.376856361476877,0,0,0,0,0,0,0,0,0,0.0389717293220861,0,0,0,0,0,0,0.0491835599525423,0,0,0,0,0.000603729423735699,0.0839803358506616,-1.73472347597681e-18,0,0,0,0,0,0,0
