,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X823.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.152871130957131,0,0,0.0334427013572348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596434862352311,0,0.216224502857432,0,0.0527592176111745,0,-0.122108460979514,0,0,0,0,0,0.280290745069579,0,-0.169347192502259,0,0,0,0,0,0,0,0,0,0,-0.123647687336816,0,0,0,0.00657968815015058,0,0
X601318.CH.EQUITY,0,0,0,0,0.0878794047122649,0.0265784144668698,0.0602588461836325,0,0,0,0,0,0,0,0,0,0,0,0,0.287181115231784,0,0,0,0,0,0,0,0,0,0,0.15272488016995,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.309405369716501,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.843551855961742,0,0,0,0,0.0150068225185901,0,0,0,0,0,0,0,0,0.0204942132769321,0,0.0516752719143388,0,0,0.00510183459306158,0.0116083934975286,0,0,0,0,-0.126223591814728,0,0.0936628299889885,0.0865796512143077,0,0,0,0,0,0,-0.0165803229550751,0,0,0.0420571803786166,0,-0.0740117307472445,0.021449988153191,0,0,0,0,0,0.0700238108275732,0,0
X601288.CH.EQUITY,0,0,0.765701367486856,0,0.000551277193652142,-0.0445927980581313,0,0,0,0,0,-0.0173231136129892,0,0.299116485051368,0,0,0,0.125531636436679,-0.0179894424586439,0,0,0,0,0,0,-0.0737906977489906,0.00382130532688909,0,0,0,0,0,0,0,0,-0.0922653286803214,-0.0930353262472316,0,0,0,0,-0.0215739868856978,0,0,0,0,0,0,0,0,-0.0190952774156907,-0.0116930361337586,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.661357506855608,0,0,0.292664145607685,0,0,0.112488242071934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0941893029506034,0,0,0,0,0,0,0,0,0.0514587658499574,0.00310992419614558,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0.283559589431279,0,0,0,-0.0202157552046986,0,0,0,0,0,0,0,0,0,0,0,0.0362902662703053,0,0.053627874045281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207264213405318,0.121281328186361,0,0,0,0,0.0793116547472747,0,0.0809187983744403,0.07624075085001,0.0512703136940016,0,0
X600036.CH.EQUITY,0,0,0.257668003196298,0.186320340784451,0,0,0,0.117066095744599,0.0844871802198916,0,-0.0536825986458981,0,0,0,0.0567582617768635,0,0,0,0,0.0176847310024945,0,0,0,0,0,0,0.0285755676865397,-0.0157344875733722,0,0,0,0,0,0.261134081570505,0,0,0,0,0,0,0,-0.0131071734761223,0,0,0,0,0,0,0,0.0725535515651225,0.0326518094120233,0,0.0499944848085368
X1299.HK.EQUITY,0,0,0,0,0,0.088238850483784,0,0,0,0,0,0,0,0,0,0,0.032180269646762,0,0,0,0.182634234588683,0,0,-0.060999408707094,0,0,0,0,0.1657259977239,0,0,0,0,0,0,0,0,0.0231935802387377,0.0390446975133261,0,0,0.17490722686242,0.117093601075447,0,0,0,0,0,0,0.443782347795575,0.0843142474001911,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0.0453423891987847,0,0,0,0,0,0,0,0,0,0.13340380266712,0,0,0.0140446111543861,0.16903265978602,0.125736631560405,0,0,0.123315590322622,0,0,0,0.0229972583697153,0,0,0,0,0,0,0,0.165230356018838,0,0,0,0,-0.0453530093664878,0,0.248899809851368,0,0.127930115633829,0,0,0,0,0.279967731068473,0,0
X601658.CH.Equity,0,0,0,0.231623731483565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207949004547606,0.190614671715149,-3.46944695195361e-18,-0.09568924931392,-0.00500317928315789,0,0,0,-0.117984920264828,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837370989415477,0,0,0,0.373549146948763,0,0,0,0,0,1.73472347597681e-18,0,-4.33680868994202e-19,0,0
