,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X823.HK.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0053914795091009,0,0.231893920732874,0,0,0,0,0,-0.216377268975196,0,0,0,0,0,0,0,0,0,0,0,0.470061943392582,0.47502401145761,0,0,0.104620989588598,0,0,0,0,0,-0.0825226184598547,0,0,-0.180872681353923,0,0,0,-0.618046789394955,0,0,-0.0944250046277818,0.035201590191762,0.0321840610058732,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0323425630137809,0,0,0.213850186246533,0,0,0,4.33680868994202e-19,0,0,0,0.254490256609093,0.223340118789918,0,0,0,0,0,0,0,0,0,0,0.0326254611652069,0,0,0,0,0,0,0,0,0,0,0,0,-0.00864288623041115,0,0,0,0,0,0,0,0,0,0.00658744364741068,0,0.236123681835445,0,0,0,-0.131014050439831
X601318.CH.EQUITY,0,0,0,0,0.0243562361848062,0.263515410908052,0.138410551894354,0,0,0,0,0,0,0,0,0,0,0,0,0.223195202833636,0,0.153491329435086,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.279339167104805,0,0,0.328616605006398,0,0,0.0593436538433603,0,0,0.0186395751957611,0,0.104834612400829,0,0.0643131896031322,0,0,0,0,0,0.0686897379981004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609390467052467,0,0,0,0,0,0,0,0.00588442111161192,0.0268926274632086
X601988.CH.EQUITY,0,0,0,0.287165262256688,0,0,0,0,0,0.359792666186585,0,0.145264566449849,0,0,0,0,0.20036845272055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.237060204512052,0.0560816462514878,0,0,0,0,0,0,0,0,0,0,-0.15165347557974
X600036.CH.EQUITY,0,0.0871156294645921,0,0,0,0,0.0349688861162315,0.0622791876975505,0,0,0,0.114578866130907,0,0,0,0,0,0,0,0.126757992028063,0,0,0,0,0.0166864496604266,0,0.00163079873884892,0,0,0,0,0,0,0.387310599788594,0,0,0,0,0,0,0,0,0,0,0,0.072793190017026,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.27519457342196,0,0,0,0,-0.0681358741928543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953748075269532,0.155131964547755,0.156463025310435,0,0,0,0.0747217038961403,0.0310288257534633,0,0.0344997976080915,0.0336246304120546,0,0,0,0,0,4.33680868994202e-19
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386675814393965,0,-0.0558446585430752,0.0410695026645547,0.0406895133522149,0,0,0,0,0.187346305999037,0,0,0,0,0,0.157751402052502,0.141918939871448,0,0,0,0,0.189068447690749,0,0,0.316469256961449,0,0,0,0,0.154208872849882,0,0
X5.HK.EQUITY,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0481976596683751,0,-0.0656728999220424,0,0,-0.543699838016353,0.804284200709406,0,0,0.132056628715275,0.637173963641487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181386908952343,0,0,0
X601658.CH.Equity,0,0,0,0.0410417888990626,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294574563972604,0.0540618102188606,0,0,0,-0.00683103046287984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217604837224003,0,0,-0.0123304696396914,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.334085344103257,0,0,0,0,0,0,0,0,0,0,0,0.13109371503709,0,0,0,-0.259939133286258,0,0,0,0.27560658710668,0,0.0591331918036505,0,0,-0.041521130053358,0,0,0,-0.0913487248079682,0,0.0259373646301674,0,0,0.405421221021418,0,0,0,0,-0.000902976566243139,-0.206528411507169,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.132962287384874,0.0833952914280696,0.133595670564218,0.0870021061931048,0,0,0,0,0.026400818075098,0,0,0,0,0.329625063227418,0.109055969128001,0,0,0.0439237136393688,0,0,0,0,0.0212832335049007,0,0,0,0,0,0,0,0,0.013900929731792,0,0,0,0,0,0,0,0,0,0,-0.00454590339237964,0,0,0,0,0,0,0,0,0
