,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X600926.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.279568008227051,0.115041068159547,0,0.245573173881874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19971631860161,0,0,0,0,0,0,0.0147271638367721,0,2.16840434497101e-19,0.0185881612517966,0.0962302386496603,0,0,0,0.0891564298200754,0,0,0,0,0,0,0,0,-0.000883452114589445,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0843919131467713,0,0,0,0,0.119516542686993,0,0,0,0.0766214999418368,0.0101610760829447,0.168129736771963,0.258270047304627,0,0.0992608098278366,0,0,0,0.198242997899782,0,0.0429215082233312,0,0,0,0,0,0,0,0.0242223832880247,0,0,0,0,0,0,0.0781501093551565,0,-0.0461245486833987,0,0,0,0,0,0,0,0,0,0,0,-0.0114061601785147
X600036.CH.EQUITY,0,0,0,0,0,0.117234233911162,0,0,0,0,0,0,0.0873259641683603,0,0,0,0,0,0,0,0,0,0.0493305680283708,0,0,0.0779938845365816,0.337459514397289,0,0,0,0,0,0,0,0,0,0,0,-0.117843712555962,0.111646438496614,0,0,-0.0415317175888844,0,0,0,0,0,0.161248188209536,0.0191593874821749,0,0,0
X601939.CH.EQUITY,0.544804977590252,0.0152442765450046,0,0,0,0,0,0,0.132608656878517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130369084526412,0,0,0,0,0,0,0.0121699072218866,0,0,0.0856029338094828,0,0,0.137647253545815,0,0,0,0,0,0,0,0,0,0.138043021531144,0.19355288026231,0.0449638907944941,0,0
X601288.CH.EQUITY,0,0,0,0.156274746963668,0,0,0.490487307165595,0,0,0,0.0476635071957138,0,0,0,0,0,0.0912396420976494,0,0,0.0428821151029107,0,0,0.080965847997133,0,0,0.0470991464308651,0,0,0,0,0,0,0.0851893993864582,0,0,-0.0324683506969499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337627122535205
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.103255665134996,0.245958556529349,0,0,0,0.138993823574849,0,0,0,0,0,0,0.160264501472824,-0.219075965377613,0,0,0,0,0,0.0168980343338103,8.67361737988404e-19,0.122227487800296,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.154882959692159,0,0.0143835615632091,0,0,0,0,0.245132867257531,0,0,0,0,-0.0240733236949709,0.0197225445144002
X601988.CH.EQUITY,0.205854786126839,0,0,0,0.41930123479494,0,0,0,0,-0.0215104090249515,0,0,-0.0847594647650129,0,0,0.0857925499963883,0,0,0.254766590757975,-0.0232871821041391,0,0,0.0419733658440262,0,0,0,0,0,0,0,0,0,-0.183379677697168,0,0,0,0,0,-0.0428850305499906,0.026556861051613,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0882202767979937,0,0,0.23550058251957,-0.0203408866740088,0,0.021629462600062,0,0,0.0124111702548747,0,0.0666926663411015,0,0,-0.0386900321191416,0,0,0,0.0933782241112853,0.320728094995933,0.000483109868827047,0,0,0,0,0,0,0,0,0,0.0251425227155487,0,0,0,0,0,0.0575339593700413,0
X5.HK.EQUITY,0,0.128303878429721,0,0.103839034613961,0,0,0,0,0,-0.140110740414678,0.0725620828302705,0.0781818170368682,0,0,0,0,0,0,0,0,0,0,0,0,0.198209923538258,0,0,0.173750329352889,0,0,0,0,0,0,0,0,0,0,0.27076788475451,0,0,0,0,0,0.0410034950731432,0,0,0,0,0,0,-0.0450036121718,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197166433240958,0,0,0,0,0,-0.0857365886609061,0,-0.188591657660407,-0.149345841050499,0.0790641157803839,-0.105600698390997,0,0.0613991729678758,0,0,0,0,0.0523690837798125,0,0.265581823016615,0,0,0.359943989647014,0,0,-0.0640997132920575,-0.420235352228161,0
