,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.0478268529739284,0,0,0,0,0,0,0,0,0,0,0,0,0.535896168600138,0.671368138740618,-0.112728277036642,0,0.0136974503076418,0,0,0,-0.194513672115493,0,0,0.237870253449066,-0.30796101292611,0,0,0,-0.00797109869136858,0,-0.0603937515236039,0,0,0,0,0,0,0,0,0,0,0,-0.00841354740953585
X601318.CH.EQUITY,0,0,0,0,0,0,0.232920391548768,0,0,0,0,0,0,0.0872436661320127,0,0,0,0,0,0.0963973973310282,0,0,0,0,0,0,0,0,0.0625554463780941,0,0,0,0,0,0,0,0,0.293603329099519,0,0,0,0,0,0,0,0,0.0630153138320626,0,0,0,-0.0466495565000403,0,0
X601939.CH.EQUITY,0,0,0,0.828653486161908,0.0253455221733736,0,0.010705570473476,0,0,0,0,0.00168093287949238,0,0,0,0,0,0,0.0627267763079427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460402131375882,0,0,0,0.00511211457420921,0.00314533098835219,0,0,0,0,0.0683234802147804,0,0,0,0,0.019930913455601,0,0,0,0
X601288.CH.EQUITY,0.0310162158664831,0,0.893919966243119,0,0,-0.0674833868579335,0,0,0,0,0,0,0,0,0.0222752247564594,0,0.0797609345035869,0.0639172646664045,0,0,0,0,0,0,0,0,-0.0237404683927239,0.0378574642477812,0,0,0,0,0,0,0,0,0,0,0,0,-0.147180490034586,0,0,0,0,0,0,0,0,0,-0.0602942083156454,-0.0214503807535262,0
X601988.CH.EQUITY,0,0,0,0.0250784599572377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0266363580492314,0,0,0,0,0,0,0,-0.0626437178819401,0,0,-0.0907660819048106,0,0,0,0.0728792648051135,0,0.0139944945721095,0,-0.115266520739696,1.04236351983106,0,0,0
X601628.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.913252088602215,0,0,0,0,0,0,0,0,0,0.0998112581850575,0,0,0,0,0,0,0,0,-0.112812996198047,0,0,0,-0.0827624998198033,0,0,0.0795137533779663,0,0,0,0,-0.056805571184247,0,0,0.0162543557587282,0,0,0.0351020078611629,0,0.0567827806993063,0,0
X600036.CH.EQUITY,0,0.0492703120246508,0.380154040910206,0,0,0,0,0,0.00800160803989881,-0.00541525126907773,0,0,0,0,0,0.137895740648351,0,0,0,0.000195016576369785,0,0,0,0,0,0,0,0.203598765348418,0,0,0,0,0,0.1715816376627,0,0,0,0.00145606311038203,0,0,0,0,0,0,0.0348568791973241,0,0,0,0,0,0,0,0.0501688088480939
X1299.HK.EQUITY,0,0.0601204173931289,0,0,0,0.0702432456825617,0,0,0,0.167892859286972,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134518484247815,0,0,0,0.247688769809522,0.328864022316828,0.120158517994596,0.136796890065942,0,0,0,0,0.100139056704847,0,0,0,0,0,0.161530825985939,0,0,-0.225169519605486,0,0,0,0,0,0.176507721922549,-0.00704406074520335,0
X5.HK.EQUITY,0,0,0,0,0,-0.0142358291621297,0,0,0,0,0,0,0,0,0,0,0.123436894738955,0,0,0,0,0,0.151805006614817,0,0,0.119282633961519,0,0.26453507140396,0,0,0,0,0,0,0,0,0.0405730066927819,0,0,0,0,0,0.121688903314588,-0.0701999255120968,0.0230195188716944,0,0,0,0,0,0.118083820318498,0,0.271403590449846
X388.HK.EQUITY,0,0,0,0,0,0.284692107209922,0,0,0,0,0,0,0,0,0,0,0,0,-0.243280171241573,0,0,0,0,0,0,0,0.477442627058391,0,0,0,0.00250484514627332,0,0,0.00309251642894426,-0.0350044797018419,0,0,0,-0.0633401007174837,0,0,0,-0.129386377172725,0.251635897408516,0,0.0278514877163639,0,0,0,0,-0.117888081418358,0,0
X601658.CH.Equity,0,0,0.122809631181367,0.116281782242411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292385960409186,0,-8.67361737988404e-19,-0.0121181906665703,0,0,0,0,0,0,0,0,0,0.039759927484779,0,0,0,0,0,0,0,0,0,0,0.180814428681872,0,0,0,0,0,0,0,0,0,-0.0178568884981834,0
X600030.CH.EQUITY,0,0,0,0,0,0.150186905716235,0,0,0,0.0158108798072856,0,0,0,0.050971601629278,0.0535314257021445,0,0,0,0,0,0,0,0,0,0.0344984206495426,0,0,0,0.0314655983298601,0,0,0,0.67172109208034,0,-0.0665559605341389,0,0,0,0,0,0,0,0,0.0220565929259982,0,0,0.0375464854866459,0,0,0,-0.0446662466210161,0.00515692711374399,0
X601166.CH.EQUITY,0,0,0.0241072919525473,0,0.544141836691406,0,0,0,0,0.0254787650372109,0.0715476559669353,0,0,0,0,0.0736079701809663,0.0136596740992684,0,0.0916420884305857,0,0,0.0526106593956724,0,0.0527840272566931,0,0,0.0768681797686861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0338718563348292,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.339099116275663,0,0,0,0,0,0,0,0,0,0,0,0,0.170611051404187,0,0,0,0,0,0,0,0.109092609973942,0,0,0,0,0,0,0.277135092384759,0,0,0.0686478379976889,0.0387627444574893,0,0,-8.67361737988404e-19,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.231626280928144,0.0315311931534011,0,0,0,0,0,0,0,0,0,0,0.0315336201931006,0,0,0,0,0,0.238521372413731,0,0,0,0,0,0.0195010542539273,0,0,0.0316754054193957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253897428291905,0,0.0417881426633883,0,0,0,0,0,0
