,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.239055591679907,0,0,0,0,0,-0.20647713165828,0,0,0,0,0,0,0,0,0,0,0,0.459745413303562,0.455524403829778,0,0,0.111305518733388,0,0,0,0,0,-0.0830379465750768,0,-0.180456030218097,0,0,0,-0.617185952263679,0,0,-0.0895807905837013,0,0.0320240025974655,0,0,0.0317473348411158,0,0,0,0.00784779338913571,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.386367778532967,0.0722441559653987,0,0,0,0,0,0,0,0,0,0,0,0,0.164384812070415,0.0490155759514522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154385537457668,0,0,0,0,0,0,0,0.0532641689805236,0,0,0,0
X601939.CH.EQUITY,0.0618588483399326,0,0,0.175968163902065,0,0,0,0,0.0716802157898367,0,0,0.373525647661577,0.117094878190184,0,0,0,0,0,0,0,0,0,0,0.00360485211281989,0,0,-0.00695355012366516,0,0,0,-0.0404332552858633,0,0,0,0,0,-0.0407419708280758,0,0,-0.0339591253285934,0,0,0,0,0,0,0.0541397320138364,0.322822212593765,0,0,0,0.03572641408576,-0.0733702780895944
X601288.CH.EQUITY,0,0,0.219271561494672,0,0.401071748651872,0,0,0.0620037787030915,0,0,0.0169858515645513,0,0.140341482336615,0,0.054003093096204,-0.015081268866336,0,0,0.0593273122359685,0,0,0.0183169974819905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0735629606990222,0,0,0,0,0,0.026366712935714
X601988.CH.EQUITY,0,0,0.352923423512247,0,0,0,0,0,0,0.221691178511798,0,0,0,0,0,0,0.205921230034854,0,0.0616115885744292,0,0,0.0440002459210172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.407391525533573,0,0,0.0374149027081455,0,0,0,0,0,0,0,0,0,-0.139566793115087
X600036.CH.EQUITY,0,0.00733180426494973,0.0910707587742603,0,0,0,0.0312504426586989,0.0623028561023428,0,0,0,0.105304814845527,0,0,0,0,0,0,3.46944695195361e-18,0.12791894702832,0,0,0,0,0.00972572535216084,0,-1.0842021724855e-19,0,0,0,0,0,0,0.390338409862627,0,0,0,0,0,0,0,0,0,0,0,0.0782497713557605,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.293151498115181,0,0,0,0,-0.0677914587230955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377698852678785,0,0,0,0,0,0,0,0,0,0,0.0820835418789768,0.189207089174859,0,0,0.140728198191716,0.0510234826338215,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038067608393634,0,0,-0.0528174351627681,0.0409439808350431,0.0407730412980009,0,0,0,0,0.186398090529132,0,0,0,0,0,0.155863071260964,0.139914991239452,0,0,0,0.186373606220921,0,0,0,0.317112839724461,0,0,0,0,0.135417761678729,0,0
X5.HK.EQUITY,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0405304670807985,0,0,0,0,-0.45288417846829,0.652309078000605,0,0,0.121504346561099,0.614407978264418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498004708852874,0,0,0,0,0,0.181871285000198,0,0,0
X601658.CH.Equity,0,0,0,0.0294785801715426,0.0054265726741922,0,0,0,0,0,0,0,0,0,0,0,0,0.254895532052292,0.120300040051785,0,-0.0850642612258783,0,8.67361737988404e-19,0,0,0,-0.0059613438185686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270122355245678,0,0,0,-0.0321650722548557,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.294156273726629,0,0,0,0,0,0,0,0,0,0,0,-0.00999343701505932,0.217521938057402,0,0,0,-0.182592522751903,0,0,0,0.381756856423987,0,0,0,0,-0.129733351845233,0,0,0,-0.10934338845692,0,0,0,0,0.277535188722078,0,0,0,0,-0.0537132179511449,0,0,0,0,0,0,0,0,0,-0.114001405574685,0
X601166.CH.EQUITY,0,0,0.144607744815001,0.0332932278769982,0,0.134856436080455,0,0,0,0.0271909504070145,0.00340654132254036,0,0,0,0.403379367600451,0.114745833402041,0,0,0,0,0,0,0,0.0243091566286906,0,0,0,0,0,0,0,0,0.013490729255565,0,0,0,0,0,0,0,0.0971895743593832,0,0,0,0,0,-0.00717348027265758,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.215284811201339,0.104348864603705,0,0,0,0.00578888311798934,0,0,0,0,0,0,0.125811171331167,0.0674484506203174,0,0,0,0,0,0,0,0.0842360132787319,0,0,0,0,0,0,0.12313173369807,0,0,0,0,0,0,0,0,0,0,0,0,0.0366572727258906,0,0,0,0,0,0.0258655017653409,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00561332936953507,0,0,0,0,0,0.234807544454705,0,0.00137338635798732,0,0,0,0,0,0.0295632286005488,0,0,0,0,0,0,0.372096125591005,0.0389075356094261,0,0,0.0743121669487002,-3.46944695195361e-18,0.013238212376204,0,0,0.0532028371997128,0,0,0,0,0,0,0,0,0,0.0447161971240761,0,0
X600000.CH.EQUITY,0,0,0,0.0452026547362103,0,0.0208200473982629,0,0.0256815409771644,0.0553164174405546,0,0,0.603943210897676,0,0,0,0,0,0,0,0,0,0.0639512663844361,0,0,0,0,0,1.73472347597681e-18,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.0194585524910314,0,0,0,0,0,0,0,0,0,0.082285193177616,0,0,0,0,0.045580612668701,0,0,0,0,0,0,0,0.0888660881232654,0,0.132213409254118,0,0,0,0.0287757436684992,0,0,0,0,0,0.224738151258064,0,0,0,0,0,0.0267883584930633,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,-0.207424335201865,0,0,0,0,0,0,0.446211738805852,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.119723874465894,0,0,0,0,0,0,0.211398859888651,-0.0220775744826154,0,0.203715574066595,0.00787975651177345,0.0587314097132674,0,-0.0190918807962422,0,0,0,0,0,0,0,0,0.00317955665857435,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0.0359904747899014,0,0,0,0,0,-0.0282787004200799,0,0,0,0,0.0381069170279079,0,0,0,0.0237249225204508,0,0,0,0,0,0,0,0,0,0,0,0.162198476774728,0,0,0,0,0,0,0.353198517385829,0.164408925983748,0.0449029122680031,0,0.15483423713236,0,0,0,0,0,0,0,0,0.0112319801382182,0
X000001.CH.EQUITY,0,0.0121842668558749,0,0,0.0976485048914173,-3.46944695195361e-18,0,0.00632428727668053,0,0,0,0,0,0,0,0,0,0,0,0.207934643053051,0.0579076095616146,0,0,0.138048305536471,0,0,0.0131845075502417,0,0,0,0,0,0,0.250042773763254,0,0,0,0,0,0,0.0789345077910506,0,0,0,0,0,0,0,0,0,0.162368896638204,0,0
X601601.CH.EQUITY,0,0.869788021744944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172151773999536,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.0289732797510156,0,0,0,0,0,0,0,0,0,0.170139840777982,0.00181232282901908,0,-0.279783662358733,0.23199643219498,0,0,-0.103119923629493,0,0,0,0,0,0.0297970798246307
X16.HK.EQUITY,0,0,0,0,0.0256912770809805,0,0,0.159741820282893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0791908049489981,0,0,0,0,0,0,0,0.0418887827902538,0.137087316256647,0.0985815243429606,0,0,0,0,0.0924346594052732,0.00374302565268686,0,0,-0.26825712349913,0.482214774786435,0,0,0,0.209020587103156,0,0,0.000447547778083351,0,0,0.121979211195827,0
