,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.412317284911353,0,0.228186592151714,0.0383052723126361,0,0,-0.104990162415667,0,0,0,0,0,0,-8.67361737988404e-19,0.0310305759425504,0,0,-0.0736231643700193,0,0,0,0,0.0318241570029752,0,0,0,0,0,0,0,0.0891489613025151,0,0,0,0,0,0,0,0,0,0.00222179725910367,0.408732583366716,0,-0.0450147314988968,0,0,0,-0.0745645177020991,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-7.71461653160232e-05,0,0,0,0.0240371403299142,0,0.14575053110499,0,0,0,0.332186960929498,0,0,0,0,0,0,0,0,0.0668192641223163,0,0,0,0,0,0.0218262558880621,0.315878216089996,0,0.0543936923078717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155182981135333
X601939.CH.EQUITY,0,0,0,0.701619057439762,0,0,0,0,0,0.068548214109595,0,0.277726188311296,0,-0.0347143817615589,0,0.034457183744784,0,0,0,0,0,0,0.0357016098612791,0,0,0.00224111868720237,0,0,0,0.00329565424115132,0,0,0,0,0,0.0421901990025627,0,0,0,0,0,0,0,-0.0271402710108911,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.151405095402369,0,0.853982667436711,0,0,0,0,-0.0765003947770046,0,0,0,0,0,0,0,0,0.0159342105870845,0,0,0,0.0377579231752837,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285440707957686,0,0,0,0,0.0245713912795099,0,0,-0.144481238702952,0,0,0,0,0,0,0,-0.0507151366034112,-0.00306419466040599,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0898532906297254,0.179822169653305,0,0,0,0,0,0,0,0.0597034117145544,0,0,0,0.0927649175334334,0,0.0360527372159103,0,0,0,0,0,0,0.165793019300726,0,0,0.280120663393639,0,0,0,0,0,0,0,0,0,0,0,0.0215963546689756,0.0557739326612051,0,0,0,0,0
X600036.CH.EQUITY,0.241855138745668,0.0429046199652718,0.222412112594661,0,0,0,0,0,0,0,0,0,0,0,0,0.187765653988845,0,0.0187805928749376,0,0,0,0,0,0,0,0,0,0,0,0.215059207213162,0,0,0,0,0,0,0,0,0,0,0,0.00974392519403631,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.103765162141044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567483676408666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913621127955146,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.111439816633204,0,0,0,0,0,0,0,0,0,0,0,0.275522647485556,0,0,0,0,0,0,0.0302554497151358,0.0587566145701527,-0.092939764373887,0,0,0,0,0,0.0998058178644641,0.0407710959058015,0,0,0,0,0,0.203858713876437,0,0,0,0,0,0,0,0,-0.0909977366274009
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.210056923929204,0,0,0,0,0,-0.047489165043065,0,0,0,0,0,0,0.0494652627285766,0.306072541521226,0,0,0,0.0872590731505325,0,0,0,-0.137849781057886,0,0,0.0745859322526914,0,0,0.088167311231368,0,0,0.304362140053476,0.113828342842062,0,0.0115057126786913,0,0,0.0584515953400983,0,0,0.00607188502127294
X388.HK.EQUITY,0,0,0,0,0.258564824899467,0,0,0.0696976594275429,0,0,0,0,0,0,0,0.0442837305485418,0,0,0,0,0.0608794252998976,0.286961362632344,0,0,0.0338707333528264,0,0.0544527235220792,0,0,0,0,0,0,0,0,0,0,0.088755968287251,0.255770658787836,0,0,0,-0.31881820613694,1.73472347597681e-18,0,0,0.108681327228374,0,0,0,0,0,0
