,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.319379437036513,0.258466070487777,0.0523144028192858,0,0,-0.0483156423870155,0,0,0,0,0,0,0,0,0.0677525220001092,0,-0.0705577105902326,0,0,0,0,0,0.0619115712446419,0,0,0,0,0.0293951968775194,0,0,0,0,0,0,0,0,0,0,0,0.00881393449210912,0.388327638496874,0,0,-0.0276869248831912,0,0,-0.0876496620535986,0,0.038108796152777
X601318.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0.0104606956532435,0,0.16477287315226,0,0,0,0.377600129008601,0,0,0,0,0,0,0,0,0,0,0.0720239149543195,0,0,0,0.271144726830362,0.0153187959706875,0,0.0670926856613119,0,0,0,0,0,0,0,0.0140643704532405,0,0,0,0,0,0,-0.148841359210585
X601939.CH.EQUITY,0,0,0,0,0.665866942820017,0,0,0,0,0.00634163154887932,0,0.306117609238489,0,-0.0368103277140697,0.0441982002554528,0.0245248974164768,0,0,0.023260397756997,0,0,0,0,0.0277985056169004,0,0.0460464471769371,0.0209405445983669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0592020157964981,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.159667509739917,0.108638122658654,0,0,0,0,0,0,0.319363946686059,0,0,0,0,0.140568041688501,0.0824949790875048,0,0,-0.0413067148490301,0,0,0,0.0221752650553365,0,0.0524136846476772,0.0941019432142784,0,0.143227321217544,0,0,0,0,0,0,0,0,0,0,0,0.136960786537265,0,0,0,0.00133636930857933,0
X601288.CH.EQUITY,0.175235678112096,0,0.831947815146852,0,0,0,0,-0.073957447456302,0,0,0,0,0,0,0,0,0.0228019179226785,0,0,0,0.0119586143572429,0,0,0,0,0,0,0,0,0.0166689512312641,0,0,0,0,0,0.0556411228445743,0,0,-0.0192775036945785,0,-0.173355383932397,0,0,0,0,0,0,0,0,0.0264212695159548,-0.0146925442979439,0,0
X600036.CH.EQUITY,0.230231508787404,0.0383348920692792,0.216992364993272,0,0,0,0,0,0,0,0,0,0,0,0,0.183103390826713,0,0,0.0291736462272513,0,0,0,0,0,0,0.240880320833615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212772676898471,0,0,0.0101033838582351,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,1.73472347597681e-18,0,0,0,0,0.148056289405327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630948417407969,0,0,0,0,0,6.93889390390723e-18,0,0,0.00797210153566748,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509155048882242,0,-0.0404494475626124,-0.064707157186884,0,0.916848350892199,0,-0.0796557359126285,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0533446522881231,0.331176868710155,0,0,0,0.113703062680206,0.0322043017657177,0,0,-0.187915492143976,0.0111288106354712,0,0,0,0,0,0.0628275741302311,0.106412717252385,0,0,0,0,0.208927371885746,0.162140548333775,0,0,0,-0.0532085580097954,0,0,0,0,-0.0555007890288458
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0759245600228328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295682157481949,0.0648265525011924,0,0,0,0,0,-0.252988712247876,0,0,0,0,0,0,0.0697294431689737,0.341181770714446,0.104197801348284,0,0,0.058918436615088,0,0,0,0,0
X388.HK.EQUITY,0,0.0077480577548947,0,0.13551338013899,0,0,0,0.122861889992865,0,0,0,0,0,0,0,0,0,0,0,0,0.109242575455076,0.426682049750044,0.0551609965636238,0,0,0,0,0,0,0,0,0,0,0.0658427233430958,0,0,0,0.0826907131700384,0.278762129441561,0,-0.305449320691904,0,0,0.0417915914633826,0,0,0,0.0160395067445065,0,0,0,0,0
