,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.376395567957985,0.0130700573583524,0.0341902616816527,0,0,0,0,0,0,0.253408896112482,0,0,0,0,0,0,0,0,0,0,0.113496140547418,0,0,0.0644310385654378,0,0,0,0,0.00501315469882094,0,0,0,0,0,0,0,0,0,0,0,0,-0.0293854889155923,0,0,0,0.0447459777591329,0,0,0,0.00480317817829742,-0.146450100647815,0
X601939.CH.EQUITY,0.300460767300781,0,0,0.0399229663460667,0,0,0,0,-0.0505631868525854,0,0.187397525477624,0,0,0.106120849532699,0,0,0,0,0,0,0,0,0,0,0.217445451907996,0,0,0,0,0,0,0,0,0,0,0,-0.0329532965304178,0,0,0,0,0,0,0,-0.0111785934476578,0,0,0,0.143993097637377,0,-0.0456530129061915,0,0
X601318.CH.EQUITY,0,0,0,0,0.166802212760597,0,0,0,0,0,0,0.182171358857895,0,0,0.0183187129094365,0,0,0,0,0,0,0.0954827873487464,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0580491677357605,0,0,0,0,0.19703620807802,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.176673828749086,0,0,0,0.365761072284068,0,0,0,0,0,0.0400969598694512,0,0,0.0943900316183054,0,0,0,0,0,0.0652540781600799,0,0,0,0,0.0957872861439675,0,0,0,0,0,0,0,0,0,0.146826537646871,0,0,0,0,0,0,0,0.0113808987659709,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.491622197260691,0,0,0,0,0,0.242754214693694,0,0,0,0,0,0.0646434743234431,0.126656024336933,0,0,0,0.0710942371505819,0,0,0,0,0,0.0858324995510587,0,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.576592468373707,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.185880354670138
X600036.CH.EQUITY,0,0.0771835692995868,0,0,0,0,0,0,0.000896568930349126,0,0,0.19090259371192,0,0,0,0,0,0,0,0,0,0.273518993835391,0,0,0,0,0,0,0,0,0,0.282857213238896,0,0,0,0,0,0,0,0,0.0648323783728678,0.0539336274224773,0,0,0,0,0.0244087148228781,0.0891318469621182,3.46944695195361e-18,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23624129308088,0,0,0,0.47973181303681,0,0,0,0,0,-3.46944695195361e-18,0,0.107385191636437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116677843313428,0,0,0,0,0.0458611139348823,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164114245269178,0,-0.259694708640594,0,0,0,0,0,0,-0.409458192241788,0,0.731627656312746,0,0.612032111390062,0,0,0.0447665663399015,0,0,0,0,0,0,0.357535684438792,0,0,0,0,3.46944695195361e-18,0,-0.0747319046537827,0,0,0.00178297314269172,0,0,0,0,-1.38777878078145e-17
X601628.CH.EQUITY,0,0.0280434392705006,0,0,0,0,0,0,0,0,0,0,-0.144963423622388,0,0,0,0,0.0419151417646765,0,0,0,0.349015489571802,0,0,0,0,0,0,0.0268483363531664,0,0,0,0,0.031405305865916,0,0.0561011049293887,0,0,0,0,0.26846310004119,0.00163731180632124,0,0,0,0,0,0,0,0,0.153598721637042,0,-0.0215269472301978
X601658.CH.Equity,0,0,0,0,0.129340034410827,0,0,0,0,0,0,0,0,0.161799137630829,0,0,0,0,0,0,0,0,0,0,0,0,0.191715127575169,0,0.0909899832340278,0,0,0,0,0,0,0,0,0.160136677880911,0,0,0,0,0,0,0,0,0,0,0.415818113657262,0,0,0.0939752149437635,0
