ticker,PFG UW Equity,AXP UN Equity,JPM UN Equity,BAC UN Equity,GPMT UN Equity,TRV UN Equity,SBRA UW Equity,C UN Equity,AIG UN Equity,PEB UN Equity,BOH UN Equity,CLDT UN Equity,AFL UN Equity,BHF UW Equity,FCF UN Equity,GDOT UN Equity,BK UN Equity,HMN UN Equity,BRK/B UN Equity,UBA UN Equity,HR UN Equity,PRI UN Equity,GWB UN Equity,COR UN Equity,CMA UN Equity,NMIH UQ Equity,VBTX UQ Equity,AFG UN Equity,AEL UN Equity,PCH UW Equity,RJF UN Equity,RLI UN Equity,TPRE UN Equity,SF UN Equity,EFX UN Equity,PK UN Equity,CHCT UN Equity,UHT UN Equity,BEN UN Equity,WRI UN Equity,PEAK UN Equity,JRVR UW Equity,INN UN Equity,AAT UN Equity,NXRT UN Equity,KIM UN Equity,LM UN Equity,JEF UN Equity,LNC UN Equity,L UN Equity,WRB UN Equity,HST UN Equity,MMC UN Equity,FRC UN Equity,CATY UW Equity,WLTW UW Equity,SPGI UN Equity,CBU UN Equity,CDR UN Equity,CHCO UW Equity,COLB UW Equity,WFC UN Equity,EGP UN Equity,EZPW UW Equity,FNB UN Equity,FFBC UW Equity,FBP UN Equity,PNC UN Equity,FMBI UW Equity,PGR UN Equity,MMI UN Equity,FULT UW Equity,GBCI UW Equity,HWC UW Equity,SCHW UN Equity,TFC UN Equity,PSA UN Equity,INDB UW Equity,GL UN Equity,UNM UN Equity,VTR UN Equity,VNO UN Equity,KREF UN Equity,PRA UN Equity,WY UN Equity,MCY UN Equity,IRET UN Equity,NBTB UW Equity,CMO UN Equity,NNN UN Equity,BXS UN Equity,CBSH UW Equity,CUZ UN Equity,TRMK UW Equity,PEI UN Equity,UMBF UW Equity,WABC UW Equity,CINF UW Equity,TCBI UW Equity,PSB UN Equity,PACW UW Equity,JOE UN Equity,WETF UW Equity,OFC UN Equity,MTB UN Equity,FITB UW Equity,FHN UN Equity,GTY UN Equity,HBAN UW Equity,WELL UN Equity,SFNC UW Equity,NTRS UW Equity,SIGI UW Equity,PBCT UW Equity,STC UN Equity,CNO UN Equity,SIVB UW Equity,CASH UW Equity,XHR UN Equity,SBSI UW Equity,KEY UN Equity,STBA UW Equity,AMG UN Equity,STT UN Equity,MKTX UW Equity,USB UN Equity,JLL UN Equity,TROW UW Equity,SBAC UW Equity,TREE UW Equity,TMP UA Equity,ZION UW Equity,IVZ UN Equity,TRST UW Equity,MS UN Equity,UBSI UW Equity,CB UN Equity,UFCS UW Equity,KMPR UN Equity,ALL UN Equity,EQR UN Equity,WBS UN Equity,SPG UN Equity,WAFD UW Equity,AVB UN Equity,PRU UN Equity,WRLD UW Equity,AIV UN Equity,EPRT UN Equity,SKT UN Equity,LTC UN Equity,COF UN Equity,OHI UN Equity,TCO UN Equity,CFR UN Equity,FCFS UW Equity,FHI UN Equity,AKR UN Equity,HIG UN Equity,IRT UN Equity,PB UN Equity,IRM UN Equity,RGA UN Equity,ETFC UW Equity,BFS UN Equity,AMT UN Equity,BXP UN Equity,LXP UN Equity,FFIN UW Equity,WU UN Equity,ONB UW Equity,HT UN Equity,VLY UW Equity,MAA UN Equity,PLD UN Equity,SAFE UN Equity,OPB UW Equity,BPFH UW Equity,RWT UN Equity,GS UN Equity,MCO UN Equity,HIW UN Equity,SLM UW Equity,ESS UN Equity,GEO UN Equity,CME UW Equity,CLI UN Equity,BLK UN Equity,O UN Equity,NDAQ UW Equity,NWBI UW Equity,AMBC UN Equity,MET UN Equity,WSR UN Equity,AMP UN Equity,IBOC UW Equity,CBRE UN Equity,MA UN Equity,LSI UN Equity,ICE UN Equity,AIZ UN Equity,DCOM UW Equity,GNW UN Equity,THG UN Equity,RF UN Equity,HOPE UW Equity,HAFC UW Equity,Y UN Equity,DFS UN Equity,AMSF UW Equity,V UN Equity,WTFC UW Equity,DRE UN Equity,ENVA UN Equity,FRT UN Equity,KRC UN Equity,EV UN Equity,UMPQ UW Equity,ARR UN Equity,RPT UN Equity,CXW UN Equity,OZK UW Equity,SEIC UW Equity,EPR UN Equity,IVR UN Equity,BRKL UW Equity,ADC UN Equity,PMT UN Equity,ARI UN Equity,EWBC UW Equity,MAC UN Equity,ALEX UN Equity,NYCB UN Equity,RNR UN Equity,UCBI UW Equity,ECPG UW Equity,RYN UN Equity,ABCB UW Equity,GHL UN Equity,TCF UW Equity,RE UN Equity,NAVI UW Equity,PNFP UW Equity,FR UN Equity,CCI UN Equity,FSP UA Equity,RMAX UN Equity,SAFT UW Equity,PFS UN Equity,PRAA UW Equity,EQIX UW Equity,PIPR UN Equity,WDR UN Equity,DLR UN Equity,SBNY UW Equity,ACC UN Equity,EXR UN Equity,MPW UN Equity,DRH UN Equity,CVBF UW Equity,HOMB UW Equity,ASB UN Equity,CIT UN Equity,BANR UW Equity,EHTH UW Equity,ORI UN Equity,IBKR UW Equity,EIG UN Equity,MSCI UN Equity,FAF UN Equity,UDR UN Equity,INFO UN Equity,LAMR UW Equity,SLG UN Equity,JBGS UN Equity,UVE UN Equity,STAR UN Equity,BRO UN Equity,CBOE UF Equity,SYF UN Equity,AHH UN Equity,CTRE UW Equity,CPF UN Equity,AJG UN Equity,AX UN Equity,FBC UN Equity,FSB UN Equity,AON UN Equity,CADE UN Equity,CFG UN Equity,FG UN Equity,TBK UW Equity,SFBS UW Equity,CBL UN Equity,FCPT UN Equity,DEA UN Equity,UE UN Equity,NYMT UW Equity,NSA UN Equity,CUBI UN Equity,PPBI UW Equity,HFWA UW Equity,RLGY UN Equity,DEI UN Equity,ABTX UQ Equity,PFBC UW Equity,CPT UN Equity,STL UN Equity,IIPR UN Equity,JHG UN Equity,EGBN UR Equity,GNL UN Equity,WPG UN Equity,BANC UN Equity,HMST UW Equity,KRG UN Equity,OFG UN Equity,ILPT UW Equity,NBHC UN Equity,SRC UN Equity,SBCF UW Equity,EVR UN Equity,INTL UW Equity,CONE UW Equity,SNV UN Equity,BHLB UN Equity,REG UW Equity,ARE UN Equity,ROIC UW Equity,UNIT UW Equity,KNSL UW Equity,WRE UN Equity,WD UN Equity,SVC UW Equity,DHC UW Equity,OPI UW Equity,BRX UN Equity,UIHC UR Equity,NFBK UW Equity,HCI UN Equity,VRTS UW Equity,RC UN Equity,SLF CT Equity,HR-U CT Equity,BAM/A CT Equity,MFC CT Equity,FSV CT Equity,TCN CT Equity,AD CT Equity,IFC CT Equity,IAG CT Equity,NWH-U CT Equity,BMO CT Equity,BNS CT Equity,CM CT Equity,CWB CT Equity,LB CT Equity,NA CT Equity,TD CT Equity,EQB CT Equity,X CT Equity,MIC CT Equity,ECN CT Equity,RY CT Equity,CRR-U CT Equity,HCG CT Equity,KMP-U CT Equity,CHP-U CT Equity,GRT-U CT Equity,CIGI CT Equity,FCR-U CT Equity,D-U CT Equity,CAR-U CT Equity,SRU-U CT Equity,AIF CT Equity,CUF-U CT Equity,SMU-U CT Equity,NVU-U CT Equity,AP-U CT Equity,CSH-U CT Equity,AX-U CT Equity,ONEX CT Equity,BPY-U CT Equity,IIP-U CT Equity,BBU-U CT Equity,FFH CT Equity,GWO CT Equity,IGM CT Equity,BEI-U CT Equity,REI-U CT Equity,CRT-U CT Equity,CIX CT Equity,REAL CT Equity,DIR-U CT Equity,POW CT Equity
2018-01-02,20322.555,85879.5242,374556.876,311875.3489,769.5848,36122.3817,3402.4529,196607.9886,53488.0826,2612.4977,3645.5171,1035.402,34585.3721,6907.315,1387.819,3027.875,55112.883,1779.1905,486521.5697,828.1156,4000.2292,4515.5142,2353.5659,5414.5006,15055.8248,1065.5883,674.7099,9407.825,2746.7264,2054.9098,12831.431,2620.2381,1519.4752,4125.1538,14354.2886,6198.4542,506.9449,1013.2028,23956.522,4208.6064,12154.5999,1170.2538,1589.1752,1798.4045,586.9218,7712.8398,3812.6482,9540.9928,17049.0008,16794.5206,8530.5049,14757.3585,41032.6888,13647.2488,3446.1634,19408.4126,42870.6,2726.3149,562.5114,1045.1585,3171.9326,300823.1319,3018.3549,658.2158,4458.4464,1638.3846,1096.1788,68810.3523,2460.3571,32197.376,1234.6177,3134.6838,3042.2713,4267.5581,68959.2488,39382.9389,35908.1843,1907.2984,10414.4587,12309.9805,21284.3516,14681.3561,1071.0245,2983.2409,26645.4784,2881.6946,683.0116,1599.1387,826.5001,6526.1282,2854.4247,5970.6684,3910.3912,2154.8773,871.7644,3595.4304,1563.873,11990.3653,4503.609,3383.2162,6503.5185,1203.7302,1673.0606,3170.6941,25766.7257,21470.838,6545.0776,1082.9335,15781.8162,23713.9481,2631.8281,22619.3054,3354.5859,6509.5302,1015.1988,4106.8217,12519.5943,894.1477,2340.5885,1000.7369,21690.811,1383.7768,11285.352,35867.3237,7643.6469,89662.3077,6983.7076,24977.3185,18880.8804,4072.3835,1233.5917,10127.0094,14797.3046,855.3576,94354.2488,3658.9859,66058.7906,1127.4548,3539.8535,36691.2,23338.9588,5194.8597,53598.5479,2972.5752,24474.6934,48950.8,724.7318,6822.663,#N/A N/A,2483.2555,1730.4297,48285.368,5433.1508,4030.7138,6014.5228,#N/A N/A,3590.1177,2322.8415,19715.8416,850.2194,4863.8808,10582.777,10006.459,13351.4791,1354.734,60524.5003,19950.7825,2303.0413,2970.2387,8763.2993,2358.1002,728.5906,#N/A N/A,11317.2506,33897.1222,326.6924,1024.4708,1288.88,1138.9854,100172.2464,27925.443,5242.9812,4897.6288,15854.1699,2986.3773,49271.2401,1948.4381,82411.8361,15954.6901,12756.2042,1709.6563,#N/A N/A,52804.3774,553.054,25134.7882,2600.0333,14875.0994,160821.5931,4121.3001,40864.0784,5339.7357,787.7517,1612.2831,4532.5067,20148.7048,2449.8089,973.8957,8968.0433,27947.6042,1150.7926,285652.247,4602.4834,9576.6275,523.7238,9703.1439,7306.8502,6728.426,4585.2251,1068.4874,1173.8232,2665.5057,6202.6706,11312.8708,4750.8299,1969.0502,1199.6096,1502.5704,1043.1877,1962.461,8863.3713,9376.881,1382.8395,6391.9416,4869.542,2056.0945,1081.3104,4121.9456,1807.5674,521.3284,3810.3854,8890.3558,3584.8563,5180.2283,3735.6307,44255.5457,1152.7349,2072.2963,1194.768,1806.2222,1506.3875,34964.2039,1296.364,1817.4891,23415.9216,7536.2718,5592.1225,10796.3486,5036.2786,2277.4705,2587.5798,3993.8044,3839.586,6553.7537,1815.4517,307.0817,5558.407,24585.1404,1407.4887,11499.9899,6190.2577,10190.7952,#N/A N/A,7169.765,10040.1422,4068.3406,940.3018,771.3422,7120.7397,13930.3516,30411.5084,969.4238,1285.3723,898.7107,11240.2738,#N/A N/A,2124.2941,446.6861,32859.0502,2258.7113,20998.1931,2147.9874,683.9666,2187.5157,1016.3436,1567.8437,933.6344,2912.588,683.4281,2125.5958,820.9832,1809.4957,906.8555,3660.4068,6964.099,496.2851,868.0913,8479.7756,5482.8685,128.0369,7733.6729,2025.0473,1384.0898,1358.1353,1046.1108,775.7271,1668.5376,393.3296,#N/A N/A,976.2415,3820.4175,1168.4624,3498.7471,#N/A N/A,5339.7503,5763.0051,1665.8374,11841.0111,12436.6171,2197.8958,3091.9985,913.7537,2361.0122,1469.9743,4932.1177,4572.0091,1845.1056,5711.4727,745.1936,836.8224,308.8162,822.098,486.3459,25160.4903,4940.3139,42623.4948,41350.7169,2504.2987,1216.3634,603.021,11639.8554,5098.826,908.3723,51980.6613,78146.1134,43210.6314,2788.973,1758.9181,16982.3911,108578.2656,946.0938,3130.2739,3160.5776,1191.6928,119595.7769,1545.4271,1062.4237,910.7887,4300.0641,1866.9422,2381.4248,4023.7597,1363.2198,4027.3536,3807.2985,1146.9195,2132.5241,394.9924,1118.1907,3109.4028,2758.0109,1677.0289,7521.6552,15645.9276,605.1315,4479.5741,15711.2557,27608.5621,8489.8174,1775.0722,6355.5708,2493.1562,6546.7903,706.295,657.2243,11918.6431
2018-01-03,20365.8682,86409.0018,374938.5459,310832.2875,769.5848,36237.334,3400.6706,197216.1091,54081.3958,2580.7809,3634.4727,1024.9664,34687.591,7007.9244,1377.0985,3072.5969,55450.8104,1750.7234,493084.5241,817.4122,3965.2599,4473.4786,2341.7951,5351.5077,15050.6074,1032.5701,678.5667,9436.0212,2745.8352,2101.6123,12967.1675,2608.342,1514.106,4205.2605,14428.7378,6217.7908,498.8063,989.9913,24024.0126,4182.9206,12149.9088,1181.2101,1577.7048,1782.381,579.7617,7661.7614,3800.6963,9508.9282,16970.2222,16989.7666,8459.8639,14705.5524,41568.5635,14105.0485,3420.301,19771.5199,43559.1,2704.5529,553.3798,1048.2821,3183.6156,303137.5348,3005.2735,663.6556,4461.6795,1657.0026,1098.3409,68796.0783,2457.2753,32179.928,1222.7941,3143.4399,3025.1098,4267.5581,69066.4949,39808.9563,35986.5029,1910.0427,10444.4749,12399.7361,21412.5706,14639.5829,1058.6769,2959.2041,26879.4755,2867.8616,669.8075,1579.1114,820.7338,6471.389,2840.8752,5946.1241,3910.3912,2141.3289,845.8981,3585.4569,1539.6351,11942.7845,4538.3475,3340.1596,6479.0207,1210.3623,1671.6915,3140.2276,26055.7152,21534.3403,6496.1363,1063.1286,15911.5298,23754.6874,2622.634,22753.4839,3310.7923,6481.83,1015.9117,4078.3021,12534.8891,872.3982,2313.9061,993.3785,21766.089,1371.1843,11234.2167,36130.6177,7542.6725,90541.838,7018.6398,25318.9757,19117.1411,4193.2684,1217.7803,10115.0248,14870.5787,869.7737,94607.3547,3658.9859,66578.7192,1106.5576,3472.9667,36712.8,23460.2287,5163.5542,53349.8596,2955.2171,24550.6417,48967.76,762.0179,6832.0844,#N/A N/A,2479.4744,1724.4941,48202.9615,5413.3434,3953.0016,6008.838,#N/A N/A,3567.9191,2298.5668,19558.8854,851.0546,4830.5285,10439.2722,9999.3745,13565.8746,1305.24,60760.3714,19961.5851,2300.6347,3024.6912,8758.7064,2371.6525,736.0804,#N/A N/A,11304.7516,33833.575,326.5105,1011.3845,1267.8198,1123.5625,99239.7555,28447.146,5201.6816,4880.3532,16016.621,2950.3969,50060.7233,1939.4467,83281.3403,15912.4223,12909.1324,1684.0012,#N/A N/A,53141.1132,552.6691,25010.527,2586.8184,15000.6993,162843.6406,4158.9949,41484.2061,5354.803,785.8806,1522.4345,4533.781,20183.504,2448.4539,970.6548,9003.5941,28154.7311,1146.9438,288496.0472,4590.7395,9548.1362,532.09,9666.8704,7301.931,6773.4639,4583.0227,1044.6223,1158.7436,2702.1491,6218.0523,11347.5149,4703.6826,1925.5167,1195.777,1499.941,1033.3525,1958.1762,8806.9996,9241.739,1375.9548,6435.9565,4861.9364,2050.9561,1083.8849,4146.4426,1815.0136,513.4494,3771.2425,9025.8858,3624.3082,5172.456,3724.8445,44068.6591,1128.0718,2055.1699,1182.592,1784.8547,1542.5227,35125.3653,1305.4295,1812.4868,23630.0029,7682.0822,5499.3525,10819.03,5021.7123,2257.44,2585.3767,4018.1145,3824.4695,6622.0083,1809.1995,308.0128,5587.4257,24419.9732,1402.6241,11674.7234,6274.4789,10265.7669,#N/A N/A,7113.6589,10071.0687,4067.161,933.4131,765.8862,7201.5939,14017.7142,30614.9822,961.3088,1258.0401,895.3967,11325.2494,#N/A N/A,2072.2589,446.6861,33383.8353,2280.4538,21239.2689,2147.9874,676.6793,2173.7411,997.5224,1573.9634,922.6659,2887.5482,675.5983,2116.9583,861.0311,1811.8067,911.3449,3601.7858,6894.5936,496.2851,872.4072,8496.4571,5494.1039,112.3168,7743.6932,1978.907,1376.6883,1335.8403,1038.5303,764.9718,1648.475,388.9349,#N/A N/A,974.7293,3824.9765,1165.6468,3498.7471,#N/A N/A,5358.9252,5772.5662,1645.4671,11757.5758,12468.5259,2188.0201,3063.2525,903.8696,2368.8587,1433.0075,4891.0304,4522.1067,1800.4899,5586.4485,748.1863,824.6024,302.6536,849.2985,484.7461,25121.7948,4914.9299,42769.5228,41365.7121,2479.0333,1203.9691,601.0445,11628.4737,5087.8825,905.4681,52051.6174,78118.4479,43336.0754,2769.1102,1745.2142,16962.1028,109003.1415,937.858,3115.9654,3064.7692,1188.9362,120408.5944,1539.6014,1037.5635,902.2738,4319.0829,1841.2487,2373.4348,4008.6115,1352.0588,4006.166,3758.9626,1145.1926,2114.2938,391.4052,1083.5772,3041.5567,2749.9524,1660.1245,7496.1384,15435.7959,606.3826,4468.181,15491.5657,27410.5658,8447.1467,1772.9823,6335.6762,2463.5211,6518.4157,700.4501,657.9344,11839.2283
2018-01-04,20631.5225,87537.3966,378338.8769,314900.2268,767.8554,36237.334,3343.6363,199648.5909,54297.146,2570.4385,3620.4547,1015.8918,35045.3571,7125.3021,1403.4125,3098.5153,56003.7825,1771.057,494748.1327,799.3361,3875.3391,4544.2755,2359.4513,5364.9719,15219.305,1032.5701,679.2899,9423.6853,2813.5676,2032.5738,13074.0239,2614.0698,1476.5218,4303.1687,14606.4553,6159.781,497.1786,968.0159,23941.0759,4099.442,11849.6794,1125.5401,1563.106,1749.3914,569.232,7525.5523,3775.8732,9562.3691,17272.2068,17073.9243,8493.9664,14668.548,42002.3668,14211.0653,3404.137,19972.2191,44211.9,2699.9981,541.5086,1041.7225,3182.1553,306929.2161,2955.0135,655.4959,4484.3112,1669.4146,1109.1513,68800.8363,2468.5754,32174.112,1207.1564,3152.196,3016.529,4310.1485,69455.262,40290.1981,35349.512,1910.0427,10471.0277,12509.6868,20889.0097,14202.8639,1064.0454,2983.2409,26660.575,2886.6745,662.6053,1581.2883,832.2664,6328.4589,2831.8422,5939.7213,3805.3861,2162.3289,813.0409,3592.937,1531.468,12078.9641,4555.7168,3275.5746,6513.8334,1200.4142,1710.0268,3043.3876,26105.3853,21611.9542,6502.6618,1038.1744,16052.0528,23243.595,2606.5442,23094.6155,3357.5054,6523.3802,1072.2324,4178.9595,12654.6105,863.6984,2278.6852,997.7935,21852.121,1370.4847,11035.2334,36519.9962,7752.8794,91238.8243,6965.561,25517.6699,19012.5282,4214.2138,1216.8681,10156.971,14992.7023,840.9415,96053.6739,3648.4867,66847.968,1107.0551,3521.8455,36288,23055.9955,5185.6522,51789.3405,2959.5567,24111.5223,49400.24,778.0483,6723.7383,#N/A N/A,2422.7575,1691.2547,49162.7549,5377.6902,3863.754,5985.4672,#N/A N/A,3559.8469,2248.3432,19762.215,838.5268,4820.1059,10388.6234,10088.2521,13748.1107,1291.005,59872.6387,19518.6802,2295.8217,3017.9396,8933.2375,2391.9809,724.0135,#N/A N/A,10974.097,33155.7385,326.1467,1022.6014,1276.2439,1129.7317,100626.7378,28970.76,5082.9453,4940.8178,15764.3596,2870.9917,50594.9857,1905.2793,84380.7693,15568.6441,13080.3454,1688.106,#N/A N/A,54046.0906,535.3501,25102.2436,2600.0333,14953.175,164950.3813,4070.1096,42268.1412,5383.8613,785.8806,1572.3504,4569.0352,20345.9,2452.5188,970.6548,9127.3295,28434.5342,1176.772,289568.7086,4613.668,9366.5044,545.4759,9325.1747,7097.2959,6858.7989,4618.2598,1048.8092,1140.4895,2670.2339,6344.9513,11504.988,4616.7547,1946.7253,1203.4422,1475.6918,1039.9093,1960.3186,8847.4716,9009.4638,1365.6278,6431.066,4979.2217,2056.8286,1113.4922,4062.637,1833.6292,500.3177,3785.4763,9108.0252,3666.3901,5207.4313,3646.9439,43556.7525,1115.204,2025.1986,1197.812,1790.8643,1578.6579,35044.7846,1335.6478,1819.1565,23336.9401,7750.3456,5401.1254,10622.4578,4934.3149,2239.4125,2557.8376,4014.6417,3832.0278,6699.451,1829.6015,311.5511,5566.3212,24589.2696,1402.6241,11858.4639,6377.539,10056.9172,#N/A N/A,7039.8351,9861.5665,3971.6158,950.6347,762.4762,7221.1104,14072.1739,30834.1078,944.4547,1229.9487,893.2877,11430.1128,#N/A N/A,2101.9933,448.6684,33841.1482,2300.5238,21490.1845,2152.2748,676.6793,2182.7476,963.3021,1555.6045,909.5038,2823.8104,680.0725,2083.1938,852.7135,1816.4287,909.8484,3615.4186,6791.1832,500.2396,888.0338,8219.3584,5606.4578,91.0648,7807.8231,2016.5028,1363.2309,1309.8295,1046.1108,775.7271,1583.2716,395.527,#N/A N/A,985.6168,3724.6791,1174.0935,3523.8485,#N/A N/A,5336.098,5831.1285,1665.8374,11372.7514,12823.3337,2134.2523,3074.0322,915.0155,2308.4407,1432.0755,4802.2819,4469.828,1770.7461,5494.9673,759.7298,820.692,305.5882,870.7725,483.1462,25414.6367,4926.3252,43169.24,42396.3672,2452.9211,1192.8897,603.3124,11583.1027,5131.232,914.0041,52622.9094,78548.9284,43697.7702,2780.4829,1757.0489,17180.936,110169.156,937.0018,3166.137,3071.875,1197.804,121849.4516,1545.4271,1029.0626,899.8696,4283.9348,1838.0002,2344.4288,4025.7111,1343.463,3955.9581,3752.82,1158.3671,2113.2721,398.2081,1083.8603,3050.8328,2722.6734,1663.9735,7443.5419,15241.0006,609.117,4661.4858,15201.6938,27632.2876,8470.5792,1745.9727,6365.9812,2438.4742,6542.3698,706.9985,660.2049,11914.9313
2018-01-05,20790.3376,87737.0357,375910.069,316360.5128,766.9907,36171.647,3295.5136,199384.1907,54521.8859,2573.1965,3641.2693,1017.253,35277.3154,7261.8434,1412.1838,3193.5493,56147.1456,1769.0237,496484.3738,797.9082,3869.0946,4586.3111,2398.8834,5376.0317,15386.2634,1038.5734,671.3351,9444.8325,2840.3041,2034.6043,13133.2281,2623.7629,1487.2602,4418.8784,14749.3498,6164.078,492.4763,965.681,24090.362,4121.2749,11732.4023,1121.6906,1569.3626,1750.3339,579.9723,7534.0653,3850.3426,9576.6201,17307.2195,17040.2612,8458.6459,14698.1515,42293.2702,14158.0569,3440.506,20100.297,44803.5,2726.8209,544.2481,1050.4686,3228.157,308997.4059,2972.9143,658.2158,4519.8753,1672.5176,1109.1513,68886.4805,2503.5033,32296.248,1221.2684,3182.8424,3018.0891,4369.775,69723.3773,40416.4255,35142.4029,1948.4631,10512.5885,12563.5401,20782.1606,14324.3857,1064.5823,2991.2532,26622.8335,2884.4612,663.8056,1592.1727,838.0327,6293.4866,2895.0732,5985.6085,3834.7875,2168.4257,820.0318,3587.9503,1541.2158,12141.3113,4612.7874,3298.738,6549.9354,1210.3623,1746.9929,3061.8851,26012.0657,21668.4007,6613.5953,1046.4925,16192.5758,23099.1558,2615.7383,23196.9551,3360.425,6558.0054,1072.47,4192.3805,12860.8268,871.4315,2285.089,1011.0386,21862.875,1377.8304,11086.9246,36553.3715,7778.7799,91803.0513,7007.2982,25982.9052,19144.176,4261.4905,1226.4462,10160.9659,15175.8876,850.5522,96017.5159,3653.7363,66968.6657,1106.06,3465.249,36673.2,23037.6212,5286.9344,52271.1741,2985.5938,24063.1915,49896.32,758.2982,6682.9122,#N/A N/A,2450.1706,1685.3191,49167.6024,5340.0563,3901.3959,6046.1051,#N/A N/A,3622.4066,2241.6467,19676.6026,841.8675,4843.7305,10354.8576,10119.8101,13793.6698,1288.596,60258.6094,19731.6449,2300.6347,3034.8185,9461.4238,2385.2048,726.094,#N/A N/A,10925.2374,33129.2605,322.8725,1039.4266,1284.6679,1138.9854,100113.476,29452.332,5102.5626,5022.8768,15807.2836,2900.7687,50925.0713,1920.5647,85099.6889,15557.3727,13166.7831,1694.2632,#N/A N/A,54551.1942,539.5836,25188.043,2619.8557,15027.856,168369.8648,4021.7113,42619.1569,5451.664,789.6229,1602.2999,4571.159,20287.9014,2463.3587,973.8957,9062.5377,28401.83,1181.583,296503.5898,4657.8474,9423.4869,580.6139,9312.1162,7100.2474,6914.5037,4682.127,1055.0895,1150.807,2686.7825,6444.9323,11588.4488,4610.8613,1963.469,1222.6053,1477.4448,1051.7115,1949.6065,9033.9319,9123.4898,1358.7431,6391.9416,4962.8098,2061.967,1101.2631,4111.6311,1876.4449,500.3177,3788.323,9131.8456,3684.801,5211.3174,3661.3256,43889.8981,1130.2164,2016.6354,1197.051,1791.532,1571.8826,35165.2645,1334.1369,1822.4913,23486.5892,7730.6857,5407.9467,10572.0547,4835.9927,2245.4217,2583.1736,4082.3627,3854.7025,6715.202,1846.7129,321.9795,5505.6456,24915.4748,1418.8394,11981.8582,6512.7362,10043.5294,#N/A N/A,7048.694,9962.3271,3972.7954,986.8002,767.2502,7289.4182,14479.4875,31100.189,940.7094,1233.7449,901.4222,11482.5445,#N/A N/A,2140.3049,465.8486,34128.5305,2295.5062,21588.5828,2139.4126,677.7203,2197.052,976.9902,1545.8132,914.7686,2840.883,685.6652,2070.6302,844.7039,1834.9165,915.8343,3634.5045,6743.7161,502.8759,893.0938,8190.6291,5662.6347,103.0037,7954.1196,2031.8829,1345.7363,1315.4033,1058.745,775.7271,1579.0919,404.3165,#N/A N/A,989.2459,3729.2381,1187.2328,3539.2955,#N/A N/A,5318.7492,5900.4471,1686.2077,11369.3459,12963.94,2149.6145,3083.0154,945.509,2301.3788,1490.4769,4795.7079,4381.9047,1768.7632,5464.4736,775.5486,824.6024,335.8144,878.2884,486.3459,25603.881,4992.6853,43189.2461,42601.1818,2468.7478,1188.7126,597.1064,11694.0443,5159.6633,921.5189,53149.562,79774.9255,44128.2261,2815.47,1779.9756,17437.3653,111238.3152,924.6451,3191.722,3083.2035,1201.4907,122675.591,1555.8587,1027.8208,906.6205,4293.1376,1865.2387,2377.4959,4060.7772,1381.2752,4001.5711,3799.9033,1160.0926,2144.085,400.9417,1088.2764,3090.866,2731.4861,1677.6544,7424.3452,15440.0224,620.1524,4934.2812,15397.3204,27843.5285,8553.8003,1781.1094,6402.5772,2446.4629,6618.4444,707.8464,668.5499,12072.7712
