,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0875394771442479,0.0367400095884795,0,0,0,0,0,-0.00931923549943298,0,0,0,0,0,0,0,0,0,0,-0.163801877832979,0,0.0288547868639419,0.635228590528219,0,-0.286852184877643,0.514780226217463,0,-1.38777878078145e-17,-0.117700093402424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916186513298437,0
X601318.CH.EQUITY,0,0,0,0,0,0.325044198145839,0,0,0,-0.062469139236608,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0836166612675874,0.0955142712177271,0,0,0,0,0.223015937710496,0,0,0,0,0,0,0,0,0,0,0,0.0564428505139179,0,0,0,0,0.0526194361780258
X601939.CH.EQUITY,0,0.00543295447611904,0,0.788942033035724,0,0,0,0.00152057102267989,0,0.0478554607028446,0.0790458143050482,0,0.0133107631293549,-0.0612575439103547,0.00201811638632916,0,0.0623373426366993,0,0,0,0,0,0,0,0.0399599906457574,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.124337275192118,0,0,0,0,0,0,0,0,0,0,0,0,0.0323965795322959,0,0
X601288.CH.EQUITY,0.0514891742153609,0,0.812507724392163,0,-0.0167233042278257,0,0,-0.0997019751812777,0,0.0538303128707554,0.178630658000438,0,0,0,0,0.0458272058666463,0,0,0,0,0,0,0,0,0.0323624201143233,0,0,0,0,0,0,0.0948515341495711,0,0,0,-8.67361737988404e-19,0,0,0,-0.109621260624928,-0.149891910527417,0,0,0,0,6.93889390390723e-18,0,0,0,0,-0.0716592524005937,-0.0141786907422352,0
X601628.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.276332960916603,0,0.12424017009084,0,0,0,0,0,0,0,0.0421035773946613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24160730900906,0,0.401463376663248,0,0,0,0,0,0,0,0.0591106842878958,0,0,0,0,0,0.143322942242085,0.0852433775195058
X600036.CH.EQUITY,0,0,0.113839310245306,0.264059788372343,0,0,0,0,0.00597565544558438,0,0,0,0,0,0,0,0,0.122732319034875,0,0,0,0,0,0,0.144053125138059,0,0,0,0.0925836856771599,0,0.036406797326852,0,0,0,0,0,0,0.0344185902392161,0,0,0,0,0,0,0,0,0,0,0.0345196413708361,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0871414760515379,-0.0455043439830356,0,0,0,-0.0202342332986087,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.017551365003707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,-0.125886354454525,1.00170878372693,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0356760684588778,0,0,0,0,0.166559953927763,0,0,0,0,0,0,0,0,0,0,0,0,0.287004611152557,-0.0178588775561849,0,0,0,0.0257638379708892,0,0,0,0,0.152857966654091,0,0,0,0.0894500521523843,0,0.0983094265548385,0,0,0,0.0620012816628051,0.0440948048265973,0,0,0,0,6.93889390390723e-18,0.139533902604806,0,1.73472347597681e-18,0.0400254143417202
X5.HK.EQUITY,0,-0.147929311479575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527711023156092,0.401849928220794,0,0,0,0,0,0,0,-0.0829572764362828,0,0,0.0153114993966013,0,0,0,0,0.0292813572598506,0.024789667882342,0,0,0,0.0834005013655786,-0.204878408769048,0.138953906967527,0.0396043783550311,-4.33680868994202e-19
X388.HK.EQUITY,0,0,0,0,0.212786699862145,0,0,0,0,0,0,0,0,0.00435369704784814,0,0,0,0,0,0,0.115771682771234,0,0.25920812274199,0,0,0.121623368015892,0,0,0,0,0,0,0.14315342797036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188811400714136,0,0,0,0.277096282029296
