,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.277865293467744,3.46944695195361e-18,0.0753715052064333,-0.0165392034092681,0,0.375555845406866,0,0,0,0.0984857543395477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112088459284267,0.00383047298672302,0.0038373575327598,0.0372420256206996,0,0,0,0,0,0,0,0,0.126064200812181,0,0,-0.0164273730525138,0,0,0,0,0,0,-0.0186821072199501,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.245527791084866,0,0,0,0,0,0.154214913713134,0,0,0,0.0689171828675511,0,0.0704980397113663,0,0,0,0,0,0.128332098947904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869070425365216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895577580403391
X601939.CH.EQUITY,0.474110848023043,0.145882390093876,0,0,0,0,0,0.163979161270137,0,0,0,0,0,0,0,0,0.0225636471578926,0,0,0,0,-0.147074670734067,0,0,0,0,0,0,0,0.151917591036777,0,0,0.103826305910738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189875378369708,0.112913350786337,0,0
X601288.CH.EQUITY,0,0,0.0193188254336462,0,0,0.111219696745554,0,0.46556537350926,0,0,-0.0720141558199753,0.116197903496017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703047820727251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643332323413335,0.0428371180209345,0.0356530902369758,0,0,-0.0352033573078405
X600036.CH.EQUITY,0,0.0404068492672625,0,0,0,0,0.262506024099575,0.0121712209500771,0,0,-0.0681501039599043,0,0.255714327453452,0,0,0.137457789157922,0,0,0.121584587254258,0.0226588221459755,0,0,0.0163400796585911,0,0,0.0692977329069815,0.1951315977828,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.129988643107555,0,0,0,0,0,0,0,0,0,0,0.155051187071003,-0.106973057099854,0,0
X601628.CH.EQUITY,0,0,0,0.0644241798547042,-0.00923650036886835,0,0,0,0,0,0,0,0,0,0,-0.198096186090048,0,0,6.93889390390723e-18,0,0,0.078596104899832,0,0,0.0503905307367445,0,0,0,0,0,0,0,0,0.0176032380802294,0.657891743909202,0,0,0,0,0,0,0,0,0,0,0,-0.00746622504413947,0.108659778790627,0,0,0,0,0.224712779408626
X1299.HK.EQUITY,0,0,-0.187565289341474,0,0.0322943432355354,0,0,0,0,0,0.245236382490049,0,0,0,0.207164171048026,0,0,0,0,0.149293002672391,0,0,0.075436944851543,0,0,2.16840434497101e-19,0,0,0,0,0.0385981504378356,0,0.0596565393814128,0,-6.93889390390723e-18,0,0,0,0.0452808710341491,0,0.0743629985699797,0.138743379286267,0.175678733693571,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.139798725629703,0.425255268069982,0.0657738278900671,0,0,0,0,-0.0134600219312533,0.0469726087664732,0,0.281091750038957,0,0,0,0.0240451962523483,0,0,0,0,0,0.0580013195874492,0,0,0,0,0,0,0,0.0860792674341067,0,0,0,0,0,0.0449111870948927,0,0,0,0,0,0.0312377667576499,0,0,0,0,0,0,0,-0.023876187157276,0,0
X5.HK.EQUITY,0,0.10641482732548,0,0,0,0,0,0,0,0,0.00183865919667761,0,0,-0.0328565144772639,0,0,0,0,0,0,0.227655481034472,0,0.192605347583902,0.128782120759562,0,0,0,0,0,0,8.67361737988404e-19,0,0.0638184782681529,0,0,0,0,0,0.160110388737868,-0.0811016788906353,-3.46944695195361e-18,0.0557022433851065,0.306541488759357,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.297040478017472,0.0134403186373091,0,0,0,0,0,0.0951101569828928,0.118352419536758,0,0.00424583547173108,0,0,0,0,-0.0166984106543664,0,0,0,0,0,0,0.0985890216144592,0,0.0566287389097166,0.342624340409709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102335220588199,0,0,0,0,-0.0945650609662674
