,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.390015609350825,0.0270503142621182,0.0349550978270647,0,0,0,0,0,0,0.199955169202384,0,0,0,0,0,0,0,0.0881462455293856,0,0,0,0,-0.0137576913109015,0,0.0745038365323878,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.00315092081574128,0,0,0,0,0,0,0.0568219326609038,0.0206667406425608,-0.108212750939403,0
X601939.CH.EQUITY,0.445280041442858,0,0,0.0233790081289023,0,0,0,0,0,0,0.208163645626222,0,0,8.67361737988404e-19,-0.0271978543582502,0,0,0,0,0,0,0,0,0,0,0.164978957842783,0,0,0,0,0,0,0,0,0,0,-0.00266994620572594,0,0,0,0,0,0,0,0,0,0,0,0.083602506117216,0,-0.0441381031199344,0,0.0140607583016334
X601318.CH.EQUITY,0,0,0,0,0.198156499375944,0.0621907706688688,0,0,0,0,0,0,0,0,0.128575101110016,0,0,0,0.298399979833065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128483813635319,0,0,0,0.137835043980967,0,0,0.0024695014786768,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.297045286784226,0.0953830639702388,0,0,0.176948127408629,0,0,0,0,0,0.00183209720253464,0,0,0.19064940312907,0,0,0,0,0,0,0,0.0461816455223247,0,0,0,0,0,0,0,0,0,0,0,0.123633927505377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,-6.93889390390723e-18,0.339860920830436,0,0,0,0,0,0.290943914492665,0,0,0,0,0.0515812872369083,0.130963046736202,0,0.0873506531514769,0,0,0.116935847012421,0,0,0,0,0,0.053030221704343,0,0,0,0,0,0,0,0,0,-0.517940732075501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344936829428435
X600036.CH.EQUITY,0,0.0700907292131272,0,0,0,0,0,0,0,0,0,0,0.183933161053652,0,0,0,0,0,0.28380887289098,0,0,0.00831687492243545,0,0,0,0,0,0,0,0,0,0.283085607264912,0,0,0,0,0,0.00528224339039675,0,0,0.0664331046990304,0.0509050876136812,0,0.0209329633106116,0,0,0,0.0947638664964636,0,0,0,0,0
X1299.HK.EQUITY,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0886131500631273,0,0,0.182195509932174,0,0,0.292118501785189,0,0,0,0,0,0,0.136809405439325,0,0,0,0,0.0906373082281115,0,0,0,0,0,0,0,0,0,0.150536458713782,0,0.0365261062105145,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255933440845894,0,0,-0.222294616554644,0,0,0,0,0.269289882469945,-0.150280726947219,0,0.226036449711313,0,0.799355476071714,0,0,0.0930466751433813,0,0,0,0,0,0,0,-0.0295136175365718,0,0,0,0,0,-0.158507003413962,0,0,0.271652909233044,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0905332005072478,0,0,0,0,0,0,0.369891433014949,0,0,0,0.0435233557608138,0,0,0,0,0,0,0,0,0.00385123065380332,0.0457817014002522,0,0.0831746020632322,0,0,0,0,0,0.195346021232886,0,0,0,0,0,0,0,0,0,0.158620053185386,0,0.0410642522264728
X601658.CH.Equity,0,0,0,0.141293430289142,0.140233675913016,0,0,0,0,0,0,0,0,0.107871819776648,0,0,0,0,0,0,0,0,0,0,0,0,0.0626237631039456,0,0.0988755977171861,0,0,0,0,0,0,0,0,0.259906665561196,0,0,0,0,0,0,0,0,0,0,0.373069987964774,0,0,0.0394914731274369,0
