,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.203186163326225,0,0.235772844635674,0,0,0,0,0.0561621120339844,0.0653564367298803,0,0,0,0,0.0376589677529423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802690908496989,0,0,0,0,0.0817835403752447,0,0,0,0,0,0.117457497450859,0,0,0,0,0.0263998671015355,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.110547552552649,0,0,0.161046638338762,0,0,0,0.202467927654715,0,0,0,0.155164340190058,0,0,0,0,-0.122598554659438,0,0,0,0,-0.0694136994580194,0,0,0,-0.0383353105125706,6.93889390390723e-18,0,0,0,0.127056926025271,0,0,0,0,-0.213777390561275,0.27501880103901,0.196906769492849,0.0775087391328977,0,0,0,0,0.0159059758784824,0.140233249169014,0,0,0
X601939.CH.EQUITY,0.294827487362166,0,0,0,0,0,0,0,0,0,0.0823815441516646,0,0.187078396232374,0,0,0,0,0,0,0,0,0,0,0,0.0724210207294476,0.0425174144309499,0,0,0,0,0,0,0.171053534299337,0,0,0,0,0,0,0,0.0943787455799287,0,0,0,0,0.0774713766887979,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.386795285172411,0,0,0,0,0.259691562339664,0,0,0,0,0,0,0,0,0.0488625033624187,0,0,0,0,0,0.0192859862283927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184383160979089,0,0,0,0,0,0,0,0.0198555914181727,0.098429056369404,0,0,-0.0134495641207695
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.048792518848118,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.367397884607534,0,0,0.127025040173244,0,0,0,0,-0.0539737142956213,0,0,0,0,0.589247235046303,0,0,0,0,0,0,0,0,0.049300633479712,0,0,0,0,0,0,0,-0.17156061066717,0,0,0,-0.0321756440478025,0
X601988.CH.EQUITY,0.153245498854247,0.148435103673287,0.258317162600269,0,0.0236734233796523,0,0,0,0.026137993683782,0,0,0,0,-0.112895190452503,0,0,0,0.0611843809873749,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.158387720564932,0.0270096099032818,0,0.023201063890746,0,0,0,0,0,0.175650553463606,0,0,0,0,0,0,0.0445222259532839,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.18896569928881,0,0,0,0.0205942034974229,0,0.0809486262653111,0,0,0,0,0.546213159076576,0,0,0,0,0,0,0,0,0.0524431665469634,0,0,0,0,0,0,0,0.0642778508958072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414575883058371,0,0,0.128097900758633,0,0,0.0213760655736186,0,0,0,0,0.0468473422373986,0,-0.023892138916305,0.410021258773748,0,0,0,0,0,0,0.0252869140543696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588012030442003
X601628.CH.EQUITY,0.13735925920186,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.0368394571696914,0,0,0,0,0,0,0,0,0,0,0,0.0185663533744699,0,0,0,0,0.212567565386315,0.113649356525783,0,0,0,0,0,0.0182926552630813,0,0,0.186571370801672,0,0,0,0,0,0,0,0,0,0,0.082813446905312,0,0,0.111054351213777
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269770098185066,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142004690377737,0,0,0,0,2.77555756156289e-17,-0.861064202443843,0,0,1.24567000455098,-0.350717456866616,0,0,-0.0241524834358953,0,0,0,0.181495012312493
