,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.132123260897537,0,0,1.73472347597681e-18,0,0,0,-0.0138733556037443,0,0,0,0,0,0,0,0,0,0,-0.0598074098298028,0,0.0021774042851771,0.524633150526567,0.389299126578183,0,0.19883945709803,0,-0.229050965347447,-0.0895859398896102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058259249652118,0
X601318.CH.EQUITY,0,0,0,0,0,0.23728213916553,0,0,0,-0.0844525428251991,0,0,0,0,0,0,0,0.0245454392574978,0,0,0,0,0,0,0,0,0,0,0,0.0695629249215996,0.180823365471411,0.0288201175645759,0,0,0,0.221517637742173,0,0.136060727145112,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0.0329530020957222
X601939.CH.EQUITY,0,0.00585645631608927,0,0.814253795143574,0,0,0,0,0,0.000204227677777055,0,0,-0.031592073167312,0,0,0,0.0783706264318501,0.106261633262077,0,0,0,0,0,0,0,0.0063053365057341,0,0,0,0,0.043662308793814,0,0,0,0,0,0,0.0450160051255747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.947319071827803,0,-0.0633699490376422,0,0,0,0,0,0,0,0,0,0.0108082518066731,0.072397672970432,0,0,0,0,0,0,0,0,0,0.0293843966369322,0,0,0,0,0,0,0,0,0,0.010652971527789,0,0,0.0336890360173027,-0.00785136060125392,0,-0.0994628454032587,0,0,0,0.0209196401387597,0,0,0,0,-0.0902540869932606,-0.0451488486578818,0
X601628.CH.EQUITY,0.00587348227880116,0,0,0,0,0,0,0,0,0.324899596288811,0,0.159362595571784,0,0,0,0,0,0,0,0.365401108258115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16237423348464,0,0,0,0,0,0,0,0,0.219861724531386,0,0,0,0,0.0335217571900139,0.0777485488417394
X600036.CH.EQUITY,0,0,0,0.333184780903872,0,0,0,0,0.0722739590273373,-1.73472347597681e-18,0,0,0,0,0,0,0.150003601541278,0.11465510883291,0,0,0,0,0,0,0,0,0.126064191115563,0,0,0,0.137883808861085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420460314205347,0,0,0,0.0155110039211184,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.00840362003552716,-0.136355800790651,0.0663436869723829,0,0.0545713077510037,0,0,0,-0.0136527522498266,0,0,0,0,0,0,0,0,-0.035646936015186,0,-0.0161050758307323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106926098529073,0,0,0,0,0,0,0,1.05481067854286,0,0.0200667929972602,0
X1299.HK.EQUITY,0,0,0,0,0.0324647405037281,0,0,0,0,0.111547454592862,0,0,0.0644616339991558,0,0,0,0,0,0,0,0,0,0.137094201477656,0,-0.086351724302521,0,0,0.0553623402614594,0,0.265109843713199,0,0.282391936317024,0,0,0,0,0,0,0,0,0.0363862736616851,0,0,0,-0.0478773487106643,0,0.14427025176835,0,0.0961899164911348,0,0,0,0.112760211234931
X5.HK.EQUITY,0,0,0,0,-0.0211979193468652,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.194173081219816,0,4.33680868994202e-19,0,0.0337266940563102,0,0,0.224063468235641,0,0.485596824990505,0,0,0,0,0,0,0,0,0,-0.0557379762885437,0.0488954989822942,0,0,0,0,0.00631206907938229,0.0602337786559476,0,-0.167931506256923,0,0.0532094852090788,0,0.125148008584861,0,0
X388.HK.EQUITY,0,0,0,0,0.275455529518522,0,0,0,0.0775453463938436,0,0,0,0,0,0,0,0,-0.23304868288079,0,0,0,0,0.462046265350027,0,0,0,0.00740890572122999,0,0.179317384935276,0.0890536838965434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113551527130987,0.138589869024792,0,0,-0.0805223456571653,0,0,0,0.109594794841355
X601658.CH.Equity,0,0.0854926864625462,0.252398710611706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234047701305329,0,-0.139619523063101,0,-0.0756278284567906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0821177424282768,0,0.570785014808781,0,0,0,0,-0.100586109695773,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0357283342037899,0,0,-0.0774429427493903,0,0.0894880789304833,0,0,0.231254557640102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333928079581394,0,0,0,0,0.0598292210848321,0,0.219367386317762,0,0,0,0.249014822149483,-0.0222065677665966,0,0.0703182129126591,0.0933845685314231,0,0,0.0703150034226309,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.0256567298106101,0,0,0,0.664267025722243,0,0,0,0.0263182318469079,0,0,0,-0.0116600184180351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0867884477301327,0,0.167931698735292,0,0,0,0.00267759460160997,0,0,0,0,0,0,0,-0.0225936770271113,0
X601166.CH.EQUITY,0,0,0,0,0,0.0999413792411452,0.222233724035988,0.0377254806875176,0,0,0.0441422834422119,0,0,0,0,0,0.0403673412874546,0,0,0,0,0.0724673224381088,0,0,0,0,0,-5.21582764125873e-06,0,0,0,0,0.1266053032714,0,0.00883176090155694,0,0,0.0426479516501906,0.00796770933501679,0,0,0,0,0,0,0,-0.0296606120518554,0,0,0.405076028477991,0,0,0
X601328.CH.EQUITY,0,0,0,0.0463254300228954,0,0.112388659133541,0.020592611986067,0,0,0,0,0,0,0,0,0,0.0290016142570534,0,0,0,0,0.373961198494609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.251573350052329,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.273358966336379,0,-0.0635380159660726,0,0,0,0,0,0,0,0.16064514724832,0.035956519967304,0,0,0,0,0,0,0.101478627163114,0,0.0211799184938693,0,0,0,0,-0.107489983281343,0,0.0276644146826355,0,0,0,0,0,0.105161725230604,0,0,0,0,0,0,0,0.0357115150721738,0,0,0,0,0,0,0,0,0
