,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177380779495505,0,0,0,0,0.407931689248292,0,0,0,0,0,0,0,0,-0.0878369354142479,0,0,0,0,0,0,0,0,0,0,0,0.65734504028409,0,0,0,0,0,0,0,0,-0.00517742130925563,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.110974607987232,0,0,0,0,0,0,0,0.0700228780896935,0,0.0833504404444293,0.0273180544733444,0.0545987040113604,0,0,0,0,0,0.0944421966961518,0.0402360172192635,0,0,0,0,0,0,0,0.277749094933633,0,0,0,0,0.212671425160689,0.0164075003084852,0,0,0.0373447539612465,0,0,0,0,0,0,-0.0301516890279591
X601939.CH.EQUITY,0.283268136038193,0,0,0,0,0,0,0,0,0.0389903604343256,0,0,0,0,0,-0.016692302745551,0,0,0,0,0,0,0.0756121299109759,0,0,-0.0847531801481391,-0.0642393557501447,0,0,0,0,0,0,0,0,0,0,0.025715438012262,0,0.546318218365522,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.116589225954498
X601288.CH.EQUITY,0,0,0,0,-0.29384484823934,0,-0.240252041977438,0,0,0,0.817325422629974,0,0,0,0,-0.132368208378633,0,0,0,-0.228205948909177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152488616667608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.133393378555802,0.374187396846232,0,0,0,0.0471929311360241,0,0,0.187884866551371,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0259039335620928,0,0,0.034393821972658,0,-0.122561928664186,0,0,0,0,0,0,0,0,0,0.0785368647579459,0,0,0.13126531617716,0,0,0,0,-0.184126131874382,0,0,0.135648918545742,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.373760826203404,0,0,0,0,0,0,0,0,0.113639784090684,0,0,0,0.142897626656892,0,-0.0695492702362294,-0.0249199390402123,0,0,0,0.217657249122651,0,0,0,0,0,-0.334739140075141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357927033118041,0,0,0,0,0,-0.0415701176066035,0
X1299.HK.EQUITY,0,0,0,0,0.260548122764782,0,0,0,0,0,0,0,0,0,0,0,0,0.140106860380984,0,0,0.0213006911264589,0,0,0,0,0,0.088738511661559,0.130738448594484,0,0.0897628988561008,0,0,0,0,0,0,0,0.32143842454638,0,0,0,0,0,-0.133680498742894,1.73472347597681e-18,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.135933827283332,0,0,0,0,0,0,0,0.484919807135456,0,0,0,0,0,0,0,0,0,0.229636198131108,0,0,0,0,0,0,0,-0.00207037968902722,0.126575985026887,0,0,0,0,-0.211120221237569,0,0,-0.157141020633802,0,-6.93889390390723e-18,0,-0.00861266201371846,0,0,0.211356714026608,0,-0.0260022884266731,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.264905334560667,0.0140786435406473,0.0537445293285697,-0.0873929146856502,0,0,0,0,0,0,0,-0.00959728098163481,0,0,0,0.234337844833672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156625348651078,0.0774310942344895,0,0,0,0,0,0.150036621615482,0,0.0796760532692825,0.105626765140547,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0135881797003567,0,0,0,0.680486448502895,0,0,0,0,0,0,0,0,0,0,0,0.227666285290513,0,0,0,0,0,0.104977250725989,0,0,0,0,0,0,0,0,0,0,0,-0.0898918644917228,0,0,0,0,0,0.131037347320033,0,-0.135557490711485,0,-0.129776615513908,0,0,-0.0254470313935568,-0.0399172222915001
