,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.360937696858012,0.057187854688495,0.0779006179797408,0,0,0,0,0,0,0.184035528163106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838098644397228,0.0211646764754306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423131922834215,0,4.33680868994202e-19,0,0.104340020987794,-0.0406335809875041,0
X601939.CH.EQUITY,0.299239476693906,0,0,0.0400142516466114,0,0,0,0,-0.0499231621282621,0,0.186817258128571,0,0,0.106321233074002,0,0,0,0,0,0,0,0,0,0.215325531642644,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329501112527077,0,0,0,0,0,0,0,-0.0112231552708212,0,0,0,0.143672140735328,0,-0.045549639900531,0,0
X601318.CH.EQUITY,0,0,0,0,0.17110577096997,0,0,0,0,0,0,0.186622005149537,0,0,0.0186001549692317,0,0,0,0,0,0,0.0971290727746647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0568037312064756,0,0,0.203178511848886,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.412091748866125,1.38777878078145e-17,0,0,0.217411290951979,0,0,0,0,0,0,0,0,0.112961343263871,0,0,0,0,0,0.0854217246843446,0.0582182326095193,0,0,0,0,0,0,0,0,0,0,0,0.0202107715406292,0,0.0248615484784398,0,0,0,0,0,0,0,0.0200308599794902,0,0,-3.46944695195361e-18,0,0,0,0.0152655776044004,0,0,0
X601988.CH.EQUITY,0,0,0,0.375146067607774,0,0,0,0,0,0.243596083745929,0,0,0,0,0,0.0921137686268722,0.136267806017962,0,0,0,0.0452506858863355,0,0,0,0,0,0.0951981714241436,0,0,0,0,0,0,0,0,0,-0.523948192629567,0,0,0,0,0,0,0.0761486391369998,0,0,0,0,0,0,0,0,0.292667265866662
X600036.CH.EQUITY,0,0.0282154667274675,0.0707646913046939,0,0,0,0,0,1.73472347597681e-18,0,0,0.14832410720852,-0.0574422195364604,0,0,0,0.0910474366859931,0,0,0.0586897033074171,0,0.231708858923867,0,0,0,0,0,0,0,0,0,0.195300599708178,0,0,0,0,0,0,0,0,0.136804386772425,0,0,0,0,0,0,0.111788043886461,0.0169470729388668,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239082294930949,0,0,0,0.482015571656459,0,0,0,0,0,0,0,0.108281578044794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112299059329955,0,0,0.046513946884243,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.183221593063604,0,-0.327353489501212,0,0,0,0,0,0,0.09073292753617,-0.343262394183693,0.636807679183479,-0.0208610516660783,0.698135170953537,0,0,0.0749862826811434,0,0,0,-0.14988204121898,0,0,0.386548705456392,0,0,0,0,0,0,-0.0346314463684596,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.104552346311849,0,0,0,0,0,0,0,0,0.382062007811631,0,0,0,0.037531869681529,0,0,1.73472347597681e-18,0,0,0.00154205665733156,0,0.0508081208338384,0,0.0881900502313658,0,0,0,0,0.208965270855806,0,0,0,0,0,0,0,0,0,0.16841927332257,0,0.0377962359245693
X601658.CH.Equity,0,0.118646471600709,0,0,0.201712970970959,0,0,0,0,0,0,0,0,0.108070826652922,0,0,0,0,0,0,-6.93889390390723e-18,-0.0987014014067087,0,0,0,0,0.0862567127716322,-0.0597599489747648,0.0744544491103194,0,0,0,0,0,0,0,0,0.262559731185102,0,0,0,0,-0.0179550674870786,0,0,0,0,0,0.517673270576281,0,0,0.0561221510583801,0
