,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.424526832762427,0.10926597483655,0.0815696901771474,0,0,0,0,0,0,0,0,0,0,0,0.104984789774035,0,0,0.0415086612439382,0,-0.0435106994026308,0,0,0.0909260168227418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899860499400244,0.0209709893989619,0,0,0,0.00296294965610211,0,0.219867410741517,0.0125181091585764,-0.101395195669189,0,0
X601318.CH.EQUITY,0,0,0,0.0657088009394323,0,0,0,0,0.12296881709984,0,0,0.0870694597108895,0.108954840177346,0,0,0,0,0,0.113631860304103,0,0.265300695891122,0,0,0,0.0504102979866289,0,0,0,0.0969694294127847,0,0.0367960530761083,0,0,0,0,0,0.0191177077318009,0,0,0,0,0,0,0,0.0698568373612891,0,0,0,0,0,0,0,0.0991241744554516
X601939.CH.EQUITY,0.252432721533739,0,0,0,0.182850206604655,0,0,0,0,0,-0.0271033964653431,0.108759796421431,0,0.0733932262696224,0,0,0,0.0116110991188974,0,0.101873823003272,0,0,0.220113414641929,0,0,0.231965883344896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159014924184808
X600036.CH.EQUITY,0,0.116307852099119,0,0,0,0.0797940382494724,0.0720371836866452,0.126764866727956,0,0,0,0,0.168083438834148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349521339083034,0,0,0,0.0770111949460923,0,0,0,0,0,0,0,0,0,0.123359016990349,0,0,0,0,0,0,0,0,0,0,0,0.0414675817782488
X601288.CH.EQUITY,0.211227306217812,0,0.032344260122121,0,0,0.0521878177047193,-0.104002747101079,0.318450702975677,0,0,0,0.0475353657472368,0,0,0,0.074426340195831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177974800023884,0,0,0,0,0,0,-0.123261688347377,0
X601628.CH.EQUITY,0.0622359907877064,0,0,0,0,0,0,0,0,0,0.01510773501753,0,0,0,0,0,0.192581530543883,0,0,0,0,0,0,0,0.0545853863607364,0,-0.109150519918546,-0.086010973560768,0,0,0.0512476680027539,0,0.212794339540916,0,0,0.578425350149873,0,0,0,0,-0.0347006848271155,0.147749958340829,0,0,0,0,0,0,0,-0.0485447839628346,0,0,0.0424710279704442
X1299.HK.EQUITY,0,0,-0.0453944424256105,0,-0.0364417786984995,0,0,-0.0442293706176469,0,0,0.10683691557743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0473416426046219,0.0803244921340193,0,0.2840366040686,0.29046385971923,0,0.142649643669415,0,0,0,0,0,0.289076459337048,0,0.10677183559683,0
X601988.CH.EQUITY,0,0.121203770876608,0.00712238695491588,0.31265333118768,0.244580537907427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269676576763891,0,0,0,0,0,0,0,0,0.0979404308997797,0.118487260296979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334031354245547,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.128289756217284,0,0,0,0,0,0.0385479553033432,0,-0.00822496257456632,0,0,0,0,0,0,-0.0762037328907378,0,0,0,0,0,0,0.0784397419364926,0,0.0187789339799182,0,0.312457724063782,0,0,0,0,0,0,0,0,0.107224520828212,0,0.220452228685329,0,0,0.234444729687128,0.117005824947868,0,0,0,0,0.0168845991861988,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0972595827385024,0.169664779614907,0,0,0,-0.032646403382333,0,0,0,0.0897093460669448,0.0304222878515637,0.0141757828286825,0,0,0.0614705888875457,0,0,0,0,0,0,0,0,0,0.158760164697267,0,0,0.361638336101122,0,0,0,0,0,0,0,0,0,0,0,0,-0.0462299421446351,0,0,0,0,-0.0340155468839896,0,0,0,0,0
