,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.014582454432092,-0.00656386893078524,0.239006390992781,0,0,0,0,0,0,0,0,0,0,-0.132059614724709,0,0,0,-0.199263075423349,0,0,0,0,0,-0.334288241055068,0,0,0,0.0744881756533926,0,0.758699409500438,-0.188053974638166,0.188640642968529,0,0,0,0,0,0,-0.0246529398261117,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.055316842016165,0,0.030282425422901,0,0,0,0,0.0850714916968643,0,0,0,0,0,0,0,0,0,0,0.207773028470637,0,0,0,0,0,0,0.0261369949551593,0,0,0,0,0,0.348416338295539,0,0,0,0,0.208202965044602,0,0,0,-0.00950818731893225,0,0,0,0.0284463091591179,-0.0479182416963957
X601939.CH.EQUITY,0.273325355994274,0,0,0,0,0.0393995116523367,0,0,0,0.0217575472488158,0,0,0,0,0,0,0,0.0839822201251221,0,0,0.0296980423067546,0,0,0.0234114727428697,0,0,0,0,0.143452487992705,0.107225269834602,0,-3.46944695195361e-18,0,-0.114574310394027,0,0,0,0,0.415760486877174,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.10646130412738
X601288.CH.EQUITY,0,0,0,0,0,-8.67361737988404e-19,-0.0118100261062285,-0.237919029322678,0.196227586046397,0,0.392112704257363,0,0,0,0.208539866310766,0.0169129163554916,0,0,0,0,0,-0.0440390199483605,0,0,0,0,0,0,0,0,0,0,-0.535591746166937,0,0,0,0,0,0,0,0,0.271862077532574,0,0,0.0259395555024728,0,0.0884854049131407,0,0,0,-0.10008245571733,0
X5.HK.EQUITY,-0.140573236136431,-0.0464618257231621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394387981591577,0,0,0.227774354744731,0,0,0.208532999250238,0,0.269666848590663,0,0,0,0,0,0,0,-0.0989643831510981,0,-0.0313659559938872,0,0,0,0,0,0,-0.145184243404525,0,0.160105147375638,0,0,0,-0.0286898375555929,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0186180609321249,0.0761901801121098,0.09268339987294,0,0,0,0,0,0.255720416473057,0,0,0,0,0,0.0636299890679031,0.0893471052142291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0782200185987333,0,0.156942715002661,0,0,0,0,0.257799947831123,0.193987085424945,0,0,0,0,0,-0.00732589601211532,0.0190081250874069
X600036.CH.EQUITY,0,0.105104247878433,-0.0929230251623332,0,0,0,0,0,-0.056253818602004,0.235178349744145,0,0.389812210976185,0,0,0,0,0,0,0,0,-0.0612235178634215,0.250023158239322,0,0,0,0,0,0.0698915586090736,0,0,0,0.450026426870298,0,-0.260369374488711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208591325555062,0,0,0
X1299.HK.EQUITY,0,0.0873981462174371,2.16840434497101e-19,0,0.071796756717891,0,0,0,0.0751708495516386,0,0,0,0,0.0257703905788633,0.179000417861343,0,0,0,0,0,0,0,0,0,0,0.111026234929146,0,0,0,0.0264064495657814,0.249364848826002,0,0,0,0,0,0,0,0,-0.0468637645243127,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0386849301923807,0.0357171928485408,0,0,0,0,0,0,0.00752140185857633,0,0,0.335828216264784,0,0,0,0,0,0,0.0487291765145014,0,0,0,0,0,0,0,0,0,0,-0.0585989806892109,0,0,0,0.0416954978425999,0,0.302154631361586,0.0939534743592892,-0.054597279614005,0,0,0,0,0,0,0,0,0,0,0,-0.11047891816881
X601328.CH.EQUITY,0,0,0,0,0,0,0.314746273916015,0,0,0,0,0.17814103076379,0,0,0,0,0,-1.38777878078145e-17,0,0,0.0456924321061805,0.260793429986474,0,0,0,0.0994404718900178,0,0,0,0,0,0,0,0,0,0,-0.168332415924129,0,0,0,0,0,0,0.0880444709476868,0,0,0,0,0,0,0,-0.217891658252549
X601166.CH.EQUITY,0,0,0,0.252696061461558,0,0.134777523617388,-8.67361737988404e-19,0,0,0,0,0,0,0.454160790958537,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0680962327866782,0,0,0,0,0,0,0,0,0,0,0.150614267498878,0,0,0,0,-0.0330002343541239,0,0,0,0,0,0,0,-0.101586010687045
X600000.CH.EQUITY,0.0133148314602909,0,0,0,0,0,0.546946378353611,0,0,0.0125730934764213,0,0,0,0,0,0,0,0,0,0,0,0,0.0143264823013255,0,0,0.343147291663152,0,0,0.126470430650709,-0.0296718389007138,0,0.0473042500977424,0,0,0,-0.144154530441832,0,0,0,0.0563235920148452,0,0,-0.367571748894597,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.190488165563248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137198035292182,0,0.289824155310386,0,0,0,0,0.0340069469451438,0,0,-0.120992191179337,0,0
X601601.CH.EQUITY,0,0,0,-0.0332923997304173,0,-0.25197463671753,0,0,0.451871862669451,0,0.148086295268243,0.0764209908037864,0,0,0,0.249889109171633,0,0.177909822585531,0,0,0,0,0,0.00559958278212517,0,0,0,0,-0.00829897916412318,0,0,0,0,0,0,0,-0.0333126176400389,0,0,0,0,0,-0.0242619500360421,0,0,0,0,0.187263807193204,0,-0.0395063552992191,0,0.111847452791098
X16.HK.EQUITY,0,0,0,0,0,0.0370372779719871,0,0.167223110371429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606032383135435,0,0,0,0.171362193524592,0,0,0.0166615153035029,0.194817206565248,0,0.0568070406304771,0,0.045872310584561,0,0,0,0,0,0,0.355607136273306,0,0,0,0,0.0657170068011294,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0.0104639356269191,0.194725400660885,0,0,0,0,0,0,0,0,0.298553715126209,0,0,0,0,0,0,0,-0.364344164899127,0,0,0.332606057484039,0,0.433284037057515,0,0,-0.0750762157400366,-0.0170522235524791,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.161046723857785,0,0,0,0,0,0,0.312261209585082,0,0.0743192221042635
X11.HK.EQUITY,0.172117061317964,0,0,0,0.13959434958886,0.0313747334493192,0,0,0,0,0,0,0,0,0,0,0,0,0.279172453490616,0,0,0,0,0,0,0,0,0,0,0.104785197773887,0,0.21759145057559,0,0,0,0,-0.0418035165421418,0,0,0,0,0,0,0,0,0,0,0,-0.0727410823561891,0,0,0
X388.HK.EQUITY,0,0.117998682689977,0,0,0.206745064641373,0,0,0,0,5.42101086242752e-20,0,0,0,0.122152486048885,0,0,0,0,0.446204888660436,0,0,0,0,0.0520097630622056,0,0.053293460119885,0,0.0435525416329411,0,0,0,0,0,0,0,0,-0.304720116903987,0,0,0,0.0498281585840241,0,0,0,0,0,-0.0208597615026097,0.0629419470468494,0,0,0,0
