,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.144139941317053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00856140292692015,0,0.019479797919201,0.331704174192129,-0.183224701061479,0.405170127340318,0.24755874811798,0,0,-0.0812972603850863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235997915771923
X601318.CH.EQUITY,0,0,0,0,0,0.306549196631115,0,0,0,-0.0687635135718568,0,0,0,0.0608787866232562,0,0,0,0.0245228191437922,0,0,0,0,0,0,0,0,0,0,0,0.0219620969381165,0.0823282290205872,0,0,0,0,0.262127088216619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068201443861762
X601939.CH.EQUITY,0,0.0400845937875811,0,0.809371834411687,0,0,0.00505110835395859,0,0,0.0357973494018704,0,0.0118874840939812,-0.0572232425683008,0,0,0,0,0.0999552201726735,0,0,0,0.0077742781371659,0,0,0,0,0,0.0263662424452188,0,0,0.0245221798304605,0,0,0,0,0,0,0.0821344319173832,0,0.0219069841334577,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.974094851825633,0,-0.044176136328958,0,0,0,0,0,0,0,0,0,0,0.027036850892989,0,0,0,0,0,0,0,0,0,0,0,0.0310479663109153,0,0,0,0,0,0,0,0.000587903978050383,0,0,0.0331284445883916,0,0,-0.0829474827339527,0,0,0,0,0.022072377434657,-0.0067423740071057,0,0,-0.10142038782913,-0.0445461487738468,0
X601628.CH.EQUITY,0.00581672739821881,0,0,0,0,0,0,0,0,0.317022794824694,0.15828950647866,0,0,0,0,0,0,0,0,0.362015974569819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163239352146954,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.219595476346122,0,0,0,0.0326839058784368,0.0751270787090102
X600036.CH.EQUITY,0,0,0,0.328967187456513,0,0,0.00603452707380222,0,0.0377551212837378,0,0,0,0,0,0,0,0.171871108400464,0.0118839122043954,0,0.0251220932979806,0,0,3.46944695195361e-18,0,0,0,0.170212927881943,0.0374836124219708,0,0,0.113104833885136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405843936522914,0,0,0,0,0.0416418582680148,0,0,0
X601988.CH.EQUITY,0,0,0,0.0334967104088328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034667161175875,0,0,0,0,0,0,0.034040000573429,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387203753566331,0,0,0,-0.083325448118584,0.0248980028187131,0,1.01004378944032,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.067317161490421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372289619864181,0,0,0,0,0,0,0,0,0,0.0980490861018628,0.263475430809621,0,0,0.00257934738829594,0,0,0,0,0,0.0489460334737311,0,0,0,0,0.0943546854434166,0,0,0,0,0.0781872222612029
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154040881444399,0,0,0,0,0,-0.0550472120625075,0,0,0.157528863070256,0.500292574691509,0,0,0,0,0,0,0,0,-0.100149642163551,0.108022529080689,0,0,0,0,0.0314067910171706,0.0667544288528749,0,0,-0.143914022106977,0,0.0567542310316444,0.129446142216205,0,0
X388.HK.EQUITY,0,0,0,0,0.136419379060035,0,0,0.157859451054304,0,0,0,0,0,0,0,0,-0.0596480715058133,0,0,0,-6.93889390390723e-18,0,0.356251391795357,0,0.232836468392822,0,0,0,-0.00258726891072597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237548321688736,0,0,-0.246649560593006,0,0,0.273908619791832
