,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.608331411096494,0,0.0373480070129502,0,0,0,0,0,0,0,0.0829650665863842,0,0,0,0,0.0978777068701408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177085021460934,0,0,0,0.0870223340503355,0,0,0,0.0326005071784121,0,0,-0.00434886319640065,-0.019099984878191,0,0.0461387825450621,0,0,0.0271325308813829
X601318.CH.EQUITY,0,0,0,0,0,0,0.151202775185118,0,0.0885602947550923,0,0,0,-0.00739286843857221,0,0,0,0.0726401782826161,0.255886657421022,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117226573458073,0,0,0.0435563318235678,0,0,0,0,0.17996167015826,0,0,0.0427255389302468,0,0,0,0,0,0.143596382949292,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.385861868576351,0,0.245931768051674,0,0,0,0.0211136781547876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110280867008411,0,0,0,0,0,0,0.169136120031933,0,0,0,0.0159002653809682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186596015773422
X601288.CH.EQUITY,0.118643354796412,0,0.25707516781279,0,0,0,0,0,0,0.132229563412271,0,0,0,0,0,0,0,0.142291610829616,-0.00809648259590073,0,0,0,0,0,0.142653734266522,0.0489685777588486,0,0,0,0.107235614821329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.166424331084842,0,0.396228964744022,0,0,0,0,0,0,0,0.133939865584968,0.119423659482808,0,0.0786205814616861,0,-0.224664952184998,0,0,0,0,0.349650850475845,0,0,0,0.133092746471531,0,0,0,0,-0.0993096247532036,0,-0.132230574203867,0,0,0,0,0.0724818690750275,0,0,0,-0.465176241789296,0,0,0,0,-0.167078677408963,0
X601988.CH.EQUITY,0.0706791607497489,0,0.0511859045863824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580556084978615,0.00890441676017516,0,0,0,0,0,0.143878447837999,0,0,0,0,0,0,0,0,0.0645360721511328,0,0,0,0,0,0.0286967856186514,0,0,0,0,0.0882844208132502,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0397125102878311,0,0,-0.0195773910958342,0,0,0,0,0,0.060023383007935,0,0,0,0,0,0,0.683598171258237,-0.00584452269627659,0.0443139891922052,0,0,0.102694146099689,0,0,0,0,0,0,0,0,0,0,0,0,0.0686119543850435,0.0487698376426306,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.263255200486865,0,0,0,0,0,0,0,0.2241995835176,0.0212660381039456,0,0,0,0,0,0.0544848217735909,0.0481140025890307,0,0,0,0,0,0,0.0824469553298497,6.93889390390723e-18,-0.0483151715902459,0,0.322621224367,0.199191663816245,0,0,0,0,0,0,0,0,0,0,-0.0755245507374271,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.215115040611806,0,0,0,0,0.0308198581985367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505216459533725,0,0,0,0,0,0,0,0,0,0,0,0,0.404381077121482,0,0.232085800015961,0,0,0.0295635704792854,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0130923235918276,0,0,0,0.158917038982136,0,0,0,0,0,0,0.171905794449489,0,0,0,0,0,0,0,0.288699582143973,0,0,0,0,0.0791873940409132,0,0,0,0,0,-0.00504924541923049,0.0686945599021674,0,0,0,0,0.257346081982253,0,0,0,0,0.0653887665011266,0,0,0,0,0.0213668768960494,0,-0.00940846775403931,0
X601166.CH.EQUITY,0.00633835235921299,0,0.216857790323109,0,0,0,0.171917045183498,0,0.00262567340308547,0.0870217278411042,0,0,0,0.195182752145649,0,0,0,0,0,0,0,0,0,0,0.0865133218510479,0,0,0,0,0,0.000660263750384005,0,0,0,0,0,0,0,0,0,0,0.0933694501219928,0,0,0,0,0,0,0,0,-0.0470513241729823,0
X16.HK.EQUITY,0,0,0,0,0,0,0,-0.07847561669831,-0.199405186697131,0,0,0,-0.105295022352268,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242931830826991,0,0.208334165109694,0,0.145191695376651,0.172427571264247,0.259303874153563,0.368903824495735,0,-0.0966466560074523,0,0,0,0,0,0.0586442030112253,0,0,0,0,0.059176503610491,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.014263061962971,0,0,0,0,0,0,0,0,0,0,0,0,0.0990855517508747,0.388836107415288,0,0.00937477978953293,0,0,0,0,0,0,0.234134203361816,0,0,0.339399430015022,0,0,0,0,0,0,0,0,0,0,0,0,0.0518885697863115,0.239457278122805,0.0734147073262316,0,0,0,0,0,0
