,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0327519739159394,0,0,0,0,0,0,0,0,0,0,-0.0505436531360336,0.565216870608866,0,0.859035063739248,0.069789041151727,0,0,-0.12167699602248,0,0,-0.195033324751238,0,0,0,0,0,-0.0029978000441981,0,0,-0.314361341419934,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0716896538497363,0,0,0,0,0,0,0,0,0,0,0,0,0.40387536654293,0,0,0,0,0,0,0,0,0.00879594507347599,0.10445754428021,0,0,0,0,0,0.223356291998792,0,0,0,0,0,0,0,0,0,0,0.0354557874511844,0,0,0,0,0,0.115249517171096
X601939.CH.EQUITY,0,0,0,0.805224233728418,0.00994643431046531,0,0.0583664630349778,0,0,0,0,0,0.0218931976472258,0,0,0,0.00643975259149686,0,0,0,0,0,0.0161291261060258,0.00161829007371587,0,0,0,0,0,0,0,0.0757228162879033,0,0,0,0.0158268021786416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445589392131119,0,0,0.0174102267990603
X601288.CH.EQUITY,0,0,0.910945020039332,0,-0.0668068312840514,0,0,0,0,0,0,0,0,0,0,0,0,0.114354142142004,0,0,0,0,0,0,-0.0145084772700149,0,0.0597259356390673,0,0,0,0,0,0,0,0,0,-0.0929122410459411,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048586166815454,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.766189153213295,0,0,0,0.0484760325559741,0,0,0,0,0,0,0.120030376788142,0,0,0,0,0,0,0,-0.0318694397522957,0,0,0,0,0,0,0,0,0,0,0,0,0.044870956246203,0,0,0,0,0,0,0.104459990328494,0,0.151714926980374
X601988.CH.EQUITY,0,0,0,0,-0.0851743154871136,0,0,0,0,0,0,0,1.05643487814518,0,0,0,0,0,0,-0.259373444222419,-0.15895872177444,0,0,0.149599647936869,0,0,0,0,0,-0.00355529160811505,0,0,-0.0378607503060904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300875735356669,0.127624256239388
X600036.CH.EQUITY,0,0,0.297964082579193,0.0778861609534564,0,0,0,0,0.093723024687039,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389429615866122,0,0,0,0.448134087433938,0,0,0,0,0,0,0,0,0,0,-0.0199119801089355,0.0548551712734952,0.0738727573622442,0,0,0,0,0.0246265795033272,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.347114555926928,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,-0.197364106895787,0.00339535038163938,2.77555756156289e-17,-1.73472347597681e-18,0,0.0454440826039727,0,0.225864704242808,0,0,0.124162226395518,0,0,0,0,0,0,0,0,0,0,0,0.475074999757818,0,0,0,0.0211110486118787,0.0770798027443088,-0.0488064469177704,0
X5.HK.EQUITY,0,0,0,0,-0.153136504363684,0,0,0,0,0,0,0,0,0,0,0,0.264901695808633,0,0,0,0,0.197142645056254,0,0,0,0.353920693254412,0.0878743576440891,0,0,0,0,0,0,0,0,0,0,0.113263310855963,-0.0475333993821737,0,0,0,0.00560209348726149,-0.135921436447629,0,0,0,0,0,0,0.0560999383750202,0,-0.155773707106909
X388.HK.EQUITY,0,0,0,0,0.216719862536452,0,0,0,0,0,-0.124913881549795,0,0,0,0.0776972296593603,0,0,-0.0518292464698736,6.93889390390723e-18,0,0.0245435547773638,0.0457592111623724,0,0,0,0,0,0.446161266748417,0,0,0,0,0,0,0,0,0.210140625506496,0,0,0,0,0,0,0,-0.223001388514418,0.0457252548210808,0,0,0,0,0,0,0.0721428380942836
