,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.466814044530495,-1.0842021724855e-19,0,0.416387286570524,0,0,0,0,0,0,0,0,0,-0.0622727613638183,0,0,-0.0584347430122428,0,0,0.0192307813794357,0,0,0,0,0,0,0,0,0,0,0,0,0.226618222622803,0,0,0,0,0,0,0,0,0,0,-0.0953639669586013,0,0,-0.191721690141665,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0158089847701414,0,0,0,0,0,0,0.167839217062617,0,0,0.263828180222233,0,0,0,0,0,0,0,0,0,0,0,0.0373808858072626,0.0195911997931973,0,0,0,0.0881508991962075,0,0,0,0,0,0.356325954567917,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.174658649775072,0,0,0,0,0,0,0,0,0,0.045209370950343,0,0,0,0,0,0,0,0,0,0.115794545060737,0,0,0,0.0300484757703754,0.399109665712422,0,0,0,0,0,0,0,0,0,0.10962802337646,0,0,-1.73472347597681e-18,0,0,0,0,0.045794464167917,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0445596128589677,0,0,0,0,0.075762683125212,0,0,0,0,0.0849926826418492,0,0,0,0,0,0,0,0,0,0.0638892480835189,0,0,0,0,0.148025343907285,-0.0411435316496817,0,0,0,0,0,-0.000302215081411564,0,0,0.0208070805394562,0,0.0109129826250169,0,0.262089443784289,0,0,0,0.237468112910555,0,0,0,0.0369588690822556,0,0,0,0
X5.HK.EQUITY,0,-0.0937942390918527,0,0,0,0,0,0,0,0,0,0,0,0,0.053614558091349,0,0,0.0898552447635368,0,0.334864073951428,0,0,0.417847954567029,0,0,0,0,-0.0174890120309809,-0.22535050970204,0,0,0,-0.0506356741584518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137768722823007,-0.070183611184413,0.179826994840364,-0.044809613418922,0.0098816924634284
X601988.CH.EQUITY,0.166083476091817,0.00332174214177194,0,0.381948080838608,0,0,0,0,0,0.105763909455747,0,0,0.138444743250415,0,0,0,0,0,0,0,0,0.0668557866518301,0,0,0,0,0.0374676305770436,0,0,0,0,0,0,0.131487614579989,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.11695671075692
X600036.CH.EQUITY,0,0.303090617946695,0,0,0,0,0,0,0,0,0,0.142303179741043,0,0,0,0,0.0268126493397299,0,0.0172812432122934,0,0,0,0,0,0,0,-0.0276267599778951,0,0,0,0.0334937721335687,0.165919626788132,0,0.11050114552619,0.0341650766172585,-0.171928059314393,0,0,0,0.201544580356581,0,0,0,0,0,0,0,0,0,0.126971955521557,-0.0805011385259171,0
X1299.HK.EQUITY,0,0.0423791098358328,0,0,0,0,0,0,0,0,0,0,0,-0.101525283038239,0.00524071197230592,0.0154245812186129,0,0.282924786825421,0.165601004529398,0,0.293681278540507,0,0,0.233276084908609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127674214636693,0,0,0,0,0,0,0,0,0,0,0,0,-0.210839757446047
X601628.CH.EQUITY,0,0.184314334915109,0,0,0,0,0,0,0,0.0398297229671179,0,0,0,0,0,0,0.222050763916697,0,0,0,0.113898313531859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780769861136621,-0.0622188487819574,0.166061699343951,0,0.011527068658662,0,0,0,0,0,0,0,0,-0.0962146386593077,0
X601166.CH.EQUITY,0,0,0.111436294048486,0,0,0.266934292579777,0.0944426035785691,0,0,0,0,0,0,0,0,0,0.273147750263801,0,0,0,0,0,0,0,0,0,0.10576888256639,0,0,0,0,0,0,0.315554513140847,0,0.121598489329893,0,0,0,0,0,0,-0.105073433508608,0,0,0,0,0,0,0,0,-0.0994842841024097
