,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.403842863190604,0.0196078704618286,0,0,0,0,0,0,0,0.27625356800533,0,0,0,0,0,0,0,0,0,0,0.0988026441471695,0,0,0.0321307669945422,0,0,0,0,0.0163456460440384,0,0,0,0,0,0,0,0,0,0,0,-0.0154340881034852,0,0.0497336877695855,0,0,0,0,0,0,0.0271353785597402,-0.126025719195301,0
X601939.CH.EQUITY,0.334559566719568,0,0,0.0259016066802583,0,0,0,0,-0.0435444888530579,0,0.1899754936053,0,0,0.0905474225115253,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.207081407162379,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279016033297129,0,0,0,0,0,0,0,-0.00786608544400336,0,0,0.128901291575821,2.16840434497101e-19,-0.0464081866131612,0,0.00539055022865683
X601318.CH.EQUITY,0,0,0,-8.67361737988404e-19,0.296518956332311,0.0910833762851233,-4.33680868994202e-19,0,0,0,0,0,0,0,0.00420568989982934,0,0,0,0,0,0,0.188651564187955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822736163837994,0,0,0.1052234340155,0,0,0,0.123793350124623,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.309468623648328,0.0593055540281226,0,0,0.186976664621887,0,0,0,0,0,0,0,0,0.194065598136289,0,0,0,0,0,0.0508087528174472,0,0,0,0,0,0,0,0,0.0059102918302477,0,0,0,0.119241197540516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.450208364044255,0,0,0,0,0,0.238563621594197,0,0,0,0,0,0.125066653009092,0.0818468665030228,0,0,0,0,0,0,0.0493910752414625,0,0,0,0.101693641656135,0,0,0,0,0,0,0,0,0,-0.531244618348039,0,0,0,0,0,0,0.103903859591074,0,0,0,0,0,0,0,0.251995357810591
X600036.CH.EQUITY,0,0.0742164433423999,0,0,0,0,0,0,0,0,0,0,0.180515112168379,0,0,8.67361737988404e-19,0,0,0,0.00465592790120044,0,0.27089731239325,0,0.0067573634946176,0,3.46944695195361e-18,0,0,0,0,0,0.285027293314999,0,0,0,0,0,0,0,0,0.0725275815601768,0,0.0447271303150311,0.0289120673674577,0,0,0,0.0929355310170997,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240067952555734,0,0,0,0.480603103460644,0,-3.46944695195361e-18,0,0,0.0271431449126059,0,0,0.0767680328399743,0,0,0,0,0,0,0,0,0,0,0,0,0.111903824852306,0,0,0,0,0,0,0.0325087659354165,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.405983271261681,0,-0.248371755763174,0,0,0,0,0,-0.00301909749667659,0,0,0.33442157372316,0.770638677612514,-0.0368298390444321,0,0,0.256225413068177,0,0,0,0,0,0.389642015728059,0,0,0,0,0,0,0,0,-0.243649057654908,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.092342789641381,0,0,0,0,0,0,0,0,0,0.368531470288639,0,0,0,0.0403327397328076,0,0,0,0,0,0.00395002931434553,0,0.0458461391737248,0,0.0828323897967795,0,0,0,0,0.197982512989724,0,0,0,0,0,0,0,0,0,0.163486552839009,0,0.03747007985755
X601658.CH.Equity,0,0,0,0.108662430257325,0.152498081729723,0,0,0,0,0,0,0,0,0.142662680199061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817061480885717,0.122482096577317,0,0,0,0,0,0,0,0.212233948951868,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.387006771583661,0,0,0.0512622525850515,0
X601328.CH.EQUITY,0.102335638501158,0,0,0.459058495541086,0,0,0,0,0,0,0,0.0287905960279633,0,0,0.0386967054981097,0.0893034654607459,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110538680248197,0.0346897618332746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443027870157765,0.109707794671577,0,0,0
