,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.133831009983633,0,0.11077397650471,0,0.0698897294454704,0,0,0.333914109899337,0.0505202563376548,0,0,6.93889390390723e-18,0,0,0,0,0,0.123655812519357,0,0,-0.0722492571488254,0,0,0,0,0,0,0,0,0.196116241232891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.308037256564528,0,0,0.0715404351463064,0.172950317315402,0,-0.100027070510558,0,0,0.0167263506410086,0,0,0.381574431321045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0550594034051687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888893434546601,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0421753457074601,0,0.0228730781609813,0.303971564326777,-2.16840434497101e-19,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978477074194681,0,0,0.112967162482402,0,0,0.0819791146277936,0.207968159977971,0,0,0,0,0,0
X601288.CH.EQUITY,0.344556267929675,0.0716247606042699,0,0,0.381612406117583,0,0,-0.018579445367489,0,0,0.0806687579931115,0,0,0,0,0.107101741011546,0,0,0,0,0,0,0.000125118093125277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.367975085215743,0,0,0,0.00894905687162748,0,0,0.237005383057006,0.105933392939127,0,0.0916352609272998,0,0,0,0,0.157761238070963,0,0,0,0,0,0,0,-0.0197766347496655,0.0444083387657962,0,0,0,0,0,0,0,-0.0221198784906513,0,0,0,0,0.0499050149588946,0,0,0,0,0,0,0,0,0,-0.000307390050347755,0,0.0112668034621825
X600036.CH.EQUITY,0,0,0.0208627643024733,0,0,0,0,0,0,0,0,0.41351204566421,0,0,0,0,0,0,0,0,0,0.0528916386922198,0,0,0,0,0,0.131903969517757,0,0,0,0,0,0,0,0,0.0824452417401594,0,0,0,0.0590567091599964,0,0,0,0,0,0,0,0,0.259886581107176,0,0,0
X1299.HK.EQUITY,0,0,0,0,8.67361737988404e-19,0.013056844269794,0,0,0,0,0,0,0,0,0.00867448247764735,0.324618694958659,0,0.0702639083229884,0,0,0,0.0641183471125723,0,0,0,0.196624987086763,0,0,0,0,0,0,0,0,0.168151024641096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320379711493987,0,0,0
X5.HK.EQUITY,0,0,0,-0.147938034141033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256397171348029,0,0,1.13328510736242,0,-0.757325211715257,0,0,0.574223913016928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335617241463793,0,0,0,0,0.114161380712992,0.0162158020447135,0,-0.0964737741727891,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0726549355964222,0,0,0,0,0,0,0.0921417700006649,6.93889390390723e-18,0,0,0.19650266044,0,0.373525038100086,0,0,0,0.0699100429817325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0411275406387244,0,0
X601658.CH.Equity,0,0,0,0.231690968235229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756999982734044,0,0.322763972149917,0.533405152626819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255119260572395,0,-0.578932488773837,0,0,0,0
