,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.344123941627681,0.346867046430249,0,0.00646809908462921,0,-0.0754034363735094,0,0,0,0,0,-0.0141145417007814,0,0,0,-0.0282691628304545,0,0,0,0.0863455193000547,0,0,0,0.142262692189277,0,0,-0.0319891873127985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0758581282471708,-0.0434857245208528,-0.111144385562777,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.204470012816388,0,0.290901790065465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00208962253543282,0.0607336026981271,0,0,-0.0123032760236148,0,0,0,0,-0.262028778436827,0.27241237682404,0,0.194219434417483,0,0,0,0,0,0.0650048468643302,0,0,0,0
X601939.CH.EQUITY,0.460261222367018,0,0,0.0615440040556591,0.111374758556018,0,0,0.0319994742094379,0,0,0,0,0.156868714237168,0,0,0,0,0,0,0,0.139579389672811,0,0,0.0177616350761569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316383658416298,0,0,3.46944695195361e-18,0,0.0140710213953868,0,-0.147380072042674,0,0,0,0,0,0
X601288.CH.EQUITY,0.392585419311027,0,0.206485602437723,0,0.151874641209614,0.0741490583088309,0,0.0445220678730689,0,0,0,0,0,0,0.0213819504944072,0,0,0,0,0,0,0,0,0,0,0,0,0.0733281903083524,0,0,0,0,0,0.0477248404051215,0,0,0,0.0588543182495666,0.164203001028804,0,0,0.02177663462214,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.243265369693892,0,0.00362406711625442,0,0,0,-0.0443839415912897,-0.317824963801715,0,0.252873647051898,0,0,0,0.0569292963912183,0,0,0,0.147851162114353,0.0313599507497218,0,0,-0.0878846606650851,0.593444436486688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448210865370004,0,0.0867746175441717,0.0504115879807967,0,0,0,0,0,0,0,0,-0.314607172674616,0
X601988.CH.EQUITY,0.0757156103210667,0,0.193721592645376,0.141999806592383,0,0,0,0.0819409444549099,0,0.121052758070602,0.255561264017792,0,0,0,-0.31654207275593,0,0,0,0,0,0.0246853218596273,0,0,0,0,0,0,0.073966019640338,0,0,0,0,0,0,0,0,0,0,0,0,0.0434952181760445,0,0,0,0.139714728860489,0,0,0,0,0.00860622614513487,0,0.0803559580803937
X600036.CH.EQUITY,0,0.187581290308225,0,0,0,0,0,0,0,0,0,0,0.131924281767169,0.0673953387324896,0,0,0,0.0503318780350067,0,0,0,0,0,0.109558036609973,0,0,0,-0.0230687827513161,0,0,0.32553019640617,0,0,-0.0115135203579612,0,0,0,0,0,0,0.0390943274212742,0,0,0,0,0,0.113318357230883,0,0.17348659087876,0.0483924997846022,0,0
X601628.CH.EQUITY,0,0,0,0.0581366105789251,0,0,0,0,0,0.0709807653384646,0,0,0,0.0200809405763783,0,0,0,0,0,0.193133115632448,0,0,0,0,0,0,0,0.0314584593235477,0,0,0,0,0,0.056103316413325,0,0,0,0,0,0,0.0839003491192673,0,0,0,0,0,0,0,0.0344795257579527,0.17094066935093,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0689476573933592,0,0,0,0,0.195438025767099,0.0166829977258622,0,0.112191484446244,0,0.187494941689154,0,0,0,0,0,0.342222070873708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701109409074986,0,0,0.0199029030226747,0.0229506109214839,0,0
X601166.CH.EQUITY,0,0,0.0149281311973923,0,0,0.128908867329209,0,0.091609554710544,0,0,0,0,0,0.160782029215101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457681340287323,0,0,0.184067606740388,0,0,0,0,0,0.0869437363417702,0,0,0,0,0,0,0,0,0,0,0,-0.0818973511966062
