,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,-0.213475186255513,0,0,0,0,0,0,-0.0562846204986324,0.165926781703656,0,0,0,0,0,0,0,0,0,0,0,0,-0.209959643581864,0,0,0,0,-0.170276844540834,0,0,0,0,-0.237418990528779,0,0,0.0560511536078486,0,0.734077406548498,0,0.330792390885155,0,0,0,0,0,0,-0.0182585922990036,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0525100592862195,0,0.0705285406541396,0,0,0,0,0.07459983968554,0,0,0,0,0,0,0,0,0,0.194045498606095,0,0,0,0,0,0,0,0,0.0287171703487786,0,0,0,0,0.310947521091166,0,0,-0.0125627193618949,0,0.198639365268219,0,0,0,0,0,0,0,0,-0.0537802884432574
X601939.CH.EQUITY,0.323676789782967,0,0,0,0,0,0,0,0,0.0151921769070197,0,0,0,0,0,0,0,0.131743684658213,0,0,0,0,0.0246613154814489,0,0.0224246408974826,0,0,0,0.138651607772094,0.0996804828437879,0,0,0,0,-0.174250477879175,-0.0172608352353512,0,0,0.444482936401212,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.108936067796364
X601288.CH.EQUITY,0,0,0,0,0,0.000147786484272019,0,-0.197395339758225,0.112029236060497,0.00654711650469353,0.371298739879879,0.128223424192661,0,0,0.145903799630192,0,0,0,0,0,-0.0751313561578477,0,0,0,0,0,0,0,0,0,-0.553939077164128,0,0,0,0,0,0,0,0,0,0,0.137251195968156,0,0,0,0,0.26639112229977,0,0,0,-0.114747459179931,0
X5.HK.EQUITY,-0.154884671800246,-0.104885974914731,0,0,0,-0.046376748415799,0,0,0,0,0,0,0,0,0,0.304265647862092,0,0,0,0.294371915719023,0.0470899666675074,0,0,0,0.417773476139511,0,0,0,0,0,0,0,-0.0247992967315828,0,0,0,0,0,0,0,-0.172813532617129,0,0.183114841135249,0,0,0,-0.0188795395084007,0,0,0,0,0
X601988.CH.EQUITY,0.0401027034777281,0,0.0919727551768036,0.332108242937481,0,0,0.0472506200032494,0,0,0,0.181255856954839,0,0,0,0,0,0.114692256295758,0.110607983994196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128943782953928,0,0,0,0,0.143160163834598,0.171972959751987,0,0,0,0,0,-0.0320916519582102,0
X600036.CH.EQUITY,0,0.242178258731199,-0.0113778478416956,0,0,0,0,0,-0.110796128598598,0.0614754197123888,0,0,0.534842706991648,0,0,0,0,0.0198793113716889,0,0,0.294764233388246,0,-0.105981093168204,0,0,0,0,0.0976419043937467,0,0,0,0,0.328903556759751,0,-0.155755629729621,0,0,0,0,0,0,0,0.107030230796676,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0923813340610506,0.0139401367613446,0,0,0,0,0,0.0248172732919995,0,0,0,0,0.144018976839814,0.222469224264777,0,0,0,0,0,0,0,0,0,0,0.0237296059707804,-0.00254072831277398,0,0,0.0207195003426929,0,0.30497570620073,0,0,0,0,0,0,0,-0.104686575287619,0,0,0,0,0,0,0.0777979924783306,0,0,0,0,0
X601628.CH.EQUITY,0,0.0374011464962784,0,0.0535012586181738,0,0,0,0,0,0,0,0,0,0.318772281801045,0,0,0,0,0,0,0,0,0.0861865114944968,0.0277739299833642,0,0,0,0,0,0,0,0,-0.0540576694299855,0,0,0,0.0451247532809788,0.230610244324022,0.00746282821761903,0,0,0,0,0,0,0.140930242400957,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.299870381033014,0,0,0,0,0,0.191351959838502,0,-1.73472347597681e-18,0,0,0,0,0,0.254992509203538,0,0.0542188058236479,0,0,0.0881853440609243,0,0,0,0,0,0,0,-0.172543652225091,0,0,0,0,0,0,0,0,0,0.0875345762774961,0,0,0,0,0,0,0,-0.230113563090231
