,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.12811685407281,0,0,0,0,0,-0.0231563343652641,0,0,0,0,0,0,0,0,0,0,-0.156459995694123,0,0.0346720556406192,0.575271694829327,0,0.463825892622707,0,-0.240250112641151,-0.0892381835849897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074692906416397,-0.0282548228871166
X601318.CH.EQUITY,0,0,0,0,0,0.191084649889912,0,0,0,0,0,0,0.0397479704423835,0,0,0,0.108210157188971,0,0.0295679026847614,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.154028623370002,0,0.148845384786864,0,0,0,0,0.0663752967978646,0.143486935525254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011564717236282,0.0220977027655216
X601939.CH.EQUITY,0,0.0241294037558785,0,0.78934469460996,0,0,0.00710917428795654,0,0,0.0431602727131018,0.0716486412360645,0,-0.0589253916228786,0,0,0,0.0688214080135564,0,0,0,0,0.00121520931596646,0,0,0.0407668177963798,0,0,0,0,0,0,0,0,0,0,0,0.111683632654155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301650477625144,0,0
X601288.CH.EQUITY,0,0,0.95697192937154,0,-0.0366841856311391,0,0,-0.101967833526142,0,0.0327380327512102,0,0,0,0,0,0.0247513364105532,0,0,0,0,0,0,0,0,0.0811447329519649,0,0,0,0,0,0,0.0410856698305504,0,0,0,0,0,0,0.0213093953810871,0,-0.0836042233416187,0,0,0,0,0.00043080071140348,0,0,0,0,-0.0963787775787048,0,-0.01234007483355
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0275931919263567,0.312161771999929,0,0.262023385103679,0,0,0,0,0,0,0.464720213814129,0,0,0,0,0,-0.0698504613927993,0,0,5.55111512312578e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129605920695927,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.329942585626855,0,0,0,0,0.0590922785699323,0,0,0,0,0,0,0,0.0298546433616226,0.172977603766303,0,0,0,0,0,0,0,0,0,0,0.0452069146152161,0.182062214243676,0.103610550887968,0,0.0147043803650291,0,0,0,0,0,0,0,0,0,0,0,0.0387452949704797,0,0,0.0250279386631553,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0685109812673958,0,0,0,0,-0.0537066252094481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715504799360259,0,0,0,0,0.00241409723316075,0,0,0,0,-0.0224788431431705,0,0,0,0,0,0,0,0,0,0,0,-0.133093686796271,0,0.998089491514529,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0233353863085326,0,0,0,0,0.237938696194344,0,0,0,0,0,0,0,0,0,0,0,0,0.296533587642157,-0.00352073817658224,0,0,0.0784402760024629,0,0,0,0,0,0.217604658008907,0,0,0,0,0.0217314925441911,0.0185982437061291,0,0,0.0743397511219613,0,0,0,-0.0270127656592033,0,0,0,0.137032960196565,0,-0.0528941449812285,0.0245868310201771
X5.HK.EQUITY,0,-0.0455364002266597,0,0,0,0,0,-0.0312376586614405,0,0,0,0,0,0,0,0,0,0,-0.0152737303041796,0,0,0,0,0,0,0,0.440211628402102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00601932233338843,0,0,0,0,0,-0.247260405584816,0.232060634982143,0,-0.0698258384177575
X388.HK.EQUITY,0,0,0,0,0.21825418207293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129513346787527,0,0.255081220187772,0,0,0,-0.00856019972620464,0.112645768852309,0,0,0,0,0.13040419115401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178514341177557,0,0,0,0,0.282715590236233
