,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.411705431903912,0.0042943284620198,0,0,0,0,0,0,0,0,0,0,0.0904597407215337,0,0.116728954838143,0,0,0,0,0,0,0,0.0649848201415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472701474960056,0,0,0,0,0,0,0,0,0,0.0755060248119329,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.106433330293589,0.310365968457304,0,0,0,0,0,0,0,0.262622082417913,0,0,0.0869524190972494,0.0598329438993957,0,2.71050543121376e-20,0,0.00343019902372335,0.0949107162011864,0,0,0,0,0,0,0,0,0.00916588189324274,0,0,0,0,0.0308397121201988,0,0.0104528911129093,0,0,0,0,0,0.0158714013647516,0,0,0,0
X601939.CH.EQUITY,0.0312463074486904,0,0,0.605383543654695,0,0.0663918688485202,-2.16840434497101e-19,0,0,0.116783610061695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041889410615948,0,0,0,0,0,0,0,0.122307026995405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.174165032129419,0.153683607492317,0,0.369194068919888,0,0,0.0532304041096041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196824368476024,0,0,0,0,0,0.110823764911797,0.00305388233516676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.144131378361386,0,0.353668344775672,0,0.0756210014114213,0.0312931169670325,0,0,0,0,0,0,0,-0.0182141551647399,0,0,0,0,0,0,0.0108930722699255,0,0,-0.159269395807703,0,0,0,0,0,0,0,0.115389484542814,0,0,0.260731098610601,0,0,0,0,0,0,-0.0991612281385644,0,0.0475942224928752,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.311471951887707,0,0,0,0.262182904863338,0,0,0,0,0,0,0.00600402412407074,0,0,0,0,0,0,0,0,0.0609042257812163,0.044373324007856,0,0,0,0,0,-0.156942638091373,0,0.00845129463165209,0,0,0,0,0,0,0,0.136612719109425,0,0,0,0,0,0,-0.0255043104886894,0,-0.167420936132041,0
X600036.CH.EQUITY,0,0.120886329627278,0,0,0,0,0,0,0,0.421895454502874,0,0,0,0,0,0,0.153619092274332,0.0593361387364763,0,-0.12985664852391,0,0,0,0,0.0759199869412506,0,0,0,0,0,0.214280108696435,0,-0.0380299837213378,0,0,0,0,0,-0.0692001298790642,-0.165546311314384,0,0.124602474721331,0,0,0.198827010500858,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.196174588685435,0,0,0,0,0,0,0,0,0,0.0109553314270876,0,0,0.138217640330202,0,0,0.0759139139447813,0,0,0,0,0.0231947372501452,0,0,0.0470662640434324,0,0.0995622872698112,0,0,0,0,0,0.463407247661767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0309253400055958,0,0,0,0,0,0,0,0.132887139541717,0,0,0,0,0.404389627681133,0,0,0,0,0,0,0,0.00350261173788205,0,0,0,0,0,0,0,0,0,0.066831101057571,0,0,0.180055279312015,0,0,0.185605942546065,0,0,0.0733995213631955,0.0478364666554689,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.207947451978107,0,0,0,0.417747898396867,0,0,0,0,-0.0415950977167626,0.499191074880511,0,0,0,0,0,0,0,0.0471407685760019,0.147621760212054,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.0366954086531043,-0.0484347211732402,0,0,0,0,0,0,0,-0.116769393256769,0,0,0,-0.122242393394735,0,0,0,0,0,0
