,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X600606.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.134733819031443,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0841833264783981,0,0.440023549391488,0.36508126897759,0.013109751738436,0,0,-0.0718120923258216,0,0,0.197420760535693,0,0,0,0,-0.297479417875219,0,0,0,0,0,0,0,0.0593979935593766,0,0,0,-0.34413273432519,0,0,0,0.0788729423997775,0
X601318.CH.EQUITY,0,0,0,0,0,0.184942485490213,0,0,0,0,0,0,0,0,0,0,0,0.0939653272611719,0.0530884520126823,0,0,0,0,0,0,0,0,0,0.00417442034655281,0.0197945321673408,0,0.0682042153581229,0,0,-3.46944695195361e-18,0,0.237071383132421,0,0,0,0,0.0755053042433773,0,0,0,0,0,0,0,0.216615535490024,0,0,0.104867423863234
X601939.CH.EQUITY,0,0.0676761546078281,0,0.80694070185978,0,0,0,0,0,0.0020740440707432,0,0,0,0,0,0,0.0829589880046499,0.017929056331194,0.0571289695432738,0,0,0.00324793441943743,0,0,0,0,0.0105750566228894,0,0,0,0.0100206028329649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0878624674832936,0,0.952568050686263,0,-0.0162861485528106,0,0,0,0,0,0,0,0,0,0,0.0623613729434895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0524710600276712,0,-0.0252811077052538,0,0,0,0,0,-0.0470112205114857,0,0,-0.11499142748105,-0.0450269456211357,0
X601628.CH.EQUITY,0,0.010070186212934,0,0,0,0,0,0,0,0.0605027625034983,0,0.409145928952212,0,0,0,0,0,0,0,0,0,0.10137507154296,0,0,0,0,0,0,0,0,0,0,0,0,0.379805876688088,-0.0893689817274292,0,0,0,0,0,0,0,0,0,0,0.105981230258908,0,0,0,0.0846116947265479,0.0156850879288259,0.122672768584637
X600036.CH.EQUITY,0,0,0.381993087543159,0,0,0,0,0,0.0199637522631083,0,0,0,0,0,0,0,0.125575930546504,0,0,0.00150399145147807,0.00716183059361498,0,0,0,0,0,0.191282518918149,0,0,0,0.178540609078233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196149056862299,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,-3.46944695195361e-18,-0.0587543313663567,0.141863743283587,0,0,0,0,-0.0492883554284045,-0.078592910156772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108204996235037,0,0,0,0,0,0,0,-0.0456053885190712,0,1.06593451622405,0.0107158719149319,0,0
X1299.HK.EQUITY,0,0,0,0,0.235210221814829,0,0,0,0,0.260386809461043,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.199270156072737,0.0036528065978917,0,0.36816649581397,0,0.196829932740132,0.148780035442221,0,0.189461552591905,0,0,0,0,0,0,0,0,0,0,0,0,-0.0808071833262718,0.0948377014036143,0,-0.0530430917819766,0,0,0.10548442763901,-0.0337424867940416,0.0639730118635389
X5.HK.EQUITY,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0642252098884594,0,0,0,0,0,0,0,0,0,0.416927555631376,0.359984630826281,0,0,0,0,0,0,0,-0.0637506952265897,0,0,0,0,0,0,0,0,0.0145853997943422,0,0,-0.0607169923601295,0,0,0,0.206721632655732,0,-0.115934578285576
X388.HK.EQUITY,0,0,0,0,0.290378952853996,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171525389633285,0,0,0,0,0,0.429108897300736,0,0,0,0,0,0,0,0,0,0,-0.0516308685778791,0,0,0,0,0,0,0,-0.115660843358944,-0.0928997752865346,0.0537869397570591,0.24331817130099,0,0,0,-0.125663614276933,0,0.0402944018842012
