,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,-6.93889390390723e-18,0,0.0567102202716026,0,0.13873797052674,0.176380896378116,0,0.351769929887308,0,0,0,0,0.000603846554830213,0.131828105159585,0,0,0,0,0,0,0,0,0,0.011881814013479,0,0,0,0,0.104032243106728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.207656778853757,0,0,0,0,0,0,0,0.224197616914051,0,0,0,-3.46944695195361e-18,0,0.0719896410669298,0.144752224530838,0,0,0,0.210530612360493,0,0,0,0,0,0,0,0,0,0.0753590016767718,-0.059894900085817,0,0,0,0,0,0.0658300800793861,0,0,0,0,0,0,0,0,0,0,0.0749612635006317,0,0,0,0,-0.0072478902733775
X601939.CH.EQUITY,0.263707762631856,0,0,0,0,0,0,0,0,0,0,0,0.425693577828276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191835793434654,0,0.106012966100548,0,0.00655344615395198,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.342769886544361,0,0.0423240210854852,0,0,0.467256219913957,0,0,0,0,0,0,0,0,0.0359427454534658,-1.38777878078145e-17,0,0,0,-0.0109338251744882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112833010196204,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.198277676861092,0,0.0394683884847907,0,0,0,0.310687537875778,0,0,0,0,0,0,0,0.0201425008875103,0.648272450209437,0,0,0,0.0515007663656989,0,0,0,0,0,0,0,0.0921941024409078,0,0,0.02053999279319,0,0,0,-0.204442391414428,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.136957997292932,0,0,0.0492262193392431,0,0,0,0,0.200907382726906,0,0,0,0.143611304048543,0,0,0,0,0,0.0210468971375286,0,0.168423591771366,0,0,0,0.0277836553413038,0,0,0,0,0.0495239699114398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186399058330135,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.196679038862066,0,0,0.220237727020861,0,0,0,0,0.1779478669897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149711685723843,0,0.00384347375884828,0.158236013040136,0,0,0.105481527187914,0,0,0,0,0,-3.46944695195361e-18,0.0489929089659992,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.164143420280688,0,0,0,0,0,0,0,0.325240077221493,0.025209069671714,0,0,0,0,0.1936063268499,0.291247785829196,0,0,0,0,0,0,0.247979188214722,0,0,0,0,0,0,0,0.0275070184763476,0,0,0,0,0,0,0,0,0,0,0,0.0906764461930124,0,0,0,0.0104848445489358
X601628.CH.EQUITY,0.325237567498526,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0563778102021339,0.0260362554928776,0,0,0,0.118371188164019,0,0,0,0.0876579155747653,0,0.230500611131048,0,0,0,0,0.150182899307482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.163824740068161,0,0,0,0,0,0,0.194451489349259,-0.0639603962462143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805858159430774,0,-0.212393241500103,0,0,0,0,0,0,0,0.738542090166892,0,0,0,0,0,0.447492583508513,0,-0.18202506541982,0,0,0,0
