,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.551006599853794,0,0.0285098489334673,0,0.0691437257712274,0,0,0,0,0.0942601521112627,0,0,0,0,0,0.12609220876389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,-0.00200876147933512,0,0,0,0,0.0788650626717978,0,0,0.0751625564423339,-0.0496620586912129,-0.0169910377263329,0,0,-0.0279207556260169,0,0,-0.00193491297905356,0
X601318.CH.EQUITY,0,0,0,0.104708101168595,0,0,0,0,0.0433807821090412,0,0,0,0,0,0,0,0,0.234653438107085,0,0,0,0,0,0,0,0.0473918045206146,0,0,0.0648288862789846,0,0,0,0.103355579937038,0,0,0,0,0,0,0.194289507939526,0.0573030338933207,0,0,0,0,5.42101086242752e-20,0,0,0.0813963459900228,0,0,0
X601939.CH.EQUITY,0.0645161150415245,0,0,0.537736465901172,0,0.037538054154893,0,0,0,0.026347500033406,0.0647789396193843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147122790951029,0,0,0,0.00414974404037741,0,0,0,0,0,0,0,0,0,0,0,0.0136542223234996,0,0,0.0323626320112237
X601288.CH.EQUITY,0.250998784276059,0,0,0,0,0.0376760081967113,0,0,0,0.124860631006229,0,0,0,0,0,0,0,0.0483008748034576,0,0,0,0,0,0,0.0556944044187605,0.172006546512013,0,0.00839041548149875,-3.46944695195361e-18,0.1331241594048,0,0,0,0,0,0,0,0,0,0,0,0.108904171366229,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.321249932421698,0,0,0.102723971460692,0,0,0,0,0.106081043634881,0.0973208473764784,0,0,0,0,0,0,0,0,0,0,0,0,0.263061813195372,0,0,0,0,0,0,0,0,0,0,0,0.12958311687718,0,0,-0.488156593153816,0,-0.0296731477008455,-0.0436154933356311,0,0,-0.242891793479956,0
X601988.CH.EQUITY,0.102069607825367,0,6.93889390390723e-18,0,0.0425682109216152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596199027631223,0,0,0,0,0,0,0.105450237219516,0,0,0,0,0,0,0,0,0,0.0509260800056108,0,0,0,0,0,0,0,0,0.0757972318208157,0.0964310705576851,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0527929905092282,0,0,0,0,0,0,0,0,0,0,0,0.0313981522434201,0,0,0,0,0.592101745677903,0,0,0.0685523931165055,0.13317609970027,0,0,0,0,0,0,0,0,-0.00293363195177215,0,0,0,0.0567692634652536,0,0,0.0229668076186521,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.214844243882073,0,0,0,0,0,0,0,0,0,0.16857506640092,0,0,0,0.0316403298838246,0.174024497817289,0,0,0,-0.0857852903273065,0,0,0,0,0,0,0.217547971026643,0,0,0,0,0,0,0.071871750668485,0,0,0,0,0,0,0,0,0,0.0388284383687445,0,0,0,0,0,0,0.0938497310798645
X601628.CH.EQUITY,0,0.162865204634462,0,0,0.0196244968913519,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418654395239499,0,-0.0189728704144326,0,0,0,0,0.15549295931171,0,0,0,0,0,0,0,0,0,0,0.371225430908551,0,0,0,0.224900676004097,0,0.0653135178198985,0,0,0.00552378399089257,0,0,0,0,0.0154421455448818,0
X601328.CH.EQUITY,0,0.00821374224171656,0.129759829903848,0,0,0,0.126714495528067,0,0,0,0,0.0217944965880245,0,0.241922962030626,0,0,0,0,0,0,0,0.232942690630819,0,0,0,0,0,0,0.0543427541357483,0,0,0.0136564859524283,0,-0.0089695013461176,0,0,0.00716512863440882,0,0,0.217076015444099,0,0,0,0,0,0.018670611279906,0,0,0,0,0,0
